window_start_pt,hours_since_quake,r_bin_km,n_tiles,n_tiles_crisis,n_tiles_overlap,baseline_sum,crisis_sum,baseline_sum_overlap,crisis_sum_overlap,path_sector_occupied,phi_aggregate,phi_overlap,tile_overlap_ratio,path_coverage_frac
2024-08-04 08:00:00,48.0,430.0,24,24,24,53799.97623132382,53960.1101563314,53799.97623132382,53960.1101563314,1,1.0029764683225706,1.0029764683225706,1.0,0.08333333333333333
2024-08-04 08:00:00,48.0,440.0,75,72,72,120423.0011144558,121184.83729108577,120370.3990279466,121184.83729108577,2,1.006326334417674,1.0067661008829096,0.96,0.16666666666666666
2024-08-04 08:00:00,48.0,450.0,80,78,77,116013.95731568917,116486.49917463426,115974.18666687497,116473.46329729934,2,1.0040731466271704,1.0043050668840514,0.9625,0.16666666666666666
2024-08-04 08:00:00,48.0,460.0,97,96,95,90592.96482660477,90841.4347685324,90515.56042702617,90828.38361944821,2,1.0027427068139696,1.0034560156391479,0.979381443298969,0.16666666666666666
2024-08-04 08:00:00,48.0,470.0,98,94,94,105467.53408677543,105912.12856879128,105394.72032402547,105912.12856879128,2,1.0042154629466358,1.004909242542464,0.9591836734693877,0.16666666666666666
2024-08-04 08:00:00,48.0,480.0,114,109,109,104924.57125480208,106230.58619832445,104794.36012788363,106230.58619832445,2,1.0124471792250722,1.0137051847894119,0.956140350877193,0.16666666666666666
2024-08-04 08:00:00,48.0,490.0,135,137,135,82926.46183843649,84359.59624100977,82926.46183843649,84322.68345380179,2,1.0172819914271203,1.0168368646679455,1.0,0.16666666666666666
2024-08-05 08:00:00,72.0,430.0,26,25,25,60969.07579875845,60848.28095658534,60886.85087254079,60848.28095658534,1,0.9980187522839968,0.9993665312723072,0.9615384615384616,0.08333333333333333
2024-08-05 08:00:00,72.0,440.0,77,72,71,124001.79016562474,121702.02480467349,123005.20088105806,121691.62962348099,2,0.981453772902153,0.9893210104274595,0.922077922077922,0.16666666666666666
2024-08-05 08:00:00,72.0,450.0,79,80,79,111172.24052737787,109651.10147414074,111172.24052737787,109640.84433666366,2,0.9863172762730951,0.9862250127959139,1.0,0.16666666666666666
2024-08-05 08:00:00,72.0,460.0,97,96,94,91580.11836639105,89516.50825267416,91498.67649367117,89491.55888726749,2,0.977466614473451,0.9780639711598177,0.9690721649484536,0.16666666666666666
2024-08-05 08:00:00,72.0,470.0,94,94,92,104849.62490775643,103044.0009114297,104818.12299369113,103008.73170931911,2,0.9827789179225461,0.9827378011292863,0.9787234042553191,0.16666666666666666
2024-08-05 08:00:00,72.0,480.0,113,111,111,105828.85431344087,104689.85578971184,105715.32912195176,104689.85578971184,2,0.9892373537338355,0.9902996723298573,0.9823008849557522,0.16666666666666666
2024-08-05 08:00:00,72.0,490.0,140,143,139,85286.0236262989,84426.3488682008,85270.39450723658,84371.23203327942,2,0.9899200980237398,0.9894551622617291,0.9928571428571429,0.16666666666666666
2024-08-06 08:00:00,96.0,430.0,26,26,26,60731.37172518438,60441.31202204516,60731.37172518438,60441.31202204516,1,0.9952238901427788,0.9952238901427788,1.0,0.08333333333333333
2024-08-06 08:00:00,96.0,440.0,75,79,75,123580.84674709718,122537.52636313792,123580.84674709718,122466.42985841597,2,0.9915575883203457,0.990982284730887,1.0,0.16666666666666666
2024-08-06 08:00:00,96.0,450.0,78,80,78,109815.55456649253,110037.655409823,109815.55456649253,110004.59219159372,2,1.0020224898395063,1.0017214102851588,1.0,0.16666666666666666
2024-08-06 08:00:00,96.0,460.0,98,94,94,89841.85968893266,89870.02083116019,89688.33182368995,89870.02083116019,2,1.0003134523519999,1.0020257819916576,0.9591836734693877,0.16666666666666666
2024-08-06 08:00:00,96.0,470.0,93,94,91,104082.19909638246,103337.95585214792,104049.01086998188,103267.42399961138,2,0.9928494665687707,0.9924882815911901,0.978494623655914,0.16666666666666666
2024-08-06 08:00:00,96.0,480.0,114,113,113,105356.26698727916,105072.96086340463,105338.79962004254,105072.96086340463,2,0.9973109703677263,0.9974763453010971,0.9912280701754386,0.16666666666666666
2024-08-06 08:00:00,96.0,490.0,142,142,139,85269.72902722683,84752.76221979546,85227.6644229838,84702.11640090648,2,0.9939372762957145,0.9938335982144362,0.9788732394366197,0.16666666666666666
2024-08-07 08:00:00,120.0,430.0,26,26,26,60553.05857398672,60866.03889866411,60553.05857398672,60866.03889866411,1,1.0051686955547419,1.0051686955547419,1.0,0.08333333333333333
2024-08-07 08:00:00,120.0,440.0,75,75,74,122854.62702501469,121691.64760845747,122283.33335117278,121680.2050318231,2,0.9905336946216895,0.9950677798615645,0.9866666666666667,0.16666666666666666
2024-08-07 08:00:00,120.0,450.0,78,80,78,109463.74178693556,109272.86787140046,109463.74178693556,109240.29265134026,2,0.9982562818297714,0.9979586926963431,1.0,0.16666666666666666
2024-08-07 08:00:00,120.0,460.0,98,98,97,89397.59097213471,89074.30705575702,89367.33965182306,89040.49789552766,2,0.9963837513644136,0.9963427158336728,0.9897959183673469,0.16666666666666666
2024-08-07 08:00:00,120.0,470.0,95,96,90,103490.85892548064,102792.24179592873,103416.42557142746,102677.24198953142,2,0.9932494798400024,0.9928523580484272,0.9473684210526315,0.16666666666666666
2024-08-07 08:00:00,120.0,480.0,114,113,110,104715.94516819686,104079.59238714747,104540.01633234628,104016.02766233751,2,0.9939230574672532,0.9949876737311487,0.9649122807017544,0.16666666666666666
2024-08-07 08:00:00,120.0,490.0,140,142,139,85030.2419222923,84886.08960101595,84947.20837400891,84815.62061018574,2,0.998304693506481,0.9984509465779756,0.9928571428571429,0.16666666666666666
2024-08-08 08:00:00,144.0,430.0,25,26,25,60389.43628817224,59943.02609051536,60389.43628817224,59691.78030895712,1,0.9926078098241113,0.9884473838125267,1.0,0.08333333333333333
2024-08-08 08:00:00,144.0,440.0,76,75,74,122335.32361745248,120901.26274869758,121804.99405871241,120888.13547856198,2,0.988277622306054,0.9924727340842159,0.9736842105263158,0.16666666666666666
2024-08-08 08:00:00,144.0,450.0,78,78,78,109481.58471284149,109101.88297275666,109481.58471284149,109101.88297275666,2,0.996531820935176,0.996531820935176,1.0,0.16666666666666666
2024-08-08 08:00:00,144.0,460.0,97,98,95,89488.7202001827,89582.16419513372,89465.27832228946,89549.45287857743,2,1.00104419858438,1.0009408628449659,0.979381443298969,0.16666666666666666
2024-08-08 08:00:00,144.0,470.0,96,96,92,103309.3868958775,102322.34260639011,103251.30264994755,102180.59058081445,2,0.9904457443883372,0.989630038152999,0.9583333333333334,0.16666666666666666
2024-08-08 08:00:00,144.0,480.0,116,112,110,104234.06711326932,103192.59156486153,104003.99327046113,102985.66972775299,2,0.9900082998078158,0.9902088034248839,0.9482758620689655,0.16666666666666666
2024-08-08 08:00:00,144.0,490.0,141,141,141,84513.66028641984,84314.94626611451,84513.66028641984,84314.94626611451,2,0.9976487348952597,0.9976487348952597,1.0,0.16666666666666666
2024-08-09 08:00:00,168.0,430.0,26,25,25,60086.342855701754,60561.73798458642,60074.28566801792,60561.73798458642,1,1.0079118665954814,1.0081141591805562,0.9615384615384616,0.08333333333333333
2024-08-09 08:00:00,168.0,440.0,75,74,73,121180.7113900382,120886.80582125821,120524.39779399885,120872.30991651812,2,0.997574650574265,1.0028866530668248,0.9733333333333334,0.16666666666666666
2024-08-09 08:00:00,168.0,450.0,78,81,78,109098.83602129042,111235.71240015577,109098.83602129042,111182.99417889598,2,1.019586610240721,1.019103394991298,1.0,0.16666666666666666
2024-08-09 08:00:00,168.0,460.0,97,98,97,90066.83679802048,90764.04994610131,90066.83679802048,90751.70900319317,2,1.0077410640016633,1.0076040441689826,1.0,0.16666666666666666
2024-08-09 08:00:00,168.0,470.0,96,99,92,103178.1355831268,102724.36446865989,103114.49667691215,102528.12034513794,2,0.9956020613097691,0.9943133472918798,0.9583333333333334,0.16666666666666666
2024-08-09 08:00:00,168.0,480.0,114,115,113,103135.78211627777,103321.56619329973,103118.35778411373,103289.74788116654,2,1.0018013542265332,1.001662071630462,0.9912280701754386,0.16666666666666666
2024-08-09 08:00:00,168.0,490.0,140,141,139,83796.08353877964,84636.81309797699,83780.67539503243,84599.8223052031,2,1.0100330412078062,1.0097772774724998,0.9928571428571429,0.16666666666666666
2024-08-10 08:00:00,192.0,430.0,26,24,24,54471.16289466682,54320.96184202673,54417.56226724893,54320.96184202673,1,0.9972425583619255,0.9982248299777231,0.9230769230769231,0.08333333333333333
2024-08-10 08:00:00,192.0,440.0,76,73,71,118213.66140861258,116797.41600414092,117295.20696623619,116772.51343023594,2,0.9880196130667477,0.995543777537724,0.9342105263157895,0.16666666666666666
2024-08-10 08:00:00,192.0,450.0,80,81,79,112144.8746553033,112597.89805022354,112117.80713685979,112572.44281751079,2,1.0040396263878548,1.004054981918225,0.9875,0.16666666666666666
2024-08-10 08:00:00,192.0,460.0,97,98,96,88622.64625984005,88635.99933883586,88511.07291792317,88606.29714765618,2,1.0001506734402474,1.0010758453896644,0.9896907216494846,0.16666666666666666
