distance_bin,best_by,model,n_points,sse,chi2,aic,bic,at_bounds,tau,A,C,alpha,beta
0-50km,bic,stretched_exp,279,64.60801712263162,4587.564765539826,4595.564765539826,4610.089612667111,False,254.22874445053102,-2.0013723707100675,1.4826880430727372,,1.6821690425124474
100-150km,bic,stretched_exp,279,32.140735044071526,4599.5690129169725,4607.5690129169725,4622.093860044258,False,45.323718353800544,-4.861504221902724,1.9297251896069385,,0.45998611982180027
1000km+,bic,log,279,58.38704281122675,7465.322321972933,7471.322321972933,7482.215957318397,False,347.75177533562174,0.28566802736779673,0.2760838838266048,,
150-200km,bic,exponential,279,55.84453594596846,9824.664736695591,9830.664736695591,9841.558372041056,False,41.59612620204706,-1.8833816549381721,1.9583147285959246,,
200-250km,bic,log,279,73.02178513117218,26845.483787881134,26851.483787881134,26862.377423226597,True,6695.999999999999,-2.144717859734435,2.614643660006143,,
250-300km,bic,log,279,63.506772569758546,26282.325082497875,26288.325082497875,26299.218717843338,True,6695.99999999998,-1.1827385305886848,1.9116104631095003,,
300-350km,bic,log,279,66.83584065378017,30021.133883633862,30027.133883633862,30038.027518979325,True,6695.999999993937,-1.500496926883407,1.480787377935844,,
350-400km,bic,stretched_exp,279,71.94395320899895,42342.10135966117,42350.10135966117,42364.62620678845,True,73.24309839148864,-0.5560593406769296,1.2130262037628325,,1.9999998721746197
400-450km,bic,stretched_exp,279,84.35871630855556,86665.50503302243,86673.50503302243,86688.02988014971,True,100.72013145173382,-0.4039359338357708,1.136382457721308,,1.9999999995528641
450-500km,bic,stretched_exp,279,95.93914099958715,104027.7053690028,104035.7053690028,104050.23021613008,True,102.58532542551411,-0.4824453419345701,1.1916500931800285,,1.9999998374196841
50-100km,bic,stretched_exp,279,43.74108644389387,6850.557495951141,6858.557495951141,6873.082343078427,False,46.36666359481482,-3.491637703871906,1.976926198029781,,0.6847274670332276
500-550km,bic,stretched_exp,279,61.7233360421988,47130.08487777261,47138.08487777261,47152.6097248999,True,1951.3999628251233,-0.8548170265597184,1.613506633290405,,1.9999999999999158
550-600km,bic,log,279,66.12821463732931,64202.27990369995,64208.27990369995,64219.17353904541,False,4.577280422247762,0.10085299267599757,0.34023807973019093,,
600-650km,bic,stretched_exp,279,64.10015342078867,58841.0203780214,58849.0203780214,58863.545225148686,True,145.5272932404707,-0.23934268420622254,0.7325966797935444,,1.9999999999801816
650-700km,bic,stretched_exp,279,66.19224730367236,87104.27218983315,87112.27218983315,87126.79703696043,True,6695.99984681333,-0.9464737017248097,1.3622133532270126,,0.42857064977517234
700-750km,bic,stretched_exp,279,73.3554708240074,67815.32593366347,67823.32593366347,67837.85078079074,True,6695.999999701938,-1.1887827356025003,1.8178428326598872,,0.8222770970088251
750-800km,bic,stretched_exp,279,76.9798352697945,88104.66172346656,88112.66172346656,88127.18657059384,True,145.42682297470813,-0.43812483067109376,0.7762567204375936,,1.9999999991088646
800-850km,bic,stretched_exp,279,71.00954368121323,87647.20221588667,87655.20221588667,87669.72706301395,False,172.51433856399922,-0.3418526012011834,0.7160096426481322,,1.991286769363441
850-900km,bic,log,279,70.73926527437729,75866.35319002012,75872.35319002012,75883.24682536558,False,25.362232756992768,0.17182649349618398,0.203277322395758,,
900-950km,bic,stretched_exp,279,63.75072543545574,52955.31367525837,52963.31367525837,52977.83852238565,True,6695.99999596056,-6.2961596439489576,6.740300778709886,,1.701350221187316
950-1000km,bic,stretched_exp,279,60.71278313258952,23140.2467776567,23148.2467776567,23162.771624783985,True,6695.99568052533,-2.8181551407762524,3.2490329178968747,,1.620791057152665
