distance_bin,model,n_points,sse,chi2,aic,bic,at_bounds,tau,A,C,alpha,beta
0-50km,exponential,279,65.9644894798358,4646.5476666393315,4652.5476666393315,4663.441301984795,False,182.37812810591518,-2.6348531848313193,1.492074064933819,,
0-50km,power_law,279,77.198606989801,5180.92245474903,5186.92245474903,5197.816090094494,False,,-9.520646660482175,2.089487495298512,0.3804241199187662,
0-50km,stretched_exp,279,64.60801712815837,4587.564765540746,4595.564765540746,4610.089612668031,False,254.22874593956928,-2.0013723535184287,1.4826880426727802,,1.6821690729618601
0-50km,log,279,82.06224334767094,5493.785458208978,5499.785458208978,5510.679093554441,True,0.10000000054271684,0.36715618621879015,-2.0180644166004584,,
50-100km,exponential,279,44.0083619754496,6876.037654077653,6882.037654077653,6892.931289423117,False,76.76401876309687,-2.5335149662498226,1.97216630234524,,
50-100km,power_law,279,46.26535878110324,7039.246553352521,7045.246553352521,7056.140188697985,False,,-16.80543336430401,2.05951550792851,0.7436873534909454,
50-100km,stretched_exp,279,43.74108649913427,6850.557495961322,6858.557495961322,6873.082343088608,False,46.366643454126766,-3.491638601965376,1.9769261979235462,,0.6847273450792656
50-100km,log,279,56.84217683377435,7805.967680085384,7811.967680085384,7822.861315430848,True,0.10000000003278446,0.16520831358734378,0.4080714734538589,,
100-150km,exponential,279,32.96832459958351,4745.870896067105,4751.870896067105,4762.764531412568,False,137.15676292283644,-2.5827735938573686,1.86786050999358,,
100-150km,power_law,279,33.884400633433636,4704.724667124685,4710.724667124685,4721.618302470149,False,,-9.723370421728703,2.391778532351203,0.4092475925896371,
100-150km,stretched_exp,279,32.14073526755942,4599.569012915203,4607.569012915203,4622.093860042488,False,45.32367906896116,-4.861506091014739,1.9297252195639072,,0.45998597867775315
100-150km,log,279,40.22245047386707,5199.939495674301,5205.939495674301,5216.833131019765,True,0.10000000000147319,0.3518920249301979,-1.4641544161669071,,
150-200km,exponential,279,55.84453593892765,9824.664736695424,9830.664736695424,9841.558372040889,False,41.596126831919584,-1.883381618508725,1.9583147284817233,,
