distance_bin,best_by,model,n_points,sse,chi2,aic,bic,at_bounds,tau,A,C,alpha,beta,km_bin,lo_km,hi_km,is_open_ended
0-50km,bic,stretched_exp,279,64.60801712815837,4587.564765540746,4595.564765540746,4610.089612668031,False,254.22874593956928,-2.0013723535184287,1.4826880426727802,,1.6821690729618601,"KmBin(lo=0.0, hi=50.0)",0.0,50.0,False
50-100km,bic,stretched_exp,279,43.74108649913427,6850.557495961322,6858.557495961322,6873.082343088608,False,46.366643454126766,-3.491638601965376,1.9769261979235462,,0.6847273450792656,"KmBin(lo=50.0, hi=100.0)",50.0,100.0,False
100-150km,bic,stretched_exp,279,32.14073526755942,4599.569012915203,4607.569012915203,4622.093860042488,False,45.32367906896116,-4.861506091014739,1.9297252195639072,,0.45998597867775315,"KmBin(lo=100.0, hi=150.0)",100.0,150.0,False
150-200km,bic,exponential,279,55.84453593892765,9824.664736695424,9830.664736695424,9841.558372040889,False,41.596126831919584,-1.883381618508725,1.9583147284817233,,,"KmBin(lo=150.0, hi=200.0)",150.0,200.0,False
200-250km,bic,log,279,73.02178512414577,26845.48378788114,26851.48378788114,26862.377423226604,True,6695.999999999999,-2.144717877897614,2.61464366261665,,,"KmBin(lo=200.0, hi=250.0)",200.0,250.0,False
250-300km,bic,log,279,63.50677255807652,26282.32508249788,26288.32508249788,26299.21871784334,True,6695.99999999997,-1.1827386366645574,1.9116104797790117,,,"KmBin(lo=250.0, hi=300.0)",250.0,300.0,False
300-350km,bic,log,279,66.8358406403591,30021.133883633862,30027.133883633862,30038.027518979325,True,6695.999999993929,-1.500496878502328,1.4807873704255146,,,"KmBin(lo=300.0, hi=350.0)",300.0,350.0,False
350-400km,bic,stretched_exp,279,71.9439532080824,42342.1013596459,42350.1013596459,42364.62620677319,True,73.24309673767019,-0.5560593493064477,1.2130262036646524,,1.9999998721814973,"KmBin(lo=350.0, hi=400.0)",350.0,400.0,False
400-450km,bic,stretched_exp,279,84.358716319573,86665.50503302782,86673.50503302782,86688.0298801551,True,100.72013272595436,-0.40393593352811963,1.1363824574979324,,1.9999999995528666,"KmBin(lo=400.0, hi=450.0)",400.0,450.0,False
450-500km,bic,stretched_exp,279,95.93914101367173,104027.70536900437,104035.70536900437,104050.23021613165,True,102.58532575868576,-0.4824453454227082,1.191650093577684,,1.9999998374203054,"KmBin(lo=450.0, hi=500.0)",450.0,500.0,False
500-550km,bic,stretched_exp,279,61.723336290785426,47130.08487688389,47138.08487688389,47152.60972401118,True,1951.4026674053964,-0.8548184188464294,1.6135081055700577,,1.999999999999916,"KmBin(lo=500.0, hi=550.0)",500.0,550.0,False
550-600km,bic,log,279,66.12821280639383,64202.2799038734,64208.2799038734,64219.173539218864,False,4.577093552376074,0.10085279784197218,0.34023499754831243,,,"KmBin(lo=550.0, hi=600.0)",550.0,600.0,False
600-650km,bic,stretched_exp,279,64.1001534207326,58841.020378021334,58849.020378021334,58863.54522514862,True,145.52729032411574,-0.23934268737020067,0.7325966796552514,,1.9999999999799793,"KmBin(lo=600.0, hi=650.0)",600.0,650.0,False
650-700km,bic,stretched_exp,279,66.19224727186602,87104.27218978865,87112.27218978865,87126.79703691593,True,6695.999847380038,-0.9464734533402879,1.362213403242096,,0.42857108090719975,"KmBin(lo=650.0, hi=700.0)",650.0,700.0,False
700-750km,bic,stretched_exp,279,73.35547073225473,67815.32593362647,67823.32593362647,67837.85078075375,True,6695.999999701065,-1.1887827271987261,1.8178428643349038,,0.8222772142331061,"KmBin(lo=700.0, hi=750.0)",700.0,750.0,False
750-800km,bic,stretched_exp,279,76.97983527256194,88104.6617234665,88112.6617234665,88127.18657059378,True,145.42682273690517,-0.43812483229587523,0.7762567205196684,,1.999999999108739,"KmBin(lo=750.0, hi=800.0)",750.0,800.0,False
800-850km,bic,stretched_exp,279,71.00954359408867,87647.2022158399,87655.2022158399,87669.72706296718,False,172.5143624384891,-0.3418525345699371,0.7160096413285358,,1.9912879033018152,"KmBin(lo=800.0, hi=850.0)",800.0,850.0,False
850-900km,bic,log,279,70.73926519779857,75866.35318903082,75872.35318903082,75883.24682437629,False,25.36218643042009,0.17182646851353073,0.20327711011149008,,,"KmBin(lo=850.0, hi=900.0)",850.0,900.0,False
900-950km,bic,stretched_exp,279,63.750725438405865,52955.31367526146,52963.31367526146,52977.838522388745,True,6695.999995982029,-6.296159755096534,6.740300889645944,,1.7013502324219634,"KmBin(lo=900.0, hi=950.0)",900.0,950.0,False
950-1000km,bic,stretched_exp,279,60.71278329514851,23140.246777665125,23148.246777665125,23162.77162479241,True,6695.995587049296,-2.8181522575434474,3.249029977117423,,1.6207901241971,"KmBin(lo=950.0, hi=1000.0)",950.0,1000.0,False
1000km+,bic,log,279,58.38704272462947,7465.32232196558,7471.32232196558,7482.215957311044,False,347.75205729824603,0.2856681121327879,0.2760839340226951,,,"KmBin(lo=1000.0, hi=inf)",1000.0,inf,True
