slug,status,n_rows,n_geo_units,n_windows,message
cambodia_monsoon_season_study_2024_05_09,ok,873,25,35,ok
flooding_in_central_and_eastern_europe_sept_16_2024,ok,30041,1117,27,ok
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,ok,4324,340,14,ok
hurricane_beryl_across_southeastern_texas_us,ok,9455,690,15,ok
hurricane_john_southern_mexico_25_september_2024,ok,13166,908,15,ok
moldova_flooding_2024,ok,1762,63,28,ok
spain_flood,ok,5754,628,10,ok
the_earthquake_across_central_mexico,ok,5390,1366,4,ok
the_wildfires_in_quito_pichincha_province_ecuador,ok,2133,149,15,ok
tropical_storm_debby_united_states_pre_landfall_4_august_2024,ok,27899,1931,15,ok
tropical_storm_kristine_in_bicol_and_calabarzon_philippines,ok,2868,245,12,ok
turkiye_earthquake_2023,ok,25798,744,36,ok
typhoon_krathon_across_taiwan,ok,612,51,12,ok
typhoon_yagi_across_northeastern_vietnam,ok,315,29,11,ok
wildfires_in_boise_county_idaho_27_august_2024,ok,1150,93,15,ok
