slug,preprocess_status,n_units_fit,selected
cambodia_monsoon_season_study_2024_05_09,ok,4,True
flooding_in_central_and_eastern_europe_sept_16_2024,ok,412,True
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,ok,98,True
hurricane_beryl_across_southeastern_texas_us,ok,203,True
hurricane_john_southern_mexico_25_september_2024,ok,267,True
moldova_flooding_2024,ok,18,True
spain_flood,ok,164,True
the_earthquake_across_central_mexico,ok,0,True
the_wildfires_in_quito_pichincha_province_ecuador,ok,29,True
tropical_storm_debby_united_states_pre_landfall_4_august_2024,ok,531,True
tropical_storm_kristine_in_bicol_and_calabarzon_philippines,ok,63,True
turkiye_earthquake_2023,ok,257,True
typhoon_krathon_across_taiwan,ok,20,True
typhoon_yagi_across_northeastern_vietnam,ok,16,True
wildfires_in_boise_county_idaho_27_august_2024,ok,18,True
