t_start_hours,t_end_hours,duration_hours,n_windows
48.0,64.0,16.0,3
80.0,80.0,0.0,1
96.0,96.0,0.0,1
192.0,192.0,0.0,1
240.0,240.0,0.0,1
280.0,288.0,8.0,2
328.0,328.0,0.0,1
