slug,short_name,model,BIC,sse,k_minus,k_plus,gamma,c
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,A,-1591.5684809157276,0.03937128793904863,0.0008646435968915919,0.0008646435968915919,0.0,7.603882761345236e-23
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,B,-1240.5027176584645,0.245376439186357,0.020833333333333332,0.050882510172485365,0.0,0.08195887057070057
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,C,-1666.034155065921,0.02582400358779438,0.0019382151569007876,0.0019382151569007876,-0.07939669058084681,3.5952433087946e-19
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,D,-1660.79240804881,0.025824003588074636,0.020833333333333332,0.0019382159217241296,-0.07939672725446117,2.4132182954318114e-13
hurricane_john_across_southeastern_guerrero_mexico,john_gue,A,-966.6200190752661,0.054362977063263686,1.3153410719647467,1.3153410719647467,0.0,0.08091243356975668
hurricane_john_across_southeastern_guerrero_mexico,john_gue,B,-961.7837371661642,0.05436297706419149,0.020833333333333332,0.9874438119215029,0.0,0.0809124336226088
hurricane_john_across_southeastern_guerrero_mexico,john_gue,C,-935.9718569064222,0.06672232109467217,1.0000000000000023e-05,1.0000000000000023e-05,9.999999999830303,0.0552838991571281
hurricane_john_across_southeastern_guerrero_mexico,john_gue,D,-931.1355747785784,0.06672232121164402,0.020833333333333332,1.0000000009604726e-05,9.999999800877456,0.055283899105959176
hurricane_john_southern_mexico_25_september_2024,john_sm,A,-1341.3834616239399,0.05385494994665445,0.21432092066607314,0.21432092066607314,0.0,0.08214512034140548
hurricane_john_southern_mexico_25_september_2024,john_sm,B,-1336.259497650794,0.0538549499446485,0.020833333333333332,0.2143118371434879,0.0,0.08214510121225217
hurricane_john_southern_mexico_25_september_2024,john_sm,C,-1336.6666730484906,0.05372458173883066,0.1406725052902499,0.1406725052902499,9.99999999899419,0.08189457124104553
hurricane_john_southern_mexico_25_september_2024,john_sm,D,-1292.675964378052,0.06770908243797799,0.020833333333333332,1.000109858494707e-05,9.99999997927405,0.05935346122766787
hurricane_milton_across_florida_us,milton_fl,A,-1026.9332691662903,0.0336834549396279,0.06718618049124854,0.06718618049124854,0.0,0.11144993765144946
hurricane_milton_across_florida_us,milton_fl,B,-1022.0969850495319,0.03368345553037337,0.020833333333333332,0.06719726329742308,0.0,0.1114519692769065
hurricane_milton_across_florida_us,milton_fl,C,-1024.9487021768205,0.03292967106362149,0.08340642691180908,0.08340642691180908,-1.7389143468889283,0.11217364333471369
hurricane_milton_across_florida_us,milton_fl,D,-1020.1124202699551,0.03292967106359896,0.020833333333333332,0.0834072935628376,-1.7389396901446608,0.11217375154289441
moldova_flooding_2024,moldova,A,-1010.6136656355035,0.07497707531705662,0.0030461597633135566,0.0030461597633135566,0.0,4.793372995024032e-19
moldova_flooding_2024,moldova,B,-1011.1007655433465,0.07205850258629592,0.0007869903459705742,0.003284407052269483,0.0,1.21464070832908e-19
moldova_flooding_2024,moldova,C,-1006.2075215257154,0.07469835424963255,0.0033583940585630804,0.0033583940585630804,-0.025264858137440067,3.599196489720178e-16
moldova_flooding_2024,moldova,D,-1008.7871524250979,0.07069449628103687,0.0008766467909951392,0.004059386576448023,-0.056690297533103055,9.113598979933437e-18
spain_flood,spain_flood,A,-716.0062197593835,0.10500016383355368,0.0033718324722835672,0.0033718324722835672,0.0,1.2431271749985267e-14
spain_flood,spain_flood,B,-712.4424922199211,0.10391556982769083,0.009436460085559905,0.0033398821405279805,0.0,4.343215630465327e-19
spain_flood,spain_flood,C,-735.4191859102763,0.08349218934109114,0.005685936129492333,0.005685936129492333,-0.05957866538872754,5.88355550074855e-20
spain_flood,spain_flood,D,-731.2146290890782,0.08313560360841935,0.009535152277547783,0.005647209569607411,-0.05902812375987988,5.790441344104165e-18
the_earthquake_across_central_mexico,the_earthquake_across_,A,-598.8204019958555,0.06059801460732936,0.011913805676463067,0.011913805676463067,0.0,1.0590634766255817e-12
the_earthquake_across_central_mexico,the_earthquake_across_,B,-594.3895851769955,0.06059801462176943,0.020833333333333332,0.011913840652015954,0.0,7.781465899579182e-11
the_earthquake_across_central_mexico,the_earthquake_across_,C,-613.0600708697622,0.048520890817283245,0.009099915185338163,0.009099915185338163,0.053691982135591634,1.3028778429313606e-18
the_earthquake_across_central_mexico,the_earthquake_across_,D,-608.6292531543068,0.04852089134674556,0.020833333333333332,0.009099385254250292,0.053705006159362,1.2372704748938539e-10
the_flooding_across_bagmati_and_koshi_provinces_nepal,nepal_fld,A,-1644.2935834029406,0.7573453070429527,0.05672657803070178,0.05672657803070178,0.0,0.04980771693843281
the_flooding_across_bagmati_and_koshi_provinces_nepal,nepal_fld,B,-1640.288202713422,0.7529508729122927,0.060666958395519166,0.03718613145506014,0.0,0.04997848496124865
the_flooding_across_bagmati_and_koshi_provinces_nepal,nepal_fld,C,-1641.019517043444,0.7509868540088608,0.07309726493375206,0.07309726493375206,-0.9014616872667931,0.050076889722104584
the_flooding_across_bagmati_and_koshi_provinces_nepal,nepal_fld,D,-1636.50655402801,0.7479840269747562,0.0739361491269621,0.06343378522028326,-0.8239548889186094,0.05018780706078814
the_flooding_across_eastern_bangladesh,bangladesh_fld,A,-1446.586699261851,0.13702398391176923,0.2249007531320985,0.2249007531320985,0.0,0.03822902707770611
the_flooding_across_eastern_bangladesh,bangladesh_fld,B,-1441.2992749604932,0.1370165210590576,1.9847039530721284,0.20182058966184793,0.0,0.03820199914561795
the_flooding_across_eastern_bangladesh,bangladesh_fld,C,-1442.0796018083804,0.13648297423823483,0.1927488012268044,0.1927488012268044,-9.999999103616835,0.03801811468565751
the_flooding_across_eastern_bangladesh,bangladesh_fld,D,-1405.0226923761747,0.15997104599363338,1.0000000001116685e-05,1.0000000025018545e-05,9.999999256636457,0.017776505175490332
the_flooding_across_gujarat_india,gujarat_fld,A,-904.5766089939167,0.08895150823890816,0.005249607967277012,0.005249607967277012,0.0,0.013101799995325063
