slug,short_name,weighted_tau_by_abs_delta0,tau_weight_method,D_peak,near_delta
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,276.68705174061495,abs_delta0_weighted,0.1005919988678328,0.0663782817545836
hurricane_john_across_southeastern_guerrero_mexico,john_gue,1045.0506001177478,abs_delta0_weighted,0.1013123414320732,0.0747654742133128
hurricane_john_southern_mexico_25_september_2024,john_sm,1206.0287617727706,abs_delta0_weighted,0.1169310535357565,0.0845285322756548
hurricane_milton_across_florida_us,milton_fl,97.33179127978826,abs_delta0_weighted,0.1402609197082922,0.1179022527130344
moldova_flooding_2024,moldova,592.1994741513507,abs_delta0_weighted,0.0629946988646874,0.0454533432570181
spain_flood,spain_flood,22.42662876867682,abs_delta0_weighted,0.1291051378624129,0.1384680031755251
the_earthquake_across_central_mexico,the_earthquake_across_,86.27798931444157,abs_delta0_weighted,0.2475952968745697,0.2504894683816717
the_flooding_across_bagmati_and_koshi_provinces_nepal,nepal_fld,23.513644952778186,abs_delta0_weighted,0.1846441741699349,-0.1036825312156231
the_flooding_across_eastern_bangladesh,bangladesh_fld,629.947561723402,abs_delta0_weighted,0.084443726999841,0.0617398520428817
the_flooding_across_gujarat_india,gujarat_fld,350.871337039272,abs_delta0_weighted,0.1248691169593248,-0.0781600835658264
turkiye_earthquake_2023,turkiye,1638.1587561972108,abs_delta0_weighted,0.4011400882265244,0.0566336948172924
typhoon_yagi_across_northeastern_vietnam,yagi_vn,118.08653447812549,abs_delta0_weighted,0.2564811305157264,-0.2739356164808162
wildfires_in_boise_county_idaho_27_august_2024,boise_fire,1501.1908572563896,abs_delta0_weighted,0.1370914440779581,0.0403005631767364
