slug,short_name,disaster_type,event_type,n_bins,n_points,k_minus,k_plus,k_ratio,gamma,c,r2,BIC_A,BIC_B,BIC_C,BIC_D,best_model,near_delta,D_peak,alpha
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,flood,INFL,21,189,0.00193821514220291,0.00193821514220291,1.0,-0.07939669251177926,8.551956809597765e-23,0.8986991136705432,-1591.5684809157246,-1586.3267338962685,-1666.0341550659239,-1660.7924080312252,C,0.0663782817545836,0.1005919988678328,0.0978433601132348
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,hurricane,EVAC,20,260,0.04034543483625506,0.12541289737310338,0.3217008432252975,0.0,0.024228467014512763,0.07402175359879559,-1617.2222832500843,-1618.5939734132583,-1616.3485751335134,-1616.775310955247,B,-0.2182305293802359,0.1218373784779385,0.593924263029768
hurricane_beryl_across_southeastern_texas_us,beryl_tx,hurricane,EVAC,21,294,0.026454881265559786,0.026454881265559786,1.0,0.0,0.02411555513010435,0.5513891654186489,-2248.8138506849136,-2248.322075568172,-2243.2406042625544,-2242.919172954264,A,-0.1686674012421007,0.1182352467469458,0.6471140254387306
hurricane_beryl_pre_landfall_2024,beryl_pre,hurricane,NEUTRAL,15,447,0.02162850944598125,0.02162850944598125,1.0,-0.037661313664640615,0.061112770855508515,0.5002305267229306,-2146.10916554239,-2152.5360096497243,-2229.541895898034,-2228.749233617353,C,0.0042813828084239,0.1714251397966239,0.4253901178736078
hurricane_john_across_southeastern_guerrero_mexico,john_gue,hurricane,INFL,21,126,1.4504242920242483,1.4504242920242483,1.0,0.0,0.08091243361271688,-4.440892098500626e-16,-966.6200190752668,-961.7837371683153,-961.7837371683154,-956.9474552476875,A,0.0747654742133128,0.1013123414320732,-0.0187885228771998
hurricane_john_southern_mexico_25_september_2024,john_sm,hurricane,INFL,21,168,0.21432340835148472,0.21432340835148472,1.0,0.0,0.08214512559695,0.00025287031045939656,-1341.3834616215227,-1336.2594976384128,-1336.666673049853,-1331.54270155676,A,0.0845285322756548,0.1169310535357565,0.0822667257418016
hurricane_milton_across_florida_us,milton_fl,hurricane,INFL,21,126,0.06718688439188057,0.06718688439188057,1.0,0.0,0.1114500604001022,0.23558647690773582,-1026.9332691930535,-1022.0969872352684,-1024.9487021764185,-1020.1124199638056,A,0.1179022527130344,0.1402609197082922,0.2091651414158485
moldova_flooding_2024,moldova,flood,INFL,17,136,0.0007869906887914747,0.0032844055877524958,0.23961434352875063,0.0,2.657039476472133e-19,0.6473807608538191,-1010.6136656351671,-1011.1007655433799,-1006.2075215262679,-1008.7871524232676,B,0.0454533432570181,0.0629946988646874,0.1828320289226983
spain_flood,spain_flood,flood,INFL,21,105,0.0056859309507623105,0.0056859309507623105,1.0,-0.059578575595365175,4.0361831213039495e-18,0.8710351581135888,-716.0062197607144,-712.4424922198268,-735.4191859105672,-731.2146290828904,C,0.1384680031755251,0.1291051378624129,0.2672111552113404
the_earthquake_across_central_mexico,the_earthquake_across_,earthquake,INFL,21,84,0.009099916723134843,0.009099916723134843,1.0,0.053691941815610836,5.439163080156806e-20,0.8058761225347064,-598.8204019953121,-594.3895851768899,-613.060070869892,-608.6292533466611,C,0.2504894683816717,0.2475952968745697,0.3479752777497077
the_flooding_across_bagmati_and_koshi_provinces_nepal,nepal_fld,flood,EVAC,20,280,0.05672808026298377,0.05672808026298377,1.0,0.0,0.04980793774539074,0.06549853297779962,-1644.29358331068,-1640.288203012634,-1641.019516896362,-1636.5065539632255,A,-0.1036825312156231,0.1846441741699349,1.1346522923352398
the_flooding_across_eastern_bangladesh,bangladesh_fld,flood,INFL,20,200,0.22486771152829996,0.22486771152829996,1.0,0.0,0.038228997383518336,2.863131602914848e-05,-1446.5866992486876,-1441.2992918451744,-1442.0796017007915,-1436.798860273354,A,0.0617398520428817,0.084443726999841,0.1691876148186711
the_flooding_across_gujarat_india,gujarat_fld,flood,EVAC,21,126,0.0009313813410985088,0.0009313813410985088,1.0,0.36252484130081797,0.012112374291589909,0.33681161165033424,-904.57660898199,-874.8152971852061,-908.824496696936,-903.9882147586586,C,-0.0781600835658264,0.1248691169593248,0.1609104782222367
turkiye_earthquake_2023,turkiye,earthquake,INFL,20,679,0.041858274466147434,0.041858274466147434,1.0,-0.05705087129044061,0.228814640487166,0.07273128329016998,-2546.973782013334,-2558.769338742966,-2559.897893115948,-2559.1465330605706,C,0.0566336948172924,0.4011400882265244,0.2228386744457222
typhoon_yagi_across_northeastern_vietnam,yagi_vn,typhoon,EVAC,16,160,0.028428768110748227,0.028428768110748227,1.0,0.0,0.05838528808183163,0.544389492931266,-934.7431970011671,-929.6717860246125,-930.4565987876374,-925.3942676593814,A,-0.2739356164808162,0.2564811305157264,0.8332010653890054
wildfires_in_boise_county_idaho_27_august_2024,boise_fire,wildfire,INFL,21,168,1.0000000000000014e-05,0.15941137686616536,6.273077992667716e-05,1.5469862517986366,0.04575435564715528,0.24859621923698838,-1107.3221050896161,-1133.5663905495364,-1102.2253126514738,-1145.0906123416921,D,0.0403005631767364,0.1370914440779581,0.1809235793291555
