slug,short_name,disaster_type,event_type,t_peak_hours,t_peak_source,D_peak,near_delta,r_bin_km,bin_type,peak_delta_mean,delta0_signed,delta0_abs,n_post_points,t50_h,abs_delta_24h,abs_delta_72h,R24_72,metric_ok_t50,metric_ok_R24_72,metric_primary,daily_avg_applied,median_step_hours_raw
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,flood,INFL,416.0,preferred_snap,0.10059199886783282,0.0663782817545836,0.0,INFL,0.06956753369415286,0.09238793356938142,0.09238793356938142,9,,0.10246315839464389,0.06621575902869885,0.646239683278787,0,1,R24_72,1,8.0
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,flood,INFL,416.0,preferred_snap,0.10059199886783282,0.0663782817545836,10.0,INFL,0.0480157900675453,0.07900127388350946,0.07900127388350946,9,,0.07056150063739623,0.05682172781943451,0.8052794697696677,0,1,R24_72,1,8.0
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,flood,INFL,416.0,preferred_snap,0.10059199886783282,0.0663782817545836,20.0,INFL,0.06716898879727892,0.09672147016694699,0.09672147016694699,9,,0.07236024329561712,0.07706573845734017,1.0650287360491513,0,1,R24_72,1,8.0
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,flood,INFL,416.0,preferred_snap,0.10059199886783282,0.0663782817545836,30.0,INFL,0.039500861909703776,0.07272815433918171,0.07272815433918171,9,192.0,0.047844173191528006,0.058512197092468764,1.222974360080065,1,1,R24_72,1,8.0
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,flood,INFL,416.0,preferred_snap,0.10059199886783282,0.0663782817545836,40.0,INFL,0.07762560705255077,0.1049256453251169,0.1049256453251169,9,,0.12075569454378443,0.08320415691976472,0.689028846499624,0,1,R24_72,1,8.0
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,flood,INFL,416.0,preferred_snap,0.10059199886783282,0.0663782817545836,50.0,INFL,0.09639090900627045,0.11944998376583686,0.11944998376583686,9,,0.1094256490425729,0.1100908815606058,1.0060793106904404,0,1,R24_72,1,8.0
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,flood,INFL,416.0,preferred_snap,0.10059199886783282,0.0663782817545836,60.0,INFL,0.08764601206603694,0.1094075618470171,0.1094075618470171,9,,0.10760044308887966,0.09760626560228543,0.9071176920866498,0,1,R24_72,1,8.0
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,flood,INFL,416.0,preferred_snap,0.10059199886783282,0.0663782817545836,70.0,INFL,0.09345732792187827,0.12091257732810597,0.12091257732810597,9,,0.12322739103281788,0.10215402681946657,0.8289879868694205,0,1,R24_72,1,8.0
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,flood,INFL,416.0,preferred_snap,0.10059199886783282,0.0663782817545836,80.0,INFL,0.10183146971881969,0.12155878589559266,0.12155878589559266,9,,0.12549052333154145,0.1126699666880399,0.8978364556690062,0,1,R24_72,1,8.0
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,flood,INFL,416.0,preferred_snap,0.10059199886783282,0.0663782817545836,90.0,INFL,0.1600422657140823,0.17025019643127215,0.17025019643127215,9,,0.17708501169802374,0.17434465061790747,0.9845251664506237,0,1,R24_72,1,8.0
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,flood,INFL,416.0,preferred_snap,0.10059199886783282,0.0663782817545836,100.0,INFL,0.1274762264577657,0.14409619529380513,0.14409619529380513,9,,0.1435302092063031,0.14646100574853885,1.0204193706568292,0,1,R24_72,1,8.0
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,flood,INFL,416.0,preferred_snap,0.10059199886783282,0.0663782817545836,110.0,INFL,0.07938152715246992,0.10498903480444326,0.10498903480444326,9,,0.09955078543282185,0.09411566092126367,0.9454034994507816,0,1,R24_72,1,8.0
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,flood,INFL,416.0,preferred_snap,0.10059199886783282,0.0663782817545836,120.0,INFL,0.07912974968965436,0.1064484240915357,0.1064484240915357,9,,0.09493759946315294,0.08918217522592793,0.9393767667418345,0,1,R24_72,1,8.0
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,flood,INFL,416.0,preferred_snap,0.10059199886783282,0.0663782817545836,130.0,INFL,0.0905464307848544,0.11814642051945778,0.11814642051945778,9,,0.11243100284106518,0.10914787885083843,0.9707987662898654,0,1,R24_72,1,8.0
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,flood,INFL,416.0,preferred_snap,0.10059199886783282,0.0663782817545836,140.0,INFL,0.08812934978642696,0.11371784863775185,0.11371784863775185,9,,0.10171420356603574,0.10932925437528551,1.0748671330283373,0,1,R24_72,1,8.0
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,flood,INFL,416.0,preferred_snap,0.10059199886783282,0.0663782817545836,150.0,INFL,0.07587675620750513,0.10191584089045495,0.10191584089045495,9,,0.08814164816327115,0.08945164774428897,1.0148624357306233,0,1,R24_72,1,8.0
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,flood,INFL,416.0,preferred_snap,0.10059199886783282,0.0663782817545836,160.0,INFL,0.08267942546144408,0.11271332022607994,0.11271332022607994,9,,0.09818640634540743,0.10046208390131528,1.0231771142321098,0,1,R24_72,1,8.0
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,flood,INFL,416.0,preferred_snap,0.10059199886783282,0.0663782817545836,170.0,INFL,0.022127815206440374,0.04163516369784263,0.04163516369784263,9,96.0,0.031306634820197056,0.02377557903674236,0.7594421812913557,1,1,R24_72,1,8.0
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,flood,INFL,416.0,preferred_snap,0.10059199886783282,0.0663782817545836,180.0,INFL,0.02152871967932457,0.04870644323129247,0.04870644323129247,9,48.0,0.02814258876294014,0.03537694479347612,1.2570607875300588,1,1,R24_72,1,8.0
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,flood,INFL,416.0,preferred_snap,0.10059199886783282,0.0663782817545836,190.0,INFL,0.03231543180651427,0.060125821584877524,0.060125821584877524,9,24.0,0.02154651184407815,0.0482771851630824,2.2406032824450386,1,1,R24_72,1,8.0
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,flood,INFL,416.0,preferred_snap,0.10059199886783282,0.0663782817545836,200.0,INFL,0.040484337757013544,0.07259388069498655,0.07259388069498655,9,,0.04869898290660394,0.04974569035959875,1.0214934150678714,0,1,R24_72,1,8.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,hurricane,EVAC,-8.0,preferred_snap,0.12183737847793855,-0.2182305293802359,0.0,INFL,0.17068248589541768,0.17068248589541768,0.17068248589541768,3,216.0,,,,1,0,t50_h,0,24.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,hurricane,EVAC,-8.0,preferred_snap,0.12183737847793855,-0.2182305293802359,10.0,EVAC,-0.2415979824454355,-0.2415979824454355,0.2415979824454355,13,72.0,0.2415979824454355,0.11210578162727114,0.46401787172452913,1,1,R24_72,0,24.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,hurricane,EVAC,-8.0,preferred_snap,0.12183737847793855,-0.2182305293802359,20.0,EVAC,-0.3021802306791054,-0.3021802306791054,0.3021802306791054,13,24.0,0.1357902846939837,0.05026875179136181,0.3701940231191592,1,1,R24_72,0,24.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,hurricane,EVAC,-8.0,preferred_snap,0.12183737847793855,-0.2182305293802359,30.0,EVAC,-0.2140913525187348,-0.2140913525187348,0.2140913525187348,13,24.0,0.05786937991306862,0.013771298959712963,0.2379721189409703,1,1,R24_72,0,24.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,hurricane,EVAC,-8.0,preferred_snap,0.12183737847793855,-0.2182305293802359,40.0,EVAC,-0.16804010216028964,-0.16804010216028964,0.16804010216028964,13,24.0,0.029183990463202747,0.0003147009399464551,0.010783341652446482,1,1,R24_72,0,24.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,hurricane,EVAC,-8.0,preferred_snap,0.12183737847793855,-0.2182305293802359,50.0,EVAC,-0.1886104321628138,-0.1886104321628138,0.1886104321628138,13,24.0,0.004539142012144781,0.009636780839766823,2.1230401723459993,1,1,R24_72,0,24.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,hurricane,EVAC,-8.0,preferred_snap,0.12183737847793855,-0.2182305293802359,60.0,INFL,0.004108888218471662,0.004108888218471662,0.004108888218471662,13,,0.02493098007597294,0.004022834898541605,0.16135887503350035,0,1,R24_72,0,24.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,hurricane,EVAC,-8.0,preferred_snap,0.12183737847793855,-0.2182305293802359,70.0,INFL,0.08041546386164633,0.08041546386164633,0.08041546386164633,13,48.0,0.05201629651752171,0.007089912044071167,0.13630174615916624,1,1,R24_72,0,24.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,hurricane,EVAC,-8.0,preferred_snap,0.12183737847793855,-0.2182305293802359,80.0,INFL,0.12826511831252962,0.12826511831252962,0.12826511831252962,13,24.0,0.01762124443171409,0.02511819165982143,1.4254493635315906,1,1,R24_72,0,24.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,hurricane,EVAC,-8.0,preferred_snap,0.12183737847793855,-0.2182305293802359,90.0,INFL,0.12279842972631139,0.12279842972631139,0.12279842972631139,13,24.0,0.03472541389328665,0.007211040105832733,0.20765886701862524,1,1,R24_72,0,24.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,hurricane,EVAC,-8.0,preferred_snap,0.12183737847793855,-0.2182305293802359,100.0,INFL,0.05706770201459488,0.05706770201459488,0.05706770201459488,13,24.0,0.0005838144074692408,0.0025038208952730123,4.288727484692864,1,1,R24_72,0,24.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,hurricane,EVAC,-8.0,preferred_snap,0.12183737847793855,-0.2182305293802359,110.0,INFL,0.12969729769526062,0.12969729769526062,0.12969729769526062,13,24.0,0.0088802763351703,0.023672079318780348,2.6656917448646467,1,1,R24_72,0,24.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,hurricane,EVAC,-8.0,preferred_snap,0.12183737847793855,-0.2182305293802359,120.0,EVAC,-0.1585382983995438,-0.1585382983995438,0.1585382983995438,13,24.0,0.041030976577073774,0.03678619290819396,0.8965468525735357,1,1,R24_72,0,24.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,hurricane,EVAC,-8.0,preferred_snap,0.12183737847793855,-0.2182305293802359,130.0,INFL,0.15030335038587883,0.15030335038587883,0.15030335038587883,13,24.0,0.02405491710400398,0.030260813910325757,1.2579887005841643,1,1,R24_72,0,24.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,hurricane,EVAC,-8.0,preferred_snap,0.12183737847793855,-0.2182305293802359,140.0,EVAC,-0.11202931888825085,-0.11202931888825085,0.11202931888825085,13,24.0,0.024647540722553152,0.014141973350706771,0.5737681300498468,1,1,R24_72,0,24.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,hurricane,EVAC,-8.0,preferred_snap,0.12183737847793855,-0.2182305293802359,150.0,EVAC,-0.05330015498482321,-0.05330015498482321,0.05330015498482321,13,24.0,0.010836463342058011,0.005327111189561973,0.4915913081057193,1,1,R24_72,0,24.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,hurricane,EVAC,-8.0,preferred_snap,0.12183737847793855,-0.2182305293802359,160.0,EVAC,-0.06981629921444499,-0.06981629921444499,0.06981629921444499,13,48.0,0.03533903834268637,0.018567903312862843,0.5254218615913635,1,1,R24_72,0,24.0
