slug,short_name,disaster_type,event_type,D_peak,t_peak_hours,fit_method,fit_min_tprime_hours,n_mono,n_post_fit,n_total_post,alpha,logA,r2,t_decay_start,t_decay_end,D_inf,D_inf_abs,near_delta_peak_windows_mean,D_inf_summary,n_time_windows,D_peak_summary,D_peak_snr,catalog_exclude_reason,route_b_exclude_via_catalog,route_b_exclude_via_cli,quality_short_windows,quality_short_post_peak,quality_low_signal,quality_low_snr,quality_missing_near_delta,analysis_n_mono_lt_threshold,analysis_alpha_nan,data_quality_ok,analysis_applicability_ok,route_b_base_ok,route_b_excluded_slug,route_b_low_r2,route_b_selected,route_b_selected_plot,drop_reason_primary,drop_reason_class
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,hurricane,EVAC,0.11862884746395107,4.0,monotone_truncated,24.0,2,13,13,,,,24.0,48.0,0.231641196359519,0.027479328149300517,-0.09860643877660906,0.231641196359519,14,0.11862884746395107,,,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,analysis_n_mono_lt_threshold,analysis_applicability
hurricane_beryl_across_southeastern_texas_us,beryl_tx,hurricane,EVAC,0.11204211324221951,0.0,monotone_truncated,24.0,7,14,14,0.48192721857033466,1.0171322936384037,0.9693806986554526,24.0,168.0,0.21397323268807356,0.02397401316764092,-0.1915603885481192,0.21397323268807356,15,0.11204211324221951,,,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,selected,selected
hurricane_beryl_pre_landfall_2024,beryl_pre,hurricane,EVAC,0.15556528440633555,39.0,monotone_truncated,24.0,3,27,27,0.1916986189251306,0.5460846283277585,0.9992366186739248,24.0,72.0,0.49520880922580734,0.07703729924773549,-0.19682990059380462,0.49520880922580734,30,0.15556528440633555,,,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,selected,selected
hurricane_debby_across_florida_and_georgia_us,debby_pre,hurricane,NEUTRAL,0.04765060965446212,220.0,monotone_truncated,24.0,0,0,0,,,,,,,,-0.01953159557581784,,8,0.04765060965446212,,,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,data_quality_short_post_peak,data_quality
hurricane_ernesto_puerto_rico_14_august_2024,ernesto_pr,hurricane,NEUTRAL,0.14371511940704396,48.0,monotone_truncated,24.0,5,14,14,0.5637686192538466,1.703113332811986,0.6312039030919674,24.0,120.0,0.35651139580009955,0.051236077817383215,,0.35651139580009955,15,0.14371511940704396,,,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,data_quality_missing_near_delta,data_quality
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,helene_pre,hurricane,INFL,0.12817683894994478,192.0,monotone_truncated,24.0,2,3,3,,,,24.0,48.0,0.9747284967652278,0.12493761754979837,0.13261104455308997,0.9747284967652278,12,0.12817683894994478,,,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,analysis_n_mono_lt_threshold,analysis_applicability
hurricane_john_across_southeastern_guerrero_mexico,john_gue,hurricane,INFL,0.10854471895634694,179.75,monotone_truncated,24.0,6,6,6,0.0770867312700886,0.1398404624478809,0.8660207008042626,24.0,144.0,0.7790506602882246,0.08456183497374185,0.05801671288592653,0.7790506602882246,7,0.10854471895634694,,,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,selected,selected
hurricane_john_southern_mexico_25_september_2024,john_sm,hurricane,INFL,0.10925354725485996,23.0,monotone_truncated,24.0,2,11,11,,,,24.0,48.0,0.7560845223485919,0.0826049160910801,0.09278085515415868,0.7560845223485919,13,0.10925354725485996,,,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,analysis_n_mono_lt_threshold,analysis_applicability
hurricane_milton_across_florida_us,milton_fl,hurricane,INFL,0.13109193990737827,72.0,monotone_truncated,24.0,3,6,6,0.19278334100769184,0.6305277595801472,0.5992990575203219,24.0,72.0,0.8661258107357699,0.11354211273320283,0.08136184467801648,0.8661258107357699,10,0.13109193990737827,,,False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,False,selected,selected
tropical_storm_kristine_in_bicol_and_calabarzon_philippines,kristine_ph,tropical_storm,NEUTRAL,0.234820820631025,300.0,monotone_truncated,24.0,0,0,0,,,,,,,,,,12,0.234820820631025,,,False,False,False,True,False,False,True,True,True,False,False,False,False,False,False,False,data_quality_short_post_peak,data_quality
tropical_storm_yagi_philippines_2_september_2024,yagi_ph,tropical_storm,EVAC,0.10125879327362504,297.0,monotone_truncated,24.0,1,2,2,,,,24.0,24.0,0.9177175552493774,0.09292697221057326,-0.08225239719498456,0.9177175552493774,15,0.10125879327362504,,,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,data_quality_short_post_peak,data_quality
typhoon_krathon_across_taiwan,krathon_tw,typhoon,INFL,0.115149593729162,154.33333333333334,monotone_truncated,24.0,4,4,4,0.24013167417994696,0.7132764007815858,0.9490164052541662,24.0,95.99999999999997,0.6604692597818088,0.07605276693447564,0.1087057896101105,0.6604692597818088,12,0.115149593729162,,,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,selected,selected
typhoon_yagi_across_northeastern_vietnam,yagi_vn,typhoon,EVAC,0.3108742616638673,29.0,monotone_truncated,24.0,5,10,10,0.586140055751077,1.6087249528284095,0.9595178142354739,24.0,120.0,0.2532855096978386,0.07873994581747186,-0.5179643776801862,0.2532855096978386,11,0.3108742616638673,,,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,selected,selected
