subset,n,spearman_rho_alpha_vs_Dinf,spearman_p_alpha_vs_Dinf
selected,6,-0.6571428571428573,0.1561749271137024
selected_r2_ge_0p8,5,-0.7999999999999999,0.10408803866182788
