slug,short_name,name,disaster_type,output_root,n_time_windows,n_time_windows_raw,median_step_hours_raw,daily_avg_applied,t_peak_hours,D_peak,event_type,near_delta_peak_windows_mean,D_inf,D_baseline_std,D_peak_snr
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,"Hurricane Beryl Across Quintana Roo and Yucatan, Mexico",hurricane,outputs/_runs/unified_path_h8_$(date +%Y%m%d_%H%M%S),14,14,24.0,0,4.0,0.11862884746395107,EVAC,-0.09860643877660906,0.231641196359519,,
hurricane_beryl_across_southeastern_texas_us,beryl_tx,"Hurricane Beryl Across Southeastern Texas, US",hurricane,outputs/_runs/unified_path_h8_$(date +%Y%m%d_%H%M%S),15,15,24.0,0,0.0,0.11204211324221951,EVAC,-0.1915603885481192,0.21397323268807356,,
hurricane_beryl_jamaica_western_caribbean_pre_landfall_2024_07_03,beryl_pre,Hurricane Beryl Jamaica And Western Caribbean Pre Landfall July 3 2024,hurricane,outputs/_runs/unified_path_h8_$(date +%Y%m%d_%H%M%S),0,0,,0,,,EXCLUDED_SHORT,,,,
hurricane_beryl_pre_landfall_2024,beryl_pre,Hurricane Beryl Pre Landfall Disaster Maps June 30 2024,hurricane,outputs/_runs/unified_path_h8_$(date +%Y%m%d_%H%M%S),30,30,24.0,0,39.0,0.15556528440633555,EVAC,-0.19682990059380462,0.49520880922580734,,
hurricane_debby_across_florida_and_georgia_us,debby_pre,"Hurricane Debby Across Florida and Georgia, US",hurricane,outputs/_runs/unified_path_h8_$(date +%Y%m%d_%H%M%S),8,8,24.0,0,220.0,0.04765060965446212,NEUTRAL,-0.01953159557581784,,,
hurricane_ernesto_puerto_rico_14_august_2024,ernesto_pr,Hurricane Ernesto Puerto Rico 14 August 2024,hurricane,outputs/_runs/unified_path_h8_$(date +%Y%m%d_%H%M%S),15,15,24.0,0,48.0,0.14371511940704396,NEUTRAL,,0.35651139580009955,,
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,helene_pre,Hurricane Helene Pre Landfall Gulf Of Mexico 24 September 2024,hurricane,outputs/_runs/unified_path_h8_$(date +%Y%m%d_%H%M%S),12,12,24.0,0,192.0,0.12817683894994478,INFL,0.13261104455308997,0.9747284967652278,,
hurricane_john_across_southeastern_guerrero_mexico,john_gue,"Hurricane John Across Southeastern Guerrero, Mexico",hurricane,outputs/_runs/unified_path_h8_$(date +%Y%m%d_%H%M%S),7,7,24.0,0,179.75,0.10854471895634694,INFL,0.05801671288592653,0.7790506602882246,,
hurricane_john_southern_mexico_25_september_2024,john_sm,Hurricane John Southern Mexico 25 September 2024,hurricane,outputs/_runs/unified_path_h8_$(date +%Y%m%d_%H%M%S),13,13,24.0,0,23.0,0.10925354725485996,INFL,0.09278085515415868,0.7560845223485919,,
hurricane_milton_across_florida_us,milton_fl,"Hurricane Milton Across Florida, US",hurricane,outputs/_runs/unified_path_h8_$(date +%Y%m%d_%H%M%S),10,10,24.0,0,72.0,0.13109193990737827,INFL,0.08136184467801648,0.8661258107357699,,
tropical_storm_debby_united_states_pre_landfall_4_august_2024,debby_pre,Tropical Storm Debby United States Pre-landfall 4 August 2024,tropical_storm,outputs/_runs/unified_path_h8_$(date +%Y%m%d_%H%M%S),0,0,,0,,,EXCLUDED_SHORT,,,,
tropical_storm_kristine_in_bicol_and_calabarzon_philippines,kristine_ph,"Tropical Storm Kristine in Bicol and Calabarzon, Philippines",tropical_storm,outputs/_runs/unified_path_h8_$(date +%Y%m%d_%H%M%S),12,12,24.0,0,300.0,0.234820820631025,NEUTRAL,,,,
tropical_storm_yagi_philippines_2_september_2024,yagi_ph,Tropical Storm Yagi Philippines 2 September 2024,tropical_storm,outputs/_runs/unified_path_h8_$(date +%Y%m%d_%H%M%S),15,15,24.0,0,297.0,0.10125879327362504,EVAC,-0.08225239719498456,0.9177175552493774,,
typhoon_krathon_across_taiwan,krathon_tw,Typhoon Krathon Across Taiwan,typhoon,outputs/_runs/unified_path_h8_$(date +%Y%m%d_%H%M%S),12,12,24.0,0,154.33333333333334,0.115149593729162,INFL,0.1087057896101105,0.6604692597818088,,
typhoon_yagi_across_northeastern_vietnam,yagi_vn,Typhoon Yagi Across Northeastern Vietnam,typhoon,outputs/_runs/unified_path_h8_$(date +%Y%m%d_%H%M%S),11,11,24.0,0,29.0,0.3108742616638673,EVAC,-0.5179643776801862,0.2532855096978386,,
