k,sigma,energy_frac,energy_cum
1,2.80833505334725,0.9386107780380383,0.9386107780380383
2,0.6478472353114983,0.04994970351898403,0.9885604815570223
3,0.2741245098973394,0.008943004137953802,0.997503485694976
4,0.10495362862807257,0.001310939386745259,0.9988144250817214
5,0.06279368702765747,0.00046926662049012074,0.9992836917022114
6,0.049728038711743465,0.0002943000643123531,0.9995779917665238
7,0.045333290214282486,0.0002445806959287653,0.9998225724624525
8,0.03061556267864786,0.00011155067090204395,0.9999341231333547
9,0.02352732867094612,6.587686664534833e-05,1.0
