slug,name,reason
line_fire_southern_california_9_september_2024,Line Fire Southern California 9 September 2024,distance_mode=path 需要 catalog 提供 center_track_csv
moldova_flooding_2024,Moldova Flooding Sept 16 2024,distance_mode=path 需要 catalog 提供 center_track_csv
park_fire_2024,"The Park Fire in Northern California, US",distance_mode=path 需要 catalog 提供 center_track_csv
park_fire_california_29_july_2024,Park Fire California 29 July 2024,distance_mode=path 需要 catalog 提供 center_track_csv
the_flooding_across_antioquia_and_choc_departments_colombia,"The Flooding Across Antioquia and Chocó Departments, Colombia",distance_mode=path 需要 catalog 提供 center_track_csv
the_flooding_across_bagmati_and_koshi_provinces_nepal,"The Flooding Across Bagmati and Koshi Provinces, Nepal",distance_mode=path 需要 catalog 提供 center_track_csv
the_flooding_across_eastern_bangladesh,The Flooding Across Eastern Bangladesh,distance_mode=path 需要 catalog 提供 center_track_csv
the_flooding_across_gujarat_india,"The Flooding Across Gujarat, India",distance_mode=path 需要 catalog 提供 center_track_csv
the_flooding_in_benue_and_kogi_states_nigeria,"The Flooding in Benue and Kogi States, Nigeria",distance_mode=path 需要 catalog 提供 center_track_csv
the_flooding_in_conakry_city_conakry_guinea,"The Flooding in Conakry City, Conakry, Guinea",distance_mode=path 需要 catalog 提供 center_track_csv
the_wildfires_in_quito_pichincha_province_ecuador,"The Wildfires in Quito, Pichincha Province, Ecuador",distance_mode=path 需要 catalog 提供 center_track_csv
tropical_storm_enteng_across_luzon_and_visayas_islands_philippines,"Tropical Storm Enteng Across Luzon and Visayas Islands, Philippines",distance_mode=path 需要 catalog 提供 center_track_csv
turkiye_earthquake_2023,Turkiye Turkey Earthquake Full Country Version Feb 8 2023,distance_mode=path 需要 catalog 提供 center_track_csv
wildfires_in_boise_county_idaho_27_august_2024,Wildfires In Boise County Idaho 27 August 2024,distance_mode=path 需要 catalog 提供 center_track_csv
