distance_band,distance_center_km,n_points,t_min,t_max,phi_0,phi_inf,tau,sse,r2,fit_ok
0-25km,12.5,0,,,,,,,,0
25-50km,37.5,31,16.0,736.0,2.9999999992608326,1.0148266043290888,5.810637886069921,0.026147627160899634,0.3736586862766844,1
50-100km,75.0,31,16.0,736.0,0.9844624840585888,0.9467816139372728,413.69598393440987,0.0034139981835189324,0.4103307294310664,1
100-200km,150.0,31,16.0,736.0,0.9209669148874067,0.9462154759809953,85.89590190594038,0.00402413263336486,0.16368097827356864,1
200km+,300.0,31,16.0,736.0,0.762718132990018,0.9420777416653544,49.659475127659086,0.004949791536929583,0.8263059023675082,1
