window_start_pt,hours_since_quake,center_lat,center_lon,center_mode,distance_mode,center_track_csv,center_track_to_tz,center_track_storm_name
2024-08-15 08:00:00,16.0,21.5,-67.6,track,path,Docs/storm_tracks/nhc_best_track_2024_landfalls.csv,America/Los_Angeles,Ernesto
2024-08-16 08:00:00,40.0,21.5,-67.6,track,path,Docs/storm_tracks/nhc_best_track_2024_landfalls.csv,America/Los_Angeles,Ernesto
2024-08-17 08:00:00,64.0,21.5,-67.6,track,path,Docs/storm_tracks/nhc_best_track_2024_landfalls.csv,America/Los_Angeles,Ernesto
