window_start_pt,hours_since_quake,0-25km,25-50km,50-100km,100-200km,200km+
2023-02-05 08:00:00,-8.0,0.643025981370164,0.022430500022738997,0.02466359246345527,0.0009314035792726539,-0.0025437897442658615
2023-02-06 08:00:00,16.0,0.9964759073906961,0.09008941198613818,-0.07239736335870627,0.02231022368998975,0.025519751628733784
2023-02-07 08:00:00,40.0,0.9964759073906961,0.04789456960736568,-0.11433131323948859,0.01803676439706068,0.03252073072674404
2023-02-08 08:00:00,64.0,0.9964759073906961,0.029826406375573634,-0.04842671146232709,0.031984506350084846,0.030070284029295746
2023-02-09 08:00:00,88.0,,-0.00029479190503531023,-0.051260436774418036,0.02277931794990426,0.0267915731548541
2023-02-10 08:00:00,112.0,,0.00934382379684214,-0.08801476652710065,0.02093837158478868,0.026065646426569368
2023-02-11 08:00:00,136.0,0.7533672626135062,0.02616974366608171,-0.07640691802954634,0.0188210098937024,0.01613507004707505
2023-02-12 08:00:00,160.0,,0.000928008398188974,-0.06095567783547016,-0.0011686957591655507,-0.005491353226315198
2023-02-13 08:00:00,184.0,0.6223323280774757,-0.08381509349098352,-0.09896308526785295,0.04654182417655141,0.025358431580571626
2023-02-14 08:00:00,208.0,0.6111756126332409,-0.11169962242366556,-0.10062318382469522,0.05500271177625758,0.02413235129842916
2023-02-15 08:00:00,232.0,0.6122931698647001,-0.11045112449163055,-0.0794211134066369,0.05631740152757088,0.022678026712827683
2023-02-16 08:00:00,256.0,0.6144637654910949,-0.12569712759417798,-0.09398763084441593,0.06266419372034888,0.02347291812991433
2023-02-17 08:00:00,280.0,0.6242868535243538,-0.11581588168925597,-0.08445049221689642,0.056710556584312545,0.021221225601342056
2023-02-18 08:00:00,304.0,0.6402640170294176,-0.12233162741008713,-0.10091877151812567,0.035411235047559345,0.013091876483532426
2023-02-19 08:00:00,328.0,0.7141574903780752,0.0034696493560485106,-0.053065858800446904,-0.0022097706526594987,-0.007916297379498708
2023-02-20 08:00:00,352.0,0.6195402449809669,-0.08971863454000227,-0.08488109353688023,0.03410691540049055,0.024475436649550746
2023-02-21 08:00:00,376.0,0.6041825167586687,-0.12336337216895393,-0.1099154647463324,0.04288850893096975,0.02271874031060661
2023-02-23 08:00:00,424.0,0.5968575683594375,-0.13290316738968364,-0.09130293133696493,0.0531084768934183,0.025485041488833172
2023-02-24 08:00:00,448.0,0.6120007623089058,-0.12220176173911966,-0.08911812129355336,0.05983610978194294,0.022340908365900553
2023-02-25 08:00:00,472.0,0.6318485298204467,-0.1108780719788217,-0.08841700100443553,0.016387578796748067,0.012111400448142021
2023-02-26 08:00:00,496.0,0.6750754693406293,-0.0012330838505601523,-0.06361811389556982,-0.00578347178050717,-0.007716348829087121
2023-02-27 08:00:00,520.0,0.6306717378808138,-0.10448587567435431,-0.09709074878161555,0.05237259612620415,0.02339166092057789
2023-02-28 08:00:00,544.0,0.6007121983512196,-0.11820755809193599,-0.09068878804957886,0.056963265133539435,0.02252939994272564
2023-03-01 08:00:00,568.0,0.6029486113884237,-0.11526089589647762,-0.0847412770875796,0.06382189764569446,0.022772446335312464
2023-03-02 08:00:00,592.0,0.6103679719522752,-0.11493042449244532,-0.08741684806927719,0.05016272612398521,0.023531525150845348
2023-03-03 08:00:00,616.0,0.609040051233634,-0.11540165314608039,-0.0730638476566921,0.06089300307682807,0.021713853738339204
2023-03-04 08:00:00,640.0,0.6406549508235736,-0.11639959076747035,-0.07190696453137824,0.031385309137638394,0.012667855304378679
2023-03-05 08:00:00,664.0,0.6517534230181162,-0.0028494969592384746,-0.04518560504481815,0.002939815292073671,-0.0010335434869698627
2023-03-06 08:00:00,688.0,0.5975011377636703,-0.12295033072521702,-0.07753977249962717,0.0651278870229647,0.023273626780142605
2023-03-07 08:00:00,712.0,0.6032998975529682,-0.11258562844167964,-0.07535340991626018,0.06818712854209144,0.022829696742926144
2023-03-08 08:00:00,736.0,0.6114222161635597,-0.12185416471221176,-0.07912327273475288,0.06123107001229796,0.020097402306303924
2023-03-09 08:00:00,760.0,0.611805197341255,-0.11724097953243807,-0.07296253001970805,0.06607890372911121,0.021182678837188405
2023-03-10 08:00:00,784.0,0.6130936642990387,-0.11616850785668564,-0.06866401072247863,0.059596331281836924,0.020151811334335253
2023-03-11 08:00:00,808.0,0.6218417011364287,-0.12341365283801838,-0.07790136741122618,0.041418655090443686,0.012053045092874444
2023-03-12 08:00:00,832.0,0.6558377812423916,-0.016484627586477636,-0.012475902839768729,-0.015688728472412473,-0.008239235025232208
