distance_band,n_windows,P_max,t_at_P_max,P_min,t_at_P_min,t_flip_start,t_flip_end,P_flip_start,P_flip_end
0-25km,21,0.6406549508235736,640.0,0.5968575683594375,424.0,,,,
25-50km,35,0.0900894119861381,16.0,-0.1329031673896836,424.0,64.0,88.0,0.0298264063755736,-0.0002947919050353
0-50km,35,0.09109225361251619,16.0,-0.10645873683981223,808.0,64.0,88.0,0.03174056380332635,-0.00029479190503531023
50-100km,35,0.0246635924634552,-8.0,-0.1143313132394885,40.0,-8.0,16.0,0.0246635924634552,-0.0723973633587062
100-200km,35,0.0681871285420914,712.0,-0.0156887284724124,832.0,136.0,160.0,0.0188210098937024,-0.0011686957591655
200km+,35,0.032520730726744,40.0,-0.0082392350252322,832.0,-8.0,16.0,-0.0025437897442658,0.0255197516287337
