distance_band,n_windows,P_max,t_at_P_max,P_min,t_at_P_min,t_flip_start,t_flip_end,P_flip_start,P_flip_end
0-25km,32,0.9964759073906961,16.0,0.5968575683594375,424.0,,,,
25-50km,35,0.09008941198613818,16.0,-0.13290316738968364,424.0,64.0,88.0,0.029826406375573634,-0.00029479190503531023
50-100km,35,0.02466359246345527,-8.0,-0.11433131323948859,40.0,-8.0,16.0,0.02466359246345527,-0.07239736335870627
100-200km,35,0.06818712854209144,712.0,-0.015688728472412473,832.0,136.0,160.0,0.0188210098937024,-0.0011686957591655507
200km+,35,0.03252073072674404,40.0,-0.008239235025232208,832.0,-8.0,16.0,-0.0025437897442658615,0.025519751628733784
