window_start_pt,hours_since_quake,only_hour_pt,distance_band,n_od,F_r,F_total,P,A,reliable
2023-02-05 08:00:00,-8.0,8,0-25km,5,36.652480938099345,57.0,0.643025981370164,0.643025981370164,False
2023-02-05 08:00:00,-8.0,8,0-50km,382,227.89492413197206,8583.0,0.02655189608900991,0.02655189608900991,True
2023-02-05 08:00:00,-8.0,8,100-200km,820,17.676177127436425,18978.0,0.0009314035792726,0.0009314035792726,True
2023-02-05 08:00:00,-8.0,8,200km+,12260,-776.5732207089708,305282.0,-0.0025437897442658,0.0025437897442658,True
2023-02-05 08:00:00,-8.0,8,25-50km,377,191.2424431938727,8526.0,0.0224305000227389,0.0224305000227389,True
2023-02-05 08:00:00,-8.0,8,50-100km,180,112.17001852379455,4548.0,0.0246635924634552,0.0246635924634552,True
2023-02-06 08:00:00,16.0,8,0-25km,1,10.961234981297656,11.0,0.996475907390696,0.996475907390696,False
2023-02-06 08:00:00,16.0,8,0-50km,346,905.639185415636,9942.0,0.09109225361251619,0.09109225361251619,True
2023-02-06 08:00:00,16.0,8,100-200km,829,432.3944453356914,19381.0,0.0223102236899897,0.0223102236899897,True
2023-02-06 08:00:00,16.0,8,200km+,27739,21321.701446303818,835498.0,0.0255197516287337,0.0255197516287337,True
2023-02-06 08:00:00,16.0,8,25-50km,345,894.6779504343383,9931.0,0.0900894119861381,0.0900894119861381,True
2023-02-06 08:00:00,16.0,8,50-100km,115,-226.4589525860332,3128.0,-0.0723973633587062,0.0723973633587062,True
2023-02-07 08:00:00,40.0,8,0-25km,1,13.950662703469746,14.0,0.996475907390696,0.996475907390696,False
2023-02-07 08:00:00,40.0,8,0-50km,297,417.7018844935624,8444.0,0.04946730039004765,0.04946730039004765,True
2023-02-07 08:00:00,40.0,8,100-200km,694,280.8684951910289,15572.0,0.0180367643970606,0.0180367643970606,True
2023-02-07 08:00:00,40.0,8,200km+,26123,25739.47543487264,791479.0,0.032520730726744,0.032520730726744,True
2023-02-07 08:00:00,40.0,8,25-50km,296,403.75122179009264,8430.0,0.0478945696073656,0.0478945696073656,True
2023-02-07 08:00:00,40.0,8,50-100km,134,-431.48637616582994,3774.0,-0.1143313132394885,0.1143313132394885,True
2023-02-08 08:00:00,64.0,8,0-25km,1,10.961234981297656,11.0,0.996475907390696,0.996475907390696,False
2023-02-08 08:00:00,64.0,8,0-50km,238,176.31883192747787,5555.0,0.03174056380332635,0.03174056380332635,True
2023-02-08 08:00:00,64.0,8,100-200km,802,589.1226224622128,18419.0,0.0319845063500848,0.0319845063500848,True
2023-02-08 08:00:00,64.0,8,200km+,27236,24955.990262161184,829922.0,0.0300702840292957,0.0300702840292957,True
2023-02-08 08:00:00,64.0,8,25-50km,237,165.35759694618022,5544.0,0.0298264063755736,0.0298264063755736,True
2023-02-08 08:00:00,64.0,8,50-100km,166,-192.78673833152413,3981.0,-0.048426711462327,0.048426711462327,True
2023-02-09 08:00:00,88.0,8,0-25km,0,0.0,0.0,,,False
2023-02-09 08:00:00,88.0,8,0-50km,280,-1.8622004641080547,6317.0,-0.00029479190503531023,0.00029479190503531023,True
2023-02-09 08:00:00,88.0,8,100-200km,922,486.1106450509569,21340.0,0.0227793179499042,0.0227793179499042,True
2023-02-09 08:00:00,88.0,8,200km+,28246,23109.794797194587,862577.0,0.0267915731548541,0.0267915731548541,True
2023-02-09 08:00:00,88.0,8,25-50km,280,-1.8622004641080547,6317.0,-0.0002947919050353,0.0002947919050353,True
2023-02-09 08:00:00,88.0,8,50-100km,191,-252.56017198755768,4927.0,-0.051260436774418,0.051260436774418,True
2023-02-10 08:00:00,112.0,8,0-25km,0,0.0,0.0,,,False
2023-02-10 08:00:00,112.0,8,0-50km,304,63.57537711371392,6804.0,0.00934382379684214,0.00934382379684214,True
2023-02-10 08:00:00,112.0,8,100-200km,942,462.31924459213405,22080.0,0.0209383715847886,0.0209383715847886,True
2023-02-10 08:00:00,112.0,8,200km+,28747,22845.287941859577,876452.0,0.0260656464265693,0.0260656464265693,True
2023-02-10 08:00:00,112.0,8,25-50km,304,63.57537711371392,6804.0,0.0093438237968421,0.0093438237968421,True
2023-02-10 08:00:00,112.0,8,50-100km,195,-446.58692535850867,5074.0,-0.0880147665271006,0.0880147665271006,True
2023-02-11 08:00:00,136.0,8,0-25km,2,16.574079777497136,22.0,0.7533672626135062,0.7533672626135062,False
2023-02-11 08:00:00,136.0,8,0-50km,335,217.1128254906813,7685.0,0.028251506244721055,0.028251506244721055,True
2023-02-11 08:00:00,136.0,8,100-200km,918,410.2791946728186,21799.0,0.0188210098937024,0.0188210098937024,True
2023-02-11 08:00:00,136.0,8,200km+,22613,10605.597677012478,657301.0,0.016135070047075,0.016135070047075,True
2023-02-11 08:00:00,136.0,8,25-50km,333,200.53874571318417,7663.0,0.0261697436660817,0.0261697436660817,True
2023-02-11 08:00:00,136.0,8,50-100km,215,-424.0583950639822,5550.0,-0.0764069180295463,0.0764069180295463,True
2023-02-12 08:00:00,160.0,8,0-25km,0,0.0,0.0,,,False
2023-02-12 08:00:00,160.0,8,0-50km,347,7.566980478832894,8154.0,0.000928008398188974,0.000928008398188974,True
2023-02-12 08:00:00,160.0,8,100-200km,844,-22.212231598700455,19006.0,-0.0011686957591655,0.0011686957591655,True
2023-02-12 08:00:00,160.0,8,200km+,14730,-2105.9833844709156,383509.0,-0.0054913532263151,0.0054913532263151,True
2023-02-12 08:00:00,160.0,8,25-50km,347,7.566980478832894,8154.0,0.0009280083981889,0.0009280083981889,True
2023-02-12 08:00:00,160.0,8,50-100km,202,-324.1622947290303,5318.0,-0.0609556778354701,0.0609556778354701,True
2023-02-13 08:00:00,184.0,8,0-25km,22,280.67187996294155,451.0,0.6223323280774757,0.6223323280774757,False
2023-02-13 08:00:00,184.0,8,0-50km,546,-863.4041461889835,14101.0,-0.061229994056377815,0.061229994056377815,True
2023-02-13 08:00:00,184.0,8,100-200km,1358,1639.8546330366123,35234.0,0.0465418241765514,0.0465418241765514,True
2023-02-13 08:00:00,184.0,8,200km+,30620,24170.084759842877,953138.0,0.0253584315805716,0.0253584315805716,True
2023-02-13 08:00:00,184.0,8,25-50km,524,-1144.0760261519251,13650.0,-0.0838150934909835,0.0838150934909835,True
2023-02-13 08:00:00,184.0,8,50-100km,262,-771.5162127481816,7796.0,-0.0989630852678529,0.0989630852678529,True
2023-02-14 08:00:00,208.0,8,0-25km,30,364.8718407420448,597.0,0.6111756126332409,0.6111756126332409,True
2023-02-14 08:00:00,208.0,8,0-50km,660,-1478.395328493284,17099.0,-0.08646092335769835,0.08646092335769835,True
2023-02-14 08:00:00,208.0,8,100-200km,1409,2038.3454957163297,37059.0,0.0550027117762575,0.0550027117762575,True
2023-02-14 08:00:00,208.0,8,200km+,31106,23354.710410188574,967776.0,0.0241323512984291,0.0241323512984291,True
2023-02-14 08:00:00,208.0,8,25-50km,630,-1843.267169235329,16502.0,-0.1116996224236655,0.1116996224236655,True
2023-02-14 08:00:00,208.0,8,50-100km,278,-844.9328745759658,8397.0,-0.1006231838246952,0.1006231838246952,True
2023-02-15 08:00:00,232.0,8,0-25km,36,465.9551022670367,761.0,0.6122931698647001,0.6122931698647001,True
2023-02-15 08:00:00,232.0,8,0-50km,738,-1612.6246095409588,19580.0,-0.08236080743314396,0.08236080743314396,True
2023-02-15 08:00:00,232.0,8,100-200km,1375,2086.2781395888633,37045.0,0.0563174015275708,0.0563174015275708,True
2023-02-15 08:00:00,232.0,8,200km+,30376,21335.283429187868,940791.0,0.0226780267128276,0.0226780267128276,True
2023-02-15 08:00:00,232.0,8,25-50km,702,-2078.5797118079954,18819.0,-0.1104511244916305,0.1104511244916305,True
2023-02-15 08:00:00,232.0,8,50-100km,272,-668.0904059766297,8412.0,-0.0794211134066369,0.0794211134066369,True
2023-02-16 08:00:00,256.0,8,0-25km,46,595.415388760871,969.0,0.6144637654910949,0.6144637654910949,True
2023-02-16 08:00:00,256.0,8,0-50km,822,-2141.2624732195723,22741.0,-0.0941586769807648,0.0941586769807648,True
2023-02-16 08:00:00,256.0,8,100-200km,1479,2480.248787451409,39580.0,0.0626641937203488,0.0626641937203488,True
2023-02-16 08:00:00,256.0,8,200km+,30457,22133.76467768459,942949.0,0.0234729181299143,0.0234729181299143,True
2023-02-16 08:00:00,256.0,8,25-50km,776,-2736.677861980443,21772.0,-0.1256971275941779,0.1256971275941779,True
2023-02-16 08:00:00,256.0,8,50-100km,282,-839.027580548101,8927.0,-0.0939876308444159,0.0939876308444159,True
2023-02-17 08:00:00,280.0,8,0-25km,38,559.9853076113453,897.0,0.6242868535243538,0.6242868535243538,True
2023-02-17 08:00:00,280.0,8,0-50km,843,-2093.3565418895087,23807.0,-0.08793029537066865,0.08793029537066865,True
2023-02-17 08:00:00,280.0,8,100-200km,1442,2224.0746081235693,39218.0,0.0567105565843125,0.0567105565843125,True
2023-02-17 08:00:00,280.0,8,200km+,30410,20067.17291068987,945618.0,0.021221225601342,0.021221225601342,True
2023-02-17 08:00:00,280.0,8,25-50km,805,-2653.341849500854,22910.0,-0.1158158816892559,0.1158158816892559,True
2023-02-17 08:00:00,280.0,8,50-100km,303,-790.794409119018,9364.0,-0.0844504922168964,0.0844504922168964,True
2023-02-18 08:00:00,304.0,8,0-25km,24,323.9735926168853,506.0,0.6402640170294176,0.6402640170294176,False
2023-02-18 08:00:00,304.0,8,0-50km,799,-2371.3591541095648,22539.0,-0.10521137380139158,0.10521137380139158,True
2023-02-18 08:00:00,304.0,8,100-200km,1236,1157.1683388841443,32678.0,0.0354112350475593,0.0354112350475593,True
2023-02-18 08:00:00,304.0,8,200km+,24150,9271.522914996343,708189.0,0.0130918764835324,0.0130918764835324,True
2023-02-18 08:00:00,304.0,8,25-50km,775,-2695.33274672645,22033.0,-0.1223316274100871,0.1223316274100871,True
2023-02-18 08:00:00,304.0,8,50-100km,287,-895.1495033657746,8870.0,-0.1009187715181256,0.1009187715181256,True
2023-02-19 08:00:00,328.0,8,0-25km,10,92.1263162587717,129.0,0.7141574903780752,0.7141574903780752,False
2023-02-19 08:00:00,328.0,8,0-50km,552,139.61540699500767,13816.0,0.010105342139187005,0.010105342139187005,True
2023-02-19 08:00:00,328.0,8,100-200km,914,-48.14648298014516,21788.0,-0.0022097706526594,0.0022097706526594,True
2023-02-19 08:00:00,328.0,8,200km+,15710,-3282.5639550855544,414659.0,-0.0079162973794987,0.0079162973794987,True
2023-02-19 08:00:00,328.0,8,25-50km,542,47.489090736235966,13687.0,0.0034696493560485,0.0034696493560485,True
2023-02-19 08:00:00,328.0,8,50-100km,229,-334.84556903081995,6310.0,-0.0530658588004469,0.0530658588004469,True
2023-02-20 08:00:00,352.0,8,0-25km,50,790.5333525957138,1276.0,0.6195402449809669,0.6195402449809669,True
2023-02-20 08:00:00,352.0,8,0-50km,1074,-2268.6926479492836,35374.0,-0.0641344673474666,0.0641344673474666,True
2023-02-20 08:00:00,352.0,8,100-200km,1781,1777.550109927366,52117.0,0.0341069154004905,0.0341069154004905,True
2023-02-20 08:00:00,352.0,8,200km+,32224,24854.071654519295,1015470.0,0.0244754366495507,0.0244754366495507,True
2023-02-20 08:00:00,352.0,8,25-50km,1024,-3059.2260005449975,34098.0,-0.0897186345400022,0.0897186345400022,True
2023-02-20 08:00:00,352.0,8,50-100km,399,-1128.7487818534332,13298.0,-0.0848810935368802,0.0848810935368802,True
2023-02-21 08:00:00,376.0,8,0-25km,47,683.3304264540543,1131.0,0.6041825167586687,0.6041825167586687,True
2023-02-21 08:00:00,376.0,8,0-50km,950,-2783.6737849822275,29235.0,-0.09521716384409877,0.09521716384409877,True
2023-02-21 08:00:00,376.0,8,100-200km,1483,1746.806080249467,40729.0,0.0428885089309697,0.0428885089309697,True
2023-02-21 08:00:00,376.0,8,200km+,31899,22855.211783652427,1006007.0,0.0227187403106066,0.0227187403106066,True
