predictor,status,n_obs,n_events,coef,se,z,p,ci_low,ci_high,aic,bic,message
delta_peak_unit,ok,1750,11,-0.5349734363228007,0.09022698716101324,-5.929195389934962,3.0442267362025336e-09,-0.7118150815919445,-0.3581317910536569,,,ok
distance_km,ok,1750,11,1.3750986715994271e-05,1.0487065972534215e-05,1.3112329751723042,0.1897790648569101,-6.8032848936683055e-06,3.430525832565685e-05,4435.5065357625845,4457.376020030255,ok
D_peak_unit,ok,1750,11,-0.029439021544561902,0.13063754930078025,-0.22534885032772176,0.8217078997446954,-0.2854839132026669,0.2266058701135431,,,ok
