root,key,category,n_runs,first_datetime,last_datetime,latest_path
outputs,rank1_dynamics_sigma070_min4_nojohn,cross_disaster,1,2026-02-22 17:50:40,2026-02-22 17:50:40,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/rank1_dynamics_sigma070_min4_nojohn
outputs,rank1_dynamics_sigma090_min4_fill,cross_disaster,1,2026-02-22 17:50:40,2026-02-22 17:50:40,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/rank1_dynamics_sigma090_min4_fill
outputs,routeB16_config_main,run_batch,1,2026-02-23 00:00:00,2026-02-23 00:00:00,/mnt/e/newdesktop/Disaster/outputs/_runs/routeB16_config_main_20260223
outputs,routeB16_frozen_h0816_postgate,cross_disaster,1,2026-02-23 12:00:58,2026-02-23 12:00:58,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/routeB16_frozen_h0816_postgate
outputs,routeB16_frozen_postgate,cross_disaster,1,2026-02-23 10:12:20,2026-02-23 10:12:20,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/routeB16_frozen_postgate_20260223_101220
outputs,routeB16_frozen_postgate_h0816,cross_disaster,1,2026-02-23 10:16:24,2026-02-23 10:16:24,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/routeB16_frozen_postgate_h0816_20260223_101624
outputs,routeB16_frozen_radial,run_batch,1,2026-02-23 10:12:20,2026-02-23 10:12:20,/mnt/e/newdesktop/Disaster/outputs/_runs/routeB16_frozen_radial_20260223_101220
outputs,routeB16_frozen_radial_h0816,run_batch,1,2026-02-23 10:16:24,2026-02-23 10:16:24,/mnt/e/newdesktop/Disaster/outputs/_runs/routeB16_frozen_radial_h0816_20260223_101624
outputs,routeB16_groundtruth,run_batch,1,2026-02-23 00:00:00,2026-02-23 00:00:00,/mnt/e/newdesktop/Disaster/outputs/_runs/routeB16_groundtruth_20260223
outputs,routeB16_legacy_repro,run_batch,1,2026-02-23 11:55:08,2026-02-23 11:55:08,/mnt/e/newdesktop/Disaster/outputs/_runs/routeB16_legacy_repro
outputs,routeB16_legacy_repro_pinned,run_batch,1,2026-02-23 11:55:08,2026-02-23 11:55:08,/mnt/e/newdesktop/Disaster/outputs/_runs/routeB16_legacy_repro_pinned
outputs,routeB16_legacy_repro_pinned_postgate,cross_disaster,1,2026-02-23 11:58:42,2026-02-23 11:58:42,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/routeB16_legacy_repro_pinned_postgate
outputs,routeB16_legacy_repro_postgate,cross_disaster,1,2026-02-23 11:56:05,2026-02-23 11:56:05,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/routeB16_legacy_repro_postgate
outputs,routeB16_main_current_h0816_20260223_postgate,cross_disaster,1,2026-02-23 13:57:54,2026-02-23 13:57:54,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/routeB16_main_current_h0816_20260223_postgate
outputs,routeB16_partner_opinion_main,run_batch,1,2026-02-23 17:25:00,2026-02-23 17:25:00,/mnt/e/newdesktop/Disaster/outputs/_runs/routeB16_partner_opinion_main_20260223_1725
outputs,routeB16_postgate_config_main,cross_disaster,1,2026-02-23 00:00:00,2026-02-23 00:00:00,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/routeB16_postgate_config_main_20260223
outputs,routeB16_postgate_config_main_20260223_expected14,cross_disaster,1,2026-02-23 17:15:36,2026-02-23 17:15:36,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/routeB16_postgate_config_main_20260223_expected14
outputs,routeB16_postgate_partner_opinion,cross_disaster,1,2026-02-23 17:25:00,2026-02-23 17:25:00,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/routeB16_postgate_partner_opinion_20260223_1725
outputs,sensitivity_near_r_rmax_partner,cross_disaster,1,2026-02-23 17:25:00,2026-02-23 17:25:00,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/sensitivity_near_r_rmax_partner_20260223_1725
outputs,spatial_diffusion_results,cross_disaster,1,2026-02-22 17:50:40,2026-02-22 17:50:40,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/spatial_diffusion_results
outputs,subregion_joint_model_unified_h8,cross_disaster,1,2026-02-27 09:44:16,2026-02-27 09:44:16,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/subregion_joint_model_unified_h8
outputs,subregion_model_correction_unified_h8,cross_disaster,1,2026-02-28 09:41:41,2026-02-28 09:41:41,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/subregion_model_correction_unified_h8
outputs,svd_modes,cross_disaster,1,2026-02-08 22:01:23,2026-02-08 22:01:23,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/svd_modes
outputs,svd_sensitivity_rmax,cross_disaster,1,2026-02-08 22:05:06,2026-02-08 22:05:06,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/svd_sensitivity_rmax
outputs,svd_separability,cross_disaster,1,2026-02-08 22:04:54,2026-02-08 22:04:54,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/svd_separability
outputs,svd_separability_nullN200,cross_disaster,1,2026-02-08 22:04:59,2026-02-08 22:04:59,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/svd_separability_nullN200
outputs,svd_separability_nullN50,cross_disaster,1,2026-02-08 20:54:17,2026-02-08 20:54:17,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/svd_separability_nullN50
outputs,tile_validation,module,1,2026-02-01 13:50:41,2026-02-01 13:50:41,/mnt/e/newdesktop/Disaster/outputs/tile_validation
