fit_method,n_total_fits,n_selected,spearman_rho_alpha_vs_near_delta,spearman_p,selected_slugs
monotone_truncated,17,9,-0.9166666666666666,0.0005066190663052083,flooding_in_central_and_eastern_europe_sept_16_2024|park_fire_california_29_july_2024|spain_flood|the_flooding_across_bagmati_and_koshi_provinces_nepal|the_flooding_across_rio_grande_do_sul_state_brazil|the_wildfires_in_quito_pichincha_province_ecuador|tropical_storm_debby_united_states_pre_landfall_4_august_2024|turkiye_earthquake_2023|typhoon_yagi_across_northeastern_vietnam
full_post_peak,17,12,-0.5174825174825175,0.08486877113393476,flooding_in_central_and_eastern_europe_sept_16_2024|hurricane_john_across_southeastern_guerrero_mexico|hurricane_john_southern_mexico_25_september_2024|park_fire_california_29_july_2024|spain_flood|the_flooding_across_bagmati_and_koshi_provinces_nepal|the_flooding_across_rio_grande_do_sul_state_brazil|the_wildfires_in_quito_pichincha_province_ecuador|tropical_storm_debby_united_states_pre_landfall_4_august_2024|turkiye_earthquake_2023|typhoon_krathon_across_taiwan|typhoon_yagi_across_northeastern_vietnam
