metric,value
dt_event_spearman_rho_alpha_vs_near_delta,-0.6945304437564499
dt_event_spearman_p_alpha_vs_near_delta,0.0013817713318639
dt_n_selected,18.0
dt_n_selected_plot,16.0
dt_drop_data_quality,6.0
dt_drop_analysis_applicability,6.0
subregion_RI_beta_D_peak,0.20543323449162
subregion_RI_p_D_peak,0.0103695191762178
subregion_random_slope_p_D_peak,0.2012
subregion_meta_equal_weight_p,0.3035156715407292
gao_winner_power_law,5.0
gao_winner_exponential,6.0
gao_winner_stretched_exp,7.0
pde_k0,0.0325087018525609
pde_gamma,1.0658141036401504e-14
pde_r2_total,-0.3595741754769592
pde_delta_bic_ode_vs_pl,-20.212245153695108
pde_loo_gamma_positive_folds,18.0
pde_loo_total_folds,18.0
