slug,old_route_b_base_ok,old_route_b_selected,old_route_b_selected_plot,old_event_type,old_n_mono,old_alpha,old_r2,old_near_delta_peak_windows_mean,old_D_peak,old_t_peak_hours,old_n_total_post,old_t_decay_end,new_route_b_base_ok,new_route_b_selected,new_route_b_selected_plot,new_event_type,new_n_mono,new_alpha,new_r2,new_near_delta_peak_windows_mean,new_D_peak,new_t_peak_hours,new_n_total_post,new_t_decay_end,diff_route_b_base_ok,diff_route_b_selected,diff_route_b_selected_plot,diff_event_type,diff_n_mono,diff_alpha,diff_r2,diff_near_delta_peak_windows_mean,diff_D_peak,diff_t_peak_hours,diff_n_total_post,diff_t_decay_end
flooding_in_central_and_eastern_europe_sept_16_2024,True,True,True,INFL,4,0.1061787124032823,0.8379497419858574,0.0662245019302085,0.1038515213875583,416.0,9,96.0,True,True,True,INFL,4,0.1061787124032823,0.8379497419858574,0.0662245019302085,0.1038515213875583,416.0,9,96.0,False,False,False,False,False,False,False,False,False,False,False,False
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,True,True,True,EVAC,5,0.736392299603873,0.9168100001197832,-0.1297066506818232,0.1242783818072858,-12.0,14,116.0,True,True,True,EVAC,5,0.736392299603873,0.9168100001197832,-0.1297066506818232,0.1242783818072858,-12.0,14,116.0,False,False,False,False,False,False,False,False,False,False,False,False
hurricane_beryl_across_southeastern_texas_us,True,True,True,EVAC,5,0.849812632262648,0.9756458547813732,-0.2641168649259409,0.2175732667072594,8.0,14,120.0,True,True,True,EVAC,5,0.849812632262648,0.9756458547813732,-0.2641168649259409,0.2175732667072594,8.0,14,120.0,False,False,False,False,False,False,False,False,False,False,False,False
hurricane_beryl_pre_landfall_2024,False,False,False,NEUTRAL,5,0.6645703095805049,0.989049862415856,,0.1822113040388756,32.0,30,120.0,False,False,False,NEUTRAL,5,0.6645703095805049,0.989049862415856,,0.1822113040388756,32.0,30,120.0,False,False,False,False,False,False,False,False,False,False,False,False
hurricane_john_across_southeastern_guerrero_mexico,False,False,False,INFL,1,,,0.0736302526331108,0.0963674648594471,200.0,1,20.0,False,False,False,INFL,1,,,0.0736302526331108,0.0963674648594471,200.0,1,20.0,False,False,False,False,False,False,False,False,False,False,False,False
hurricane_john_southern_mexico_25_september_2024,True,True,True,INFL,3,0.0621025670886193,0.907134199324987,0.071839597464233,0.0937577874739028,296.0,3,68.0,True,True,True,INFL,3,0.0621025670886193,0.907134199324987,0.071839597464233,0.0937577874739028,296.0,3,68.0,False,False,False,False,False,False,False,False,False,False,False,False
hurricane_milton_across_florida_us,False,False,False,EVAC,2,,,-0.0448830505545051,0.2493944243998009,-8.0,10,40.0,False,False,False,EVAC,2,,,-0.0448830505545051,0.2493944243998009,-8.0,10,40.0,False,False,False,False,False,False,False,False,False,False,False,False
moldova_flooding_2024,False,False,False,INFL,0,,,0.0385517676157055,0.0764452481334713,648.0,0,,False,False,False,INFL,0,,,0.0385517676157055,0.0764452481334713,648.0,0,,False,False,False,False,False,False,False,False,False,False,False,False
spain_flood,True,True,True,INFL,4,0.2268267301818943,0.9988822853690316,0.1322775268901986,0.122420492245486,104.0,5,96.0,True,True,True,INFL,4,0.2268267301818943,0.9988822853690316,0.1322775268901986,0.122420492245486,104.0,5,96.0,False,False,False,False,False,False,False,False,False,False,False,False
the_earthquake_across_central_mexico,True,True,True,INFL,4,0.3479752777497077,0.893023087603731,0.2504894683816717,0.2475952968745697,32.0,4,96.0,True,True,True,INFL,4,0.3479752777497077,0.893023087603731,0.2504894683816717,0.2475952968745697,32.0,4,96.0,False,False,False,False,False,False,False,False,False,False,False,False
the_flooding_across_bagmati_and_koshi_provinces_nepal,False,False,False,EVAC,0,,,-0.0401776150554301,0.144028533348013,336.0,0,,False,False,False,EVAC,0,,,-0.0401776150554301,0.144028533348013,336.0,0,,False,False,False,False,False,False,False,False,False,False,False,False
the_flooding_across_eastern_bangladesh,True,True,True,INFL,5,0.2747471689190812,0.8701492481798825,0.0507287387020413,0.0877116524612791,8.0,11,120.0,True,True,True,INFL,5,0.2747471689190812,0.8701492481798825,0.0507287387020413,0.0877116524612791,8.0,11,120.0,False,False,False,False,False,False,False,False,False,False,False,False
the_flooding_across_gujarat_india,False,False,False,EVAC,2,,,-0.0756969964447589,0.1072504159161083,128.0,2,40.0,False,False,False,EVAC,2,,,-0.0756969964447589,0.1072504159161083,128.0,2,40.0,False,False,False,False,False,False,False,False,False,False,False,False
turkiye_earthquake_2023,True,True,True,INFL,4,0.2468014046050735,0.971188165874802,0.0337562852091245,0.3565980804269134,8.0,34,96.0,True,True,True,INFL,4,0.2468014046050735,0.971188165874802,0.0337562852091245,0.3565980804269134,8.0,34,96.0,False,False,False,False,False,False,False,False,False,False,False,False
typhoon_yagi_across_northeastern_vietnam,True,True,True,EVAC,6,0.5016555761289063,0.974097670819227,-0.4845434252653976,0.2914427860091868,21.0,11,136.0,True,True,True,EVAC,6,0.5016555761289063,0.974097670819227,-0.4845434252653976,0.2914427860091868,21.0,11,136.0,False,False,False,False,False,False,False,False,False,False,False,False
wildfires_in_boise_county_idaho_27_august_2024,True,True,False,INFL,6,0.0454006319677413,0.2038046920948849,0.0592876082624805,0.0942644324389404,128.0,9,144.0,True,True,False,INFL,6,0.0454006319677413,0.2038046920948849,0.0592876082624805,0.0942644324389404,128.0,9,144.0,False,False,False,False,False,False,False,False,False,False,False,False
