date,datetime,name,root,is_dir
2026-02-23,2026-02-23 10:16:24,Dt_decay_routeB16_frozen_h0816_20260223_101624,outputs/cross_disaster_comparison,1
2026-02-23,2026-02-23 10:16:24,routeB16_frozen_postgate_h0816_20260223_101624,outputs/cross_disaster_comparison,1
2026-02-23,2026-02-23 10:50:10,phi_AB_old008a4f5_routeB16_h0816_20260223_105010,outputs/_runs,1
2026-02-23,2026-02-23 22:39:20,Dt_decay_routeA_open_20260223_223920,outputs/cross_disaster_comparison,1
2026-02-23,2026-02-23 22:58:21,geo_unit_scale_routeB16_groundtruth_L10_20260223_225821,outputs/cross_disaster_comparison,1
2026-02-23,2026-02-23 22:59:54,geo_unit_scale_routeB16_groundtruth_L10_allfits_20260223_225954,outputs/cross_disaster_comparison,1
2026-02-23,2026-02-23 23:01:21,geo_unit_scale_routeB16_groundtruth_L10_allfits_relaxed_20260223_230121,outputs/cross_disaster_comparison,1
2026-02-23,2026-02-23 23:10:07,geo_unit_scale_routeB16_groundtruth_L10_allfits_peak400_20260223_231007,outputs/cross_disaster_comparison,1
2026-02-23,2026-02-23 23:22:44,geo_unit_scale_42_all_20260223_232244,outputs/cross_disaster_comparison,1
2026-02-24,2026-02-24 00:07:12,geo_unit_scale_routeB16_groundtruth_all16_peak168_20260224_000712,outputs/cross_disaster_comparison,1
2026-02-24,2026-02-24 00:08:52,geo_unit_scale_routeB16_groundtruth_all16_peak400_20260224_000852,outputs/cross_disaster_comparison,1
2026-02-24,2026-02-24 13:28:36,geo_unit_scale_partial_gt_round2_included32_20260224_132836,outputs/cross_disaster_comparison,1
2026-02-24,2026-02-24 13:32:40,Dt_decay_partial_gt_round2_included32_20260224_133240,outputs/cross_disaster_comparison,1
2026-02-24,2026-02-24 15:38:22,Dt_decay_partial_gt_round2_included32_fullpost_20260224_153822,outputs/cross_disaster_comparison,1
2026-02-25,2026-02-25 13:57:09,geo_unit_scale_unified_h8_mtw5_mpp4_20260225_135709,outputs/cross_disaster_comparison,1
2026-02-25,2026-02-25 14:15:04,geo_unit_scale_unified_h8_mtw4_mpp3_20260225_141504,outputs/cross_disaster_comparison,1
2026-02-25,2026-02-25 14:16:30,geo_unit_scale_unified_h8_mtw4_mpp3_relaxed_20260225_141630,outputs/cross_disaster_comparison,1
