r_max_km,n_selected,added_vs_200,dropped_vs_200
50,12,hurricane_debby_across_florida_and_georgia_us,park_fire_california_29_july_2024|turkiye_earthquake_2023|typhoon_krathon_across_taiwan
100,15,hurricane_debby_across_florida_and_georgia_us,
150,14,,
200,14,,
250,13,,park_fire_california_29_july_2024
