slug,old_selected,legacy_raw_selected,main_current_selected,old_n_mono,legacy_raw_n_mono,main_current_n_mono,old_alpha,legacy_raw_alpha,main_current_alpha,old_t_peak,legacy_raw_t_peak,main_current_t_peak,old_near_delta,legacy_raw_near_delta,main_current_near_delta,old_n_time_windows,legacy_raw_n_time_windows,main_current_n_time_windows,legacy_window_expanded,t0_shift_hours_old_to_main,center_shift_km_old_to_main,param_drift_flag,changed_fields_old_vs_legacy_raw,changed_fields_old_vs_main_current,changed_fields_old_vs_legacy_pinned,classification,old_t0_method,main_t0_method,old_center_method,main_center_method
flooding_in_central_and_eastern_europe_sept_16_2024,True,True,True,4.0,4.0,4.0,0.0978433601132348,0.0978433601132348,0.1061787124032823,416.0,416.0,416.0,0.0663782817545836,0.0663782817545836,0.0662245019302085,28,28,28,0,8.0,0.0,1,,alpha|near_delta_peak_windows_mean,,CHANGED_PARAM_ONLY,auto_first_population_window,provided_exact,auto_centroid_abs_n_difference,provided
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,True,True,True,5.0,4.0,5.0,0.593924263029768,0.6156401627060742,0.736392299603873,-8.0,-12.0,-12.0,-0.2182305293802359,-0.1250052135093821,-0.1297066506818232,14,15,15,1,0.0,28.295518522791554,1,n_mono|alpha|t_peak_hours|near_delta_peak_windows_mean,alpha|t_peak_hours|near_delta_peak_windows_mean,,CHANGED_BOTH_DATA_AND_PARAM,auto_first_day_1600,provided_exact,auto_centroid_abs_n_difference,provided
hurricane_beryl_across_southeastern_texas_us,True,True,True,6.0,5.0,5.0,0.6471140254387306,0.5940788774083258,0.849812632262648,-8.0,8.0,8.0,-0.1686674012421007,-0.1427504235229236,-0.2641168649259409,15,16,16,1,-8.0,144.75820671159323,1,n_mono|alpha|t_peak_hours|near_delta_peak_windows_mean,n_mono|alpha|t_peak_hours|near_delta_peak_windows_mean,,CHANGED_BOTH_DATA_AND_PARAM,auto_first_day_1600,provided_exact,auto_centroid_abs_n_difference,provided
hurricane_beryl_pre_landfall_2024,True,True,False,6.0,5.0,5.0,0.4253901178736078,0.3806496532602479,0.6645703095805049,16.0,32.0,32.0,0.0042813828084239,0.0148882441680865,,32,33,33,1,0.0,30.382478127622612,1,n_mono|alpha|t_peak_hours|near_delta_peak_windows_mean,route_b_selected|n_mono|alpha|t_peak_hours|near_delta_peak_windows_mean,,CHANGED_BOTH_DATA_AND_PARAM,auto_first_day_1600,provided_exact,auto_centroid_abs_n_difference,provided
hurricane_john_across_southeastern_guerrero_mexico,True,False,False,3.0,1.0,1.0,-0.0187885228771998,,,-8.0,128.0,200.0,0.0747654742133128,0.0722673951726232,0.0736302526331108,7,8,8,1,-80.0,12.847010872937453,1,route_b_selected|n_mono|alpha|t_peak_hours|near_delta_peak_windows_mean,route_b_selected|n_mono|alpha|t_peak_hours|near_delta_peak_windows_mean,,CHANGED_BOTH_DATA_AND_PARAM,auto_first_day_1600,provided_exact,auto_centroid_abs_n_difference,provided
hurricane_john_southern_mexico_25_september_2024,True,True,True,3.0,3.0,3.0,0.0822667257418016,0.017460133719679,0.0621025670886193,136.0,272.0,296.0,0.0845285322756548,0.0758306720790906,0.071839597464233,15,16,16,1,-32.0,8.01696538697209,1,alpha|t_peak_hours|near_delta_peak_windows_mean,alpha|t_peak_hours|near_delta_peak_windows_mean,,CHANGED_BOTH_DATA_AND_PARAM,auto_first_day_1600,provided_exact,auto_centroid_abs_n_difference,provided
hurricane_milton_across_florida_us,True,True,False,3.0,7.0,2.0,0.2091651414158485,0.1269167166219157,,64.0,56.0,-8.0,0.1179022527130344,0.1193360284315664,-0.0448830505545051,10,11,11,1,-8.0,111.36109386300956,1,n_mono|alpha|t_peak_hours|near_delta_peak_windows_mean,route_b_selected|n_mono|alpha|t_peak_hours|near_delta_peak_windows_mean,,CHANGED_BOTH_DATA_AND_PARAM,auto_first_day_1600,provided_exact,auto_centroid_abs_n_difference,provided
moldova_flooding_2024,True,False,False,4.0,0.0,0.0,0.1828320289226983,,,448.0,648.0,648.0,0.0454533432570181,0.0395286718368059,0.0385517676157055,28,29,29,1,0.0,1.0652034093990526,0,route_b_selected|n_mono|alpha|t_peak_hours|near_delta_peak_windows_mean,route_b_selected|n_mono|alpha|t_peak_hours|near_delta_peak_windows_mean,,CHANGED_DATA_ONLY,auto_first_day_1600,provided_exact,auto_centroid_abs_n_difference,provided
spain_flood,True,True,True,4.0,4.0,4.0,0.2672111552113404,0.2672111552113405,0.2268267301818943,104.0,104.0,104.0,0.1384680031755251,0.1384680031755251,0.1322775268901986,11,11,11,0,8.0,0.0,1,,alpha|near_delta_peak_windows_mean,,CHANGED_PARAM_ONLY,auto_first_population_window,provided_exact,auto_centroid_abs_n_difference,provided
the_earthquake_across_central_mexico,True,True,True,4.0,4.0,4.0,0.3479752777497077,0.3479752777497077,0.3479752777497077,32.0,32.0,32.0,0.2504894683816717,0.2504894683816717,0.2504894683816717,5,5,5,0,0.0,0.0,0,,,,UNCHANGED,provided_exact,provided_exact,provided,provided
