slug,old_route_b_selected,old_route_b_base_ok,old_n_mono,old_alpha,old_r2,old_event_type,old_near_delta_peak_windows_mean,old_D_peak,old_t_peak_hours,f8_route_b_selected,f8_route_b_base_ok,f8_n_mono,f8_alpha,f8_r2,f8_event_type,f8_near_delta_peak_windows_mean,f8_D_peak,f8_t_peak_hours,f0816_route_b_selected,f0816_route_b_base_ok,f0816_n_mono,f0816_alpha,f0816_r2,f0816_event_type,f0816_near_delta_peak_windows_mean,f0816_D_peak,f0816_t_peak_hours
flooding_in_central_and_eastern_europe_sept_16_2024,True,True,4,0.0978433601132348,0.6623924660380529,INFL,0.0663782817545836,0.1005919988678328,416.0,True,True,6.0,-0.017233894421875,0.1104380473839535,INFL,0.0697797666018083,0.1014097722529724,448.0,True,True,4,0.1061787124032823,0.8379497419858574,INFL,0.0662245019302085,0.1038515213875583,416.0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,True,True,5,0.593924263029768,0.8967379651088067,EVAC,-0.2182305293802359,0.1218373784779385,-8.0,True,True,5.0,0.7012341434092461,0.8639387019952306,EVAC,-0.3298958071275004,0.1741922859240202,-8.0,True,True,5,0.736392299603873,0.9168100001197832,EVAC,-0.1297066506818232,0.1242783818072858,-12.0
hurricane_beryl_across_southeastern_texas_us,True,True,6,0.6471140254387306,0.9822863437981076,EVAC,-0.1686674012421007,0.1182352467469458,-8.0,True,True,6.0,0.8001103007909469,0.99008402077699,EVAC,-0.279299263948949,0.2407611561193852,0.0,True,True,5,0.849812632262648,0.9756458547813732,EVAC,-0.2641168649259409,0.2175732667072594,8.0
hurricane_beryl_pre_landfall_2024,True,True,6,0.4253901178736078,0.9127457036357022,NEUTRAL,0.0042813828084239,0.1714251397966239,16.0,False,False,6.0,0.7236589522217052,0.9711520529151552,NEUTRAL,,0.2408522972731543,16.0,False,False,5,0.6645703095805049,0.989049862415856,NEUTRAL,,0.1822113040388756,32.0
hurricane_john_across_southeastern_guerrero_mexico,True,True,3,-0.0187885228771998,0.950505478152221,INFL,0.0747654742133128,0.1013123414320732,-8.0,True,True,3.0,-0.0143358327590596,0.6151289285661469,INFL,0.077091497820751,0.1063444354188771,72.0,False,False,1,,,INFL,0.0736302526331108,0.0963674648594471,200.0
hurricane_john_southern_mexico_25_september_2024,True,True,3,0.0822667257418016,0.6243409755523252,INFL,0.0845285322756548,0.1169310535357565,136.0,True,True,3.0,0.0787845914581445,0.9656398875755512,INFL,0.0804387758108084,0.1056329999735687,168.0,True,True,3,0.0621025670886193,0.907134199324987,INFL,0.071839597464233,0.0937577874739028,296.0
hurricane_milton_across_florida_us,True,True,3,0.2091651414158485,0.629826070078598,INFL,0.1179022527130344,0.1402609197082922,64.0,False,False,2.0,,,INFL,0.0371083427138804,0.1968137416784123,0.0,False,False,2,,,EVAC,-0.0448830505545051,0.2493944243998009,-8.0
moldova_flooding_2024,True,True,4,0.1828320289226983,0.8763066217453453,INFL,0.0454533432570181,0.0629946988646874,448.0,True,True,4.0,0.1815406261687583,0.9222288255153468,INFL,0.0417440171698286,0.058662951664797,448.0,False,False,0,,,INFL,0.0385517676157055,0.0764452481334713,648.0
spain_flood,True,True,4,0.2672111552113404,0.9762595008183927,INFL,0.1384680031755251,0.1291051378624129,104.0,True,True,4.0,0.1490679508606576,0.9841019535765252,INFL,0.16486129195534,0.133056417051515,88.0,True,True,4,0.2268267301818943,0.9988822853690316,INFL,0.1322775268901986,0.122420492245486,104.0
the_earthquake_across_central_mexico,True,True,4,0.3479752777497077,0.893023087603731,INFL,0.2504894683816717,0.2475952968745697,32.0,,,,,,,,,,True,True,4,0.3479752777497077,0.893023087603731,INFL,0.2504894683816717,0.2475952968745697,32.0
