slug,short_name,disaster_type,status_change,ntw_old,ntw_new,ntw_delta,type_old,type_new,sel_old,sel_new,alpha_old,alpha_new,delta_near,drop_old,drop_new
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,hurricane,GAINED,1,14,13,EXCLUDED_SHORT,EVAC,,True,,0.7412300746592427,-0.441916794587687,,selected
hurricane_beryl_across_southeastern_texas_us,beryl_tx,hurricane,GAINED,1,15,14,EXCLUDED_SHORT,EVAC,,True,,0.8001103007909469,-0.279299263948949,,selected
hurricane_beryl_jamaica_western_caribbean_pre_landfall_2024_07_03,beryl_pre,hurricane,GAINED,2,14,12,EXCLUDED_SHORT,EVAC,,True,,0.3873447555457084,-0.4043102839178534,,selected
tropical_storm_kristine_in_bicol_and_calabarzon_philippines,kristine_ph,tropical_storm,GAINED,2,12,10,EXCLUDED_SHORT,EVAC,,True,,0.7109067116199009,-0.0406389883808801,,selected
tropical_storm_yagi_philippines_2_september_2024,yagi_ph,tropical_storm,GAINED,1,15,14,EXCLUDED_SHORT,EVAC,,True,,0.4672580010711196,-0.2267007282763007,,selected
typhoon_krathon_across_taiwan,krathon_tw,typhoon,GAINED,12,12,0,INFL,INFL,False,True,,0.1012997858927755,0.1108349275077606,analysis_n_mono_lt_threshold,selected
tropical_storm_debby_united_states_pre_landfall_4_august_2024,debby_pre,tropical_storm,LOST,15,15,0,EVAC,EVAC,True,False,0.6509346545306443,,-0.0278296267866194,selected,analysis_n_mono_lt_threshold
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,flood,KEPT,27,27,0,INFL,INFL,True,True,-0.014878197323548,-0.014878197323548,0.10130224222134,selected,selected
park_fire_california_29_july_2024,park_fire2,wildfire,KEPT,15,15,0,INFL,INFL,True,True,0.222634525318664,0.222634525318664,0.0460209237770549,selected,selected
spain_flood,spain_flood,flood,KEPT,10,10,0,INFL,INFL,True,True,0.0575378664819348,0.0575378664819348,0.2026389717764428,selected,selected
the_flooding_across_bagmati_and_koshi_provinces_nepal,nepal_fld,flood,KEPT,15,15,0,EVAC,EVAC,True,True,1.215462091736481,1.215462091736481,-0.1196054495060361,selected,selected
the_flooding_across_rio_grande_do_sul_state_brazil,the_flooding_across_ri,flood,KEPT,30,30,0,NEUTRAL,NEUTRAL,True,True,0.3895761994806622,0.3895761994806622,0.0010061238318122,selected,selected
the_wildfires_in_quito_pichincha_province_ecuador,quito_fire,wildfire,KEPT,15,15,0,NEUTRAL,NEUTRAL,True,True,0.4242021835762336,0.4242021835762336,0.0007352116073801,selected,selected
turkiye_earthquake_2023,turkiye,earthquake,KEPT,36,36,0,INFL,INFL,True,True,0.2228386744457223,0.2228386744457223,0.0566336948172924,selected,selected
typhoon_yagi_across_northeastern_vietnam,yagi_vn,typhoon,KEPT,11,11,0,EVAC,EVAC,True,True,0.5223034173699458,0.5223034173699458,-0.5472429120883096,selected,selected
global_earthquake_model_research_2025_sep_18,global_earthquake_mode,earthquake,EXCLUDED,2,2,0,EXCLUDED_SHORT,EXCLUDED_SHORT,,,,,,,
hurricane_beryl_pre_landfall_2024,beryl_pre,hurricane,EXCLUDED,0,0,0,EXCLUDED_SHORT,EXCLUDED_SHORT,,,,,,,
hurricane_debby_across_florida_and_georgia_us,debby_pre,hurricane,EXCLUDED,8,8,0,NEUTRAL,NEUTRAL,False,False,,,-0.0107658809772085,data_quality_short_post_peak,data_quality_short_post_peak
hurricane_ernesto_puerto_rico_14_august_2024,ernesto_pr,hurricane,EXCLUDED,0,15,15,EXCLUDED_SHORT,INFL,,False,,,0.0692051876134339,,analysis_n_mono_lt_threshold
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,helene_pre,hurricane,EXCLUDED,1,12,11,EXCLUDED_SHORT,INFL,,False,,,0.1743755540274281,,data_quality_short_post_peak
hurricane_john_across_southeastern_guerrero_mexico,john_gue,hurricane,EXCLUDED,7,7,0,INFL,EVAC,False,False,,,-0.2564191584045255,analysis_n_mono_lt_threshold,analysis_n_mono_lt_threshold
hurricane_john_southern_mexico_25_september_2024,john_sm,hurricane,EXCLUDED,13,13,0,INFL,INFL,False,False,,,0.0496402666417306,analysis_n_mono_lt_threshold,analysis_n_mono_lt_threshold
hurricane_melissa_10_27_2025,melissa,hurricane,EXCLUDED,5,5,0,NEUTRAL,NEUTRAL,False,False,0.5177465020766816,0.5177465020766816,,data_quality_short_post_peak,data_quality_short_post_peak
hurricane_melissa_aftermath_2025_11_03,melissa_aft,hurricane,EXCLUDED,4,4,0,EXCLUDED_SHORT,EXCLUDED_SHORT,,,,,,,
hurricane_milton_across_florida_us,milton_fl,hurricane,EXCLUDED,0,10,10,EXCLUDED_SHORT,INFL,,False,,,0.0371083427138804,,analysis_n_mono_lt_threshold
line_fire_southern_california_9_september_2024,line_fire,wildfire,EXCLUDED,15,15,0,INFL,INFL,False,False,,,0.1072736179799601,data_quality_short_post_peak,data_quality_short_post_peak
mountain_fire_in_california,mountain_fire_in_calif,wildfire,EXCLUDED,1,1,0,EXCLUDED_SHORT,EXCLUDED_SHORT,,,,,,,
park_fire_2024,park_fire1,wildfire,EXCLUDED,17,17,0,INFL,INFL,False,False,,,0.0540621583524291,data_quality_short_post_peak,data_quality_short_post_peak
the_earthquake_across_central_mexico,the_earthquake_across_,earthquake,EXCLUDED,4,4,0,EXCLUDED_SHORT,EXCLUDED_SHORT,,,,,,,
the_earthquake_across_dhaka_division_bangladesh,the_earthquake_across_,earthquake,EXCLUDED,4,4,0,EXCLUDED_SHORT,EXCLUDED_SHORT,,,,,,,
tropical_storm_enteng_across_luzon_and_visayas_islands_philippines,enteng_ph,tropical_storm,EXCLUDED,12,12,0,EVAC,EVAC,False,False,,,-0.0889391902519517,data_quality_short_post_peak,data_quality_short_post_peak
typhoon_nika_across_northern_luzon_philippines,nika_ph,typhoon,EXCLUDED,2,2,0,EXCLUDED_SHORT,EXCLUDED_SHORT,,,,,,,
