run,n_selected,n_selected_plot,rho,p,min_n_mono,min_post_peak_steps,jk_rho_median,jk_rho_ci2p5,jk_rho_ci97p5
round2_baseline,9,8,-0.9166666666666666,0.0005066190663052,3,4,-0.9047619047619048,-0.9476190476190476,-0.880952380952381
unified_mtw5_mpp4,14,13,-0.7758241758241758,0.0011084786677787,3,4,-0.7637362637362637,-0.8519230769230769,-0.7252747252747254
unified_mtw4_mpp4,14,13,-0.7758241758241758,0.0011084786677787,3,4,-0.7637362637362637,-0.8519230769230769,-0.7252747252747254
unified_mtw5_mpp3,14,13,-0.7758241758241758,0.0011084786677787,3,3,-0.7637362637362637,-0.8519230769230769,-0.7252747252747254
unified_mtw4_mpp3,15,14,-0.7642857142857141,0.0009073101116849,3,3,-0.7538461538461538,-0.8149450549450549,-0.7362637362637363
