slug,old_rows,pinned_rows,old_hours,pinned_hours,old_only_rows,pinned_only_rows,max_abs_phi_diff,n_diff_rows
flooding_in_central_and_eastern_europe_sept_16_2024,4050,4050,81,81,0,0,0.0,0
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,700,700,14,14,0,0,6.661338147750939e-16,0
hurricane_beryl_across_southeastern_texas_us,630,630,15,15,0,0,4.440892098500626e-16,0
hurricane_beryl_pre_landfall_2024,800,800,32,32,0,0,6.661338147750939e-16,0
hurricane_john_across_southeastern_guerrero_mexico,350,350,7,7,0,0,6.661338147750939e-16,0
hurricane_john_southern_mexico_25_september_2024,750,750,15,15,0,0,6.661338147750939e-16,0
hurricane_milton_across_florida_us,373,373,10,10,0,0,6.661338147750939e-16,0
moldova_flooding_2024,560,560,28,28,0,0,7.771561172376096e-16,0
spain_flood,1500,1500,30,30,0,0,0.0,0
the_earthquake_across_central_mexico,650,650,13,13,0,0,0.0,0
the_flooding_across_bagmati_and_koshi_provinces_nepal,466,466,15,15,0,0,6.661338147750939e-16,0
the_flooding_across_eastern_bangladesh,468,468,12,12,0,0,6.661338147750939e-16,0
the_flooding_across_gujarat_india,400,400,8,8,0,0,4.440892098500626e-16,0
turkiye_earthquake_2023,1800,1800,36,36,0,0,0.0,0
typhoon_yagi_across_northeastern_vietnam,187,187,11,11,0,0,6.661338147750939e-16,0
wildfires_in_boise_county_idaho_27_august_2024,412,412,15,15,0,0,1.1102230246251565e-15,0
