slug,short_name,event_type,old_tw,new_tw,tw_delta,old_selected,new_selected,status,alpha,near_delta,drop_reason
flooding_in_central_and_eastern_europe_sept_16_2024,flooding_in_central_an,INFL,27,28,1,True,True,KEPT,0.0978433601132348,0.0663782817545836,SELECTED
spain_flood,spain_flood,INFL,10,11,1,True,True,KEPT,0.2672111552113405,0.1384680031755251,SELECTED
the_flooding_across_rio_grande_do_sul_state_brazil,the_flooding_across_ri,INFL,30,31,1,True,True,KEPT,0.6169809033987398,0.0839783683853214,SELECTED
the_wildfires_in_quito_pichincha_province_ecuador,quito_fire,NEUTRAL,15,16,1,True,True,KEPT,0.2894503347968899,0.0004955791073127,SELECTED
turkiye_earthquake_2023,turkiye,INFL,36,36,0,True,True,KEPT,0.2468014046050735,0.0337562852091245,SELECTED
typhoon_yagi_across_northeastern_vietnam,yagi_vn,EVAC,11,12,1,True,True,KEPT,0.5016555761289064,-0.4845434252653976,SELECTED
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,beryl_qr,EVAC,-1,15,15,False,True,NEW+,0.7216082173496913,-0.2936434314109868,SELECTED
hurricane_beryl_across_southeastern_texas_us,beryl_tx,EVAC,-1,16,16,False,True,NEW+,0.849812632262648,-0.2641168649259409,SELECTED
hurricane_beryl_jamaica_western_caribbean_pre_landfall_2024_07_03,beryl_pre,EVAC,-1,14,14,False,True,NEW+,0.453842056470335,-0.3887697202206286,SELECTED
the_earthquake_across_central_mexico,the_earthquake_across_,INFL,-1,5,5,False,True,NEW+,0.3479752777497077,0.2504894683816717,SELECTED
tropical_storm_kristine_in_bicol_and_calabarzon_philippines,kristine_ph,EVAC,-1,12,12,False,True,NEW+,0.7488103455379354,-0.1247270282435517,SELECTED
tropical_storm_yagi_philippines_2_september_2024,yagi_ph,EVAC,-1,15,15,False,True,NEW+,0.3442755086944002,-0.1917558667257175,SELECTED
typhoon_krathon_across_taiwan,krathon_tw,INFL,12,12,0,False,True,NEW+,0.2056377952929255,0.0975421675915032,SELECTED
hurricane_debby_across_florida_and_georgia_us,debby_pre,NEUTRAL,8,9,1,False,False,,,-0.0196351992032187,data_quality_short_post_peak
hurricane_john_across_southeastern_guerrero_mexico,john_gue,EVAC,7,7,0,False,False,,,-0.2468634071182528,analysis_n_mono_lt_threshold
hurricane_john_southern_mexico_25_september_2024,john_sm,INFL,13,14,1,False,False,,,0.0573319038472596,analysis_n_mono_lt_threshold
hurricane_melissa_10_27_2025,melissa,NEUTRAL,5,6,1,False,False,,0.4062721572399876,,data_quality_missing_near_delta
line_fire_southern_california_9_september_2024,line_fire,INFL,15,16,1,False,False,,,0.0928062713302606,data_quality_short_post_peak
park_fire_2024,park_fire1,INFL,17,18,1,False,False,,,0.0508719299095781,data_quality_short_post_peak
tropical_storm_enteng_across_luzon_and_visayas_islands_philippines,enteng_ph,EVAC,12,13,1,False,False,,,-0.070556220966909,data_quality_short_post_peak
park_fire_california_29_july_2024,park_fire2,NEUTRAL,15,16,1,True,False,LOST,,0.016487822887927,data_quality_short_post_peak
the_flooding_across_bagmati_and_koshi_provinces_nepal,nepal_fld,EVAC,15,16,1,True,False,LOST,,-0.0310065660779815,data_quality_short_post_peak
tropical_storm_debby_united_states_pre_landfall_4_august_2024,debby_pre,EVAC,15,16,1,True,False,LOST,,-0.0288219878696704,analysis_n_mono_lt_threshold
cambodia_monsoon_season_study_2024_05_09,cambodia_monsoon_seaso,EVAC,-1,36,36,False,False,NEW_EVENT,0.2417167549003049,-0.2243898633397315,manual_exclude_catalog
hurricane_ernesto_puerto_rico_14_august_2024,ernesto_pr,INFL,-1,16,16,False,False,NEW_EVENT,,0.0427141889761652,analysis_n_mono_lt_threshold
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,helene_pre,INFL,-1,13,13,False,False,NEW_EVENT,,0.1450227433950135,data_quality_short_post_peak
hurricane_melissa_aftermath_2025_11_03,melissa_aft,EVAC,-1,6,6,False,False,NEW_EVENT,0.1295041734714218,-0.5420930463020194,manual_exclude_catalog
hurricane_milton_across_florida_us,milton_fl,EVAC,-1,11,11,False,False,NEW_EVENT,,-0.0448830505545051,analysis_n_mono_lt_threshold
india_monsoon_season_study_2024_05_09_nct_delhi_up_bihar,india_monsoon_season_s,INFL,-1,36,36,False,False,NEW_EVENT,,0.079250565827332,manual_exclude_catalog
moldova_flooding_2024,moldova,INFL,-1,29,29,False,False,NEW_EVENT,-0.0012287169415026,0.0365095361631747,manual_exclude_catalog
pakistan_monsoon_season_study_sindh_2024_05_09,pakistan_monsoon_seaso,INFL,-1,36,36,False,False,NEW_EVENT,,0.0274249205803335,manual_exclude_catalog
the_earthquake_across_dhaka_division_bangladesh,the_earthquake_across_,INFL,-1,6,6,False,False,NEW_EVENT,,0.0662768405586377,data_quality_short_post_peak
the_flooding_across_eastern_bangladesh,bangladesh_fld,INFL,-1,13,13,False,False,NEW_EVENT,,0.0626270314573104,manual_exclude_catalog
the_flooding_across_gujarat_india,gujarat_fld,EVAC,-1,9,9,False,False,NEW_EVENT,,-0.0745121504160712,manual_exclude_catalog
the_flooding_in_benue_and_kogi_states_nigeria,the_flooding_in_benue_,INFL,-1,8,8,False,False,NEW_EVENT,,0.1701681261074496,manual_exclude_catalog
the_flooding_in_conakry_city_conakry_guinea,the_flooding_in_conakr,INFL,-1,14,14,False,False,NEW_EVENT,,0.0630537437772599,manual_exclude_catalog
wildfires_in_boise_county_idaho_27_august_2024,boise_fire,INFL,-1,16,16,False,False,NEW_EVENT,0.06052022777175,0.0595083926311502,manual_exclude_catalog
