r_max_km,n_selected,spearman_rho,spearman_p
50,12,-0.5104895104895105,0.0899137363026391
100,15,-0.6714285714285713,0.0061277667888201
150,14,-0.7846153846153847,0.0008900739749078
200,14,-0.7758241758241758,0.0011084786677787
250,13,-0.6923076923076923,0.0087303177967493
