slug,route_b_selected
flooding_in_central_and_eastern_europe_sept_16_2024,True
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,True
hurricane_beryl_across_southeastern_texas_us,True
hurricane_beryl_pre_landfall_2024,True
hurricane_john_across_southeastern_guerrero_mexico,True
hurricane_john_southern_mexico_25_september_2024,True
hurricane_milton_across_florida_us,True
moldova_flooding_2024,True
spain_flood,True
the_earthquake_across_central_mexico,True
the_flooding_across_bagmati_and_koshi_provinces_nepal,True
the_flooding_across_eastern_bangladesh,True
the_flooding_across_gujarat_india,True
turkiye_earthquake_2023,True
typhoon_yagi_across_northeastern_vietnam,True
wildfires_in_boise_county_idaho_27_august_2024,True
