r_near_km,n_selected,spearman_rho,spearman_p
30,14,-0.745054945054945,0.002230037316742
50,14,-0.7758241758241758,0.0011084786677787
75,14,-0.7846153846153847,0.0008900739749078
100,14,-0.7406593406593407,0.002445197640446
