slug,has_output,catalog_t0_missing,catalog_center_missing,t0_method,center_method,center_extrapolated_sum
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,1,1,1,auto_first_population_window,auto_centroid_abs_n_difference,0
hurricane_beryl_across_southeastern_texas_us,1,0,0,provided_exact,provided,0
hurricane_beryl_pre_landfall_2024,1,1,1,auto_first_population_window,auto_centroid_abs_n_difference,0
hurricane_ernesto_puerto_rico_14_august_2024,1,1,1,auto_first_population_window,auto_centroid_abs_n_difference,0
hurricane_helene_pre_landfall_gulf_of_mexico_24_september_2024,1,0,0,provided_exact,provided,0
hurricane_john_across_southeastern_guerrero_mexico,1,0,1,provided_exact,auto_centroid_abs_n_difference,0
hurricane_john_southern_mexico_25_september_2024,1,0,1,provided_exact,auto_centroid_abs_n_difference,0
hurricane_milton_across_florida_us,1,0,0,provided_exact,provided,0
line_fire_southern_california_9_september_2024,1,0,0,provided_exact,provided,0
moldova_flooding_2024,1,1,1,auto_first_population_window,auto_centroid_abs_n_difference,0
park_fire_2024,1,1,1,auto_first_population_window,auto_centroid_abs_n_difference,0
park_fire_california_29_july_2024,1,1,1,auto_first_population_window,auto_centroid_abs_n_difference,0
the_flooding_across_antioquia_and_choc_departments_colombia,1,1,1,auto_first_population_window,auto_centroid_abs_n_difference,0
the_flooding_across_bagmati_and_koshi_provinces_nepal,1,1,1,auto_first_population_window,auto_centroid_abs_n_difference,0
the_flooding_across_eastern_bangladesh,1,1,1,auto_first_population_window,auto_centroid_abs_n_difference,0
the_flooding_across_gujarat_india,1,1,1,auto_first_population_window,auto_centroid_abs_n_difference,0
the_flooding_in_benue_and_kogi_states_nigeria,1,1,1,auto_first_population_window,auto_centroid_abs_n_difference,0
the_flooding_in_conakry_city_conakry_guinea,1,1,1,auto_first_population_window,auto_centroid_abs_n_difference,0
the_wildfires_in_quito_pichincha_province_ecuador,1,0,0,provided_exact,provided,0
tropical_storm_debby_united_states_pre_landfall_4_august_2024,1,1,1,auto_first_population_window,auto_centroid_abs_n_difference,0
tropical_storm_enteng_across_luzon_and_visayas_islands_philippines,1,1,1,auto_first_population_window,auto_centroid_abs_n_difference,0
tropical_storm_kristine_in_bicol_and_calabarzon_philippines,1,1,1,auto_first_population_window,auto_centroid_abs_n_difference,0
tropical_storm_yagi_philippines_2_september_2024,1,1,1,auto_first_population_window,auto_centroid_abs_n_difference,0
turkiye_earthquake_2023,1,0,0,provided_exact,provided,0
typhoon_krathon_across_taiwan,1,1,1,auto_first_population_window,auto_centroid_abs_n_difference,0
typhoon_yagi_across_northeastern_vietnam,1,0,0,provided_exact,provided,0
wildfires_in_boise_county_idaho_27_august_2024,1,1,1,auto_first_population_window,auto_centroid_abs_n_difference,0
global_earthquake_model_research_2025_sep_18,1,0,0,provided_exact,provided,0
hurricane_melissa_10_27_2025,1,0,0,provided_exact,provided,0
hurricane_melissa_aftermath_2025_11_03,1,0,0,provided_exact,provided,0
the_earthquake_across_central_mexico,1,0,0,provided_exact,provided,0
the_earthquake_across_dhaka_division_bangladesh,1,0,0,provided_exact,provided,0
the_flooding_across_rio_grande_do_sul_state_brazil,1,1,1,auto_first_population_window,auto_centroid_abs_n_difference,0
flooding_in_central_and_eastern_europe_sept_16_2024,1,1,1,auto_first_population_window,auto_centroid_abs_n_difference,0
hurricane_beryl_jamaica_western_caribbean_pre_landfall_2024_07_03,1,1,1,auto_first_population_window,auto_centroid_abs_n_difference,0
hurricane_debby_across_florida_and_georgia_us,1,1,1,auto_first_population_window,auto_centroid_abs_n_difference,0
spain_flood,1,1,1,auto_first_population_window,auto_centroid_abs_n_difference,0
mountain_fire_in_california,1,1,1,auto_first_population_window,auto_centroid_abs_n_difference,0
cambodia_monsoon_season_study_2024_05_09,1,1,1,auto_first_population_window,auto_centroid_abs_n_difference,0
india_monsoon_season_study_2024_05_09_nct_delhi_up_bihar,1,1,1,auto_first_population_window,auto_centroid_abs_n_difference,0
pakistan_monsoon_season_study_sindh_2024_05_09,1,1,1,auto_first_population_window,auto_centroid_abs_n_difference,0
typhoon_nika_across_northern_luzon_philippines,1,1,1,auto_first_population_window,auto_centroid_abs_n_difference,0
