slug,name,event_type,range_a_km,range_b_km,n_a,n_b,median_a,median_b,diff_median_a_minus_b,diff_median_ci025,diff_median_ci975,p_perm_one_sided,p_bonferroni,p_fdr_bh
turkiye_earthquake_2023,Turkiye Turkey Earthquake Full Country Version Feb 8 2023,earthquake,25-50,50-100,340,487,1104.9917973235993,1359.8460551470196,-254.8542578234203,-440.855758927691,-107.4252891768412,0.9988002399520096,1.0,0.2247550489902019
turkiye_earthquake_2023,Turkiye Turkey Earthquake Full Country Version Feb 8 2023,earthquake,50-100,100-200,487,1426,1359.8460551470196,1282.7395219318869,77.10653321513269,-56.30021684383251,249.1645183192716,0.1123775244951009,0.2247550489902019,0.2247550489902019
hurricane_beryl_pre_landfall_2024,Hurricane Beryl Pre Landfall Disaster Maps June 30 2024,hurricane,50-100,100-200,259,302,687.9393942920271,608.6807969833324,79.25859730869479,-5.141802304751632,209.26259098839168,0.0443911217756448,0.0443911217756448,0.0443911217756448
moldova_flooding_2024,Moldova Flooding Sept 16 2024,flood,25-50,50-100,666,1018,574.1358703609296,626.9968447191918,-52.86097435826218,-114.08681655476504,14.543446957150442,0.9664067186562688,1.0,0.9664067186562688
moldova_flooding_2024,Moldova Flooding Sept 16 2024,flood,50-100,100-200,1018,833,626.9968447191918,668.626084625193,-41.6292399060012,-101.01167818137,14.5392726113111,0.909018196360728,1.0,1.0
park_fire_2024,"The Park Fire in Northern California, US",wildfire,25-50,50-100,562,913,372.23954223479234,353.0796479681226,19.159894266669767,-27.856692658903427,60.36128544133396,0.1899620075984803,0.3799240151969606,0.3799240151969606
park_fire_2024,"The Park Fire in Northern California, US",wildfire,50-100,100-200,913,2309,353.0796479681226,363.5929135310309,-10.513265562908316,-41.799195467171046,18.096734796721154,0.794241151769646,1.0,0.3799240151969606
