datetime,source,root,category,key,path,mtime,has_log,has_tables,has_figures
2026-02-08 20:54:16,dir_mtime,outputs,run_batch,batch1_anchor,/mnt/e/newdesktop/Disaster/outputs/_runs/dfg/batch1_anchor,2026-02-08 20:54:16,0,0,0
2026-02-08 20:54:16,anchor_file_mtime,outputs,run_batch,v1,/mnt/e/newdesktop/Disaster/outputs/_runs/trackpath/v1,2026-02-08 20:54:17,1,0,0
2026-02-08 20:54:16,dir_mtime,outputs,run_batch,_tmp_h3a_mechanism,/mnt/e/newdesktop/Disaster/outputs/_runs/trackpath/v1/_tmp_h3a_mechanism,2026-02-08 20:54:16,0,1,1
2026-02-08 20:54:16,anchor_file_mtime,outputs,run_batch,_tmp_h3a_track_collapse,/mnt/e/newdesktop/Disaster/outputs/_runs/trackpath/v1/_tmp_h3a_track_collapse,2026-02-08 20:54:16,1,1,1
2026-02-08 20:54:16,dir_mtime,outputs,run_batch,_tmp_h3a_track_collapse_min50,/mnt/e/newdesktop/Disaster/outputs/_runs/trackpath/v1/_tmp_h3a_track_collapse_min50,2026-02-08 20:54:16,0,1,1
2026-02-08 20:54:16,dir_mtime,outputs,run_batch,_tmp_h3a_track_report,/mnt/e/newdesktop/Disaster/outputs/_runs/trackpath/v1/_tmp_h3a_track_report,2026-02-08 20:54:16,0,1,1
2026-02-08 20:54:17,anchor_file_mtime,outputs,run_batch,v2,/mnt/e/newdesktop/Disaster/outputs/_runs/trackpath/v2,2026-02-08 20:54:17,1,0,0
2026-02-08 20:54:17,anchor_file_mtime,outputs,run_batch,_tmp_h3a_track_report,/mnt/e/newdesktop/Disaster/outputs/_runs/trackpath/v2/_tmp_h3a_track_report,2026-02-08 20:54:17,1,1,1
2026-02-08 20:54:17,anchor_file_mtime,outputs,run_batch,_tmp_phase2_minTiles0,/mnt/e/newdesktop/Disaster/outputs/_runs/trackpath/v2/_tmp_phase2_minTiles0,2026-02-08 20:54:17,1,1,1
2026-02-08 20:54:17,anchor_file_mtime,outputs,run_batch,_tmp_phase2_minTiles50,/mnt/e/newdesktop/Disaster/outputs/_runs/trackpath/v2/_tmp_phase2_minTiles50,2026-02-08 20:54:17,1,1,1
2026-02-08 20:54:17,anchor_file_mtime,outputs,cross_disaster,svd_separability_nullN50,/mnt/e/newdesktop/Disaster/outputs/cross_disaster_comparison/svd_separability_nullN50,2026-02-08 20:54:17,1,1,1
2026-02-08 21:58:06,dir_mtime,outputs,run_batch,trackpath,/mnt/e/newdesktop/Disaster/outputs/_runs/trackpath,2026-02-08 21:58:06,0,0,0
2026-02-08 21:58:12,anchor_file_mtime,outputs,run_batch,v4_yagi_fix,/mnt/e/newdesktop/Disaster/outputs/_runs/trackpath/v4_yagi_fix,2026-02-08 21:58:08,1,0,0
