slug,old_selected,old_n_mono,old_t_peak,old_near_delta,old_n_time_windows,frozen8_selected,frozen8_event_type,frozen8_n_mono,frozen8_t_peak,frozen8_near_delta,frozen8_n_time_windows,frozen0816_selected,frozen0816_event_type,frozen0816_n_mono,frozen0816_t_peak,frozen0816_near_delta,frozen0816_n_time_windows,old_t0_pt,new_t0_pt,t0_shift_hours,old_center_method,new_center_method,center_shift_km,root_cause_tags
flooding_in_central_and_eastern_europe_sept_16_2024,True,4,416.0,0.0663782817545836,28,True,INFL,6.0,448.0,0.0697797666018083,27,True,INFL,4,416.0,0.0662245019302085,28,2024-09-16 08:00:00,2024-09-16 16:00:00,8.0,auto_centroid_abs_n_difference,provided,0.0,元数据漂移:t0变化>=8h
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,True,5,-8.0,-0.2182305293802359,14,True,EVAC,5.0,-8.0,-0.3298958071275004,14,True,EVAC,5,-12.0,-0.1297066506818232,15,2024-07-05 16:00:00,2024-07-05 16:00:00,0.0,auto_centroid_abs_n_difference,provided,28.295518522791554,元数据漂移:center变化>=10km
hurricane_beryl_across_southeastern_texas_us,True,6,-8.0,-0.1686674012421007,15,True,EVAC,6.0,0.0,-0.279299263948949,15,True,EVAC,5,8.0,-0.2641168649259409,16,2024-07-08 16:00:00,2024-07-08 08:00:00,-8.0,auto_centroid_abs_n_difference,provided,144.75820671159323,元数据漂移:t0变化>=8h；元数据漂移:center变化>=10km
hurricane_beryl_pre_landfall_2024,True,6,16.0,0.0042813828084239,32,False,NEUTRAL,6.0,16.0,,32,False,NEUTRAL,5,32.0,,33,2024-06-30 16:00:00,2024-06-30 16:00:00,0.0,auto_centroid_abs_n_difference,provided,30.382478127622612,F8:near_delta缺失（近场bin不足）；F0816:near_delta缺失（近场bin不足）；元数据漂移:center变化>=10km
hurricane_john_across_southeastern_guerrero_mexico,True,3,-8.0,0.0747654742133128,7,True,INFL,3.0,72.0,0.077091497820751,7,False,INFL,1,200.0,0.0736302526331108,8,2024-10-01 16:00:00,2024-09-28 08:00:00,-80.0,auto_centroid_abs_n_difference,provided,12.847010872937453,F0816:n_mono<3；元数据漂移:t0变化>=8h；元数据漂移:center变化>=10km
hurricane_john_southern_mexico_25_september_2024,True,3,136.0,0.0845285322756548,15,True,INFL,3.0,168.0,0.0804387758108084,15,True,INFL,3,296.0,0.071839597464233,16,2024-09-25 16:00:00,2024-09-24 08:00:00,-32.0,auto_centroid_abs_n_difference,provided,8.01696538697209,元数据漂移:t0变化>=8h
hurricane_milton_across_florida_us,True,3,64.0,0.1179022527130344,10,False,INFL,2.0,0.0,0.0371083427138804,10,False,EVAC,2,-8.0,-0.0448830505545051,11,2024-10-10 16:00:00,2024-10-10 08:00:00,-8.0,auto_centroid_abs_n_difference,provided,111.36109386300956,F8:n_mono<3；F0816:n_mono<3；元数据漂移:t0变化>=8h；元数据漂移:center变化>=10km
moldova_flooding_2024,True,4,448.0,0.0454533432570181,28,True,INFL,4.0,448.0,0.0417440171698286,28,False,INFL,0,648.0,0.0385517676157055,29,2024-09-16 16:00:00,2024-09-16 16:00:00,0.0,auto_centroid_abs_n_difference,provided,1.0652034093990526,F0816:n_mono<3
spain_flood,True,4,104.0,0.1384680031755251,11,True,INFL,4.0,88.0,0.16486129195534,10,True,INFL,4,104.0,0.1322775268901986,11,2024-10-30 08:00:00,2024-10-30 16:00:00,8.0,auto_centroid_abs_n_difference,provided,0.0,元数据漂移:t0变化>=8h
the_earthquake_across_central_mexico,True,4,32.0,0.2504894683816717,5,False,EXCLUDED_SHORT,,32.0,,4,True,INFL,4,32.0,0.2504894683816717,5,2026-01-02 00:00:00,2026-01-02 00:00:00,0.0,provided,provided,0.0,F8:时间窗不足(<5)，由 0/8/16 -> 仅08:00 导致
