distance_band,n_points_phi_mean,corr_net_phi_mean_overlap_minus_1,n_points_phi_aggregate,corr_net_phi_aggregate
0-25km,0,,0,
25-50km,32,-0.15886534011910292,32,-0.18797017158927526
50-100km,32,0.1322859617544182,32,0.15569421044248824
100-200km,32,0.10858151255553512,32,0.15890798276765203
200km+,32,,32,
