slug,D_peak,alpha_emp,alpha_pred_loo,k0_loo,gamma_loo,ssr_loo
flooding_in_central_and_eastern_europe_sept_16_2024,0.1426724059165762,-0.014878197323548,2.3505044594088798,0.03224769378195258,1.5987211554602254e-13,0.03455271178435113
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,0.2361301317007472,0.7412300746592427,3.5499130632012608,0.03080611438201034,1.385453574365852e-13,0.04598062156775754
hurricane_beryl_across_southeastern_texas_us,0.2407611561193852,0.8001103007909469,3.9970593339505522,0.03273310555170425,5.240252676230739e-14,0.010975741636497196
hurricane_beryl_jamaica_western_caribbean_pre_landfall_2024_07_03,0.5637501440286489,0.3873447555457084,4.076430158111099,0.035309443747882495,0.0049357300981543815,0.21535301924907785
moldova_flooding_2024,0.0536562673777671,0.0706355627672506,2.5762728330545563,0.03215676231442087,5.1509972428556214e-14,0.03236643763478019
park_fire_california_29_july_2024,0.0395090968309567,0.222634525318664,3.4739884343276017,0.032072579822285625,1.1013412404281553e-13,0.22011486661174212
spain_flood,0.1268297089427715,0.0575378664819348,1.8842799220562827,0.03242177446910796,2.2202772018624834e-13,0.005230375324938724
the_flooding_across_bagmati_and_koshi_provinces_nepal,0.21193679634191,1.215462091736481,3.4859851561873954,0.028547767379868257,3.2498681778099653e-13,1.135523458083244
the_flooding_across_eastern_bangladesh,0.0968228366680995,0.4720635678723257,2.8737481246096186,0.030462598592195456,1.2981334657953771e-12,0.24767751014640027
the_flooding_across_gujarat_india,0.1394194439567995,0.1594546201967668,2.169363523515471,0.033087807147843866,2.1316282072803006e-14,0.028685790350292853
the_flooding_across_rio_grande_do_sul_state_brazil,0.1087425794378308,0.3895761994806622,7.125786787948295,0.03667764105237772,2.3359092438113294e-13,0.7762147319496372
the_wildfires_in_quito_pichincha_province_ecuador,0.088726074184706,0.4242021835762336,4.215741962188249,0.03658417171915079,9.236096204874138e-14,0.8448904044674688
tropical_storm_kristine_in_bicol_and_calabarzon_philippines,0.2973716938876105,0.7109067116199009,3.0210950266372194,0.029807707714303158,5.842558717034435e-13,0.40951177013440293
tropical_storm_yagi_philippines_2_september_2024,0.1391423238696797,0.4672580010711196,3.895407881167752,0.0319006516260955,4.973799150320701e-14,0.8643797625601053
turkiye_earthquake_2023,0.4011400882265244,0.2228386744457223,7.047524404402819,0.032682167861356436,2.2551840726213068e-13,0.03773775028251506
typhoon_krathon_across_taiwan,0.1343457827368733,0.1012997858927755,3.2671539111222545,0.03223545369534171,2.6645352591003757e-15,0.1666623603024647
typhoon_yagi_across_northeastern_vietnam,0.3173934156827427,0.5223034173699458,3.293795144346571,0.03491522394321371,9.387065004370983e-13,0.09151410993978142
wildfires_in_boise_county_idaho_27_august_2024,0.1444155744662681,0.098873997077069,2.029321431017945,0.0309518415989976,5.593828704573045e-13,0.06722523328715387
