slug,D_peak,a,b,n_pts
flooding_in_central_and_eastern_europe_sept_16_2024,0.1426724059165762,0.08112940506395723,-0.6391946296342318,7
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,0.2361301317007472,0.11467371430709197,-1.5709551257118919,13
hurricane_beryl_across_southeastern_texas_us,0.2407611561193852,0.1011360210484778,-1.5066232019425392,14
hurricane_beryl_jamaica_western_caribbean_pre_landfall_2024_07_03,0.5637501440286489,-0.11698053205459603,0.6455675267240164,13
moldova_flooding_2024,0.0536562673777671,-0.010490628903167801,0.07703602978904264,8
park_fire_california_29_july_2024,0.0395090968309567,0.13108481383827075,-1.1255687243519592,12
spain_flood,0.1268297089427715,0.014633652453349194,-0.152078280694271,5
the_flooding_across_bagmati_and_koshi_provinces_nepal,0.21193679634191,1.0985411424716862,-10.162580474895861,14
the_flooding_across_eastern_bangladesh,0.0968228366680995,0.29670247696676705,-2.65764407403826,10
the_flooding_across_gujarat_india,0.1394194439567995,-0.11281599620970192,0.759356299963761,6
the_flooding_across_rio_grande_do_sul_state_brazil,0.1087425794378308,-0.16403317613399898,1.2180401060530528,18
the_wildfires_in_quito_pichincha_province_ecuador,0.088726074184706,-0.10146962043241996,0.5959701002879433,13
tropical_storm_kristine_in_bicol_and_calabarzon_philippines,0.2973716938876105,0.58572772747981,-5.203551156468908,11
tropical_storm_yagi_philippines_2_september_2024,0.1391423238696797,0.36025231012637976,-3.4628091886285453,14
turkiye_earthquake_2023,0.4011400882265244,0.037507645956441064,-0.45555239010460186,34
typhoon_krathon_across_taiwan,0.1343457827368733,-0.01954836079920294,0.1703833980494443,11
typhoon_yagi_across_northeastern_vietnam,0.3173934156827427,0.00026252140394964624,-0.4514106651527487,10
wildfires_in_boise_county_idaho_27_august_2024,0.1444155744662681,-0.035378218931422324,0.18925796099737732,6
