slug,D_peak,D_inf_norm,n_pts,ssr_ode,r2_ode,ssr_pl,r2_pl,alpha_pl
flooding_in_central_and_eastern_europe_sept_16_2024,0.1426724059165762,0.8717764245837184,6,0.03193235285760862,-12.68253680848295,0.0019955575383228236,0.14493336606601526,-0.014878197323548087
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,0.2361301317007472,0.08322137413214,6,0.026389207323810067,0.3593608753668144,0.0010532734052307586,0.9744301469897647,0.741230074659243
hurricane_beryl_across_southeastern_texas_us,0.2407611561193852,0.1168867432254656,6,0.0031998744266177317,0.970038641453729,0.0008108109784017478,0.9924081400710386,0.8001103007909474
hurricane_beryl_jamaica_western_caribbean_pre_landfall_2024_07_03,0.5637501440286489,0.2902302265256545,9,0.19835382205004987,-0.2571345466609185,0.020368754417099556,0.8709061182409337,0.3873447555457085
moldova_flooding_2024,0.0536562673777671,0.693186276469963,3,0.01682501570553086,-3.492422803475958,0.002353431575551347,0.37161368158772623,0.07063556276725069
park_fire_california_29_july_2024,0.0395090968309567,0.86039695372135,5,0.18770331718679317,-2.5202006027368324,0.0175042213450229,0.6717246586118191,0.22263452531866407
spain_flood,0.1268297089427715,0.8643318145942538,4,0.004744102339009703,-0.4806677735892362,0.0006074261901831413,0.8104180052688311,0.05753786648193489
the_flooding_across_bagmati_and_koshi_provinces_nepal,0.21193679634191,0.4338381608618579,5,0.4192053990249962,-2.11609869734209,0.008808638789921079,0.9345223417387489,1.2154620917364816
the_flooding_across_eastern_bangladesh,0.0968228366680995,0.454236594620202,5,0.13643799165247283,-1.4512748550143,0.002904032564201135,0.9478255146051915,0.4720635678723254
the_flooding_across_gujarat_india,0.1394194439567995,0.6550991317050637,6,0.03090885431342235,0.16667238536027096,0.006538774864420056,0.8237093615576961,0.15945462019676687
the_flooding_across_rio_grande_do_sul_state_brazil,0.1087425794378308,0.2093091153855328,3,0.067124923805105,-1.0351116559508604,0.0017591882622651541,0.9466644528648913,0.3895761994806623
the_wildfires_in_quito_pichincha_province_ecuador,0.088726074184706,0.4345220489379706,4,0.2833798756944703,-1.0853073378157814,0.05170971383286905,0.6194837568201383,0.4242021835762337
tropical_storm_kristine_in_bicol_and_calabarzon_philippines,0.2973716938876105,0.500263746412299,4,0.22507839002157892,-1.120625368673029,0.004463928415771938,0.9579421203363023,0.7109067116199009
tropical_storm_yagi_philippines_2_september_2024,0.1391423238696797,0.7174485387260481,8,0.48023040095472297,-0.6524831723254598,0.015347848395112081,0.9471877224892387,0.46725800107111964
turkiye_earthquake_2023,0.4011400882265244,0.5693644673300816,4,0.002365951904351936,0.9072600087085538,0.0009330109328144814,0.9634280706954015,0.2228386744457223
typhoon_krathon_across_taiwan,0.1343457827368733,0.6399337446873469,4,0.007938731704444679,-0.5131432248164873,0.0002674496075862194,0.9490233986025323,0.10129978589277557
typhoon_yagi_across_northeastern_vietnam,0.3173934156827427,0.28279859189766,5,0.07350249372746233,0.361376425913149,0.006455118227923048,0.943914954924459,0.5223034173699459
wildfires_in_boise_county_idaho_27_august_2024,0.1444155744662681,0.3646830023551365,6,0.051470019133230176,-12.578048804216357,0.0004651670380166538,0.8772866058597382,0.09887399707706905
