slug,D_peak,D_inf_norm,n_pts,ssr_ode,r2_ode,ssr_pl,r2_pl,alpha_pl
flooding_in_central_and_eastern_europe_sept_16_2024,0.1426724059165762,0.8717764245837184,7,0.03434538918035605,-3.2573976697375047,0.005337087954818296,0.338423399347488,-0.03623081158039498
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,0.2361301317007472,0.08322137413214,13,0.03714967836641102,0.3944303782814139,0.004528910114120649,0.9261751243831704,0.5263211984614027
hurricane_beryl_across_southeastern_texas_us,0.2407611561193852,0.1168867432254656,14,0.010836535230713071,0.9346691838184172,0.015612218366916317,0.9058777601326892,0.5752354116605234
hurricane_beryl_jamaica_western_caribbean_pre_landfall_2024_07_03,0.5637501440286489,0.2902302265256545,13,0.1858027608272079,0.2897865064459605,0.028573843303065647,0.8907791844093832,0.42008063293001113
moldova_flooding_2024,0.0536562673777671,0.693186276469963,8,0.03198934277591521,-0.9449571336858749,0.01625816625705201,0.011500903166035803,0.011996483186190975
park_fire_california_29_july_2024,0.0395090968309567,0.86039695372135,12,0.21953366965676369,-0.45586527782550323,0.1382722085943174,0.08303037208165331,-0.05462935222359241
spain_flood,0.1268297089427715,0.8643318145942538,5,0.0052075717905364985,-0.613994269979808,0.00168064470989864,0.4791140591517745,0.03591129757121654
the_flooding_across_bagmati_and_koshi_provinces_nepal,0.21193679634191,0.4338381608618579,14,1.0825959176761097,-1.3602550671108307,0.5122087770716062,-0.11670785171350628,0.0458308083240793
the_flooding_across_eastern_bangladesh,0.0968228366680995,0.454236594620202,10,0.2342922842588424,-0.47040506831473494,0.16069962150707753,-0.008541696913983765,0.05662306384537928
the_flooding_across_gujarat_india,0.1394194439567995,0.6550991317050637,6,0.02771204514672196,0.25286093606912097,0.006538774864420056,0.8237093615576961,0.15945462019676687
the_flooding_across_rio_grande_do_sul_state_brazil,0.1087425794378308,0.2093091153855328,18,0.7327777697409054,-0.39447993264323467,0.21976256704561042,0.5817906842348357,0.42205437224657333
the_wildfires_in_quito_pichincha_province_ecuador,0.088726074184706,0.4345220489379706,13,0.8036490449130891,-0.2752975109369744,0.3648813392166883,0.4209757771307798,0.32837955324359697
tropical_storm_kristine_in_bicol_and_calabarzon_philippines,0.2973716938876105,0.500263746412299,11,0.3857358534094775,-1.1812111374155982,0.18096473309564637,-0.02329686965512101,-0.0031820019639468757
tropical_storm_yagi_philippines_2_september_2024,0.1391423238696797,0.7174485387260481,14,0.8632683422160443,-0.4747182659718343,0.5295344682117478,0.09539813457202861,0.14515243691821725
turkiye_earthquake_2023,0.4011400882265244,0.5693644673300816,34,0.03764935389242067,0.583563729754205,0.05096528291023591,0.4362773824006303,0.06225677395367739
typhoon_krathon_across_taiwan,0.1343457827368733,0.6399337446873469,11,0.1664359142828452,-0.34241534742477975,0.12479953062954646,-0.006590470514691749,0.003388635595193936
typhoon_yagi_across_northeastern_vietnam,0.3173934156827427,0.28279859189766,10,0.07660074950446827,0.6446095096373491,0.01179866440256775,0.9452598942598034,0.4491092900706158
wildfires_in_boise_county_idaho_27_august_2024,0.1444155744662681,0.3646830023551365,6,0.05958771670796864,-14.719538077075507,0.0004651670380166538,0.8772866058597382,0.09887399707706905
