stratum,n_obs,n_events,mundlak_within_beta,mundlak_within_p,mundlak_between_beta,mundlak_between_p,random_slope_beta,random_slope_p,demeaned_spearman_rho,demeaned_spearman_p
all,2836,16,0.20543323449161985,0.010410094991163538,-0.1722410624392179,0.9999999570290583,0.12248585780418637,0.20116717335704948,0.11152806410724521,2.59601338501266e-09
n_mono>=5,513,15,0.029908249488987716,0.8196653775599884,-3.3204827208907735e-18,,0.04010630436663961,0.8771062619705896,0.011826390311056503,0.7893014765433509
n_mono>=5 & r2>=0.5,471,15,0.0665507688566458,0.6361598490593916,0.1451827309691469,,0.04554362011454333,0.8650811138358502,0.011819156975475526,0.7980797781579211
n_mono>=4 & r2>=0.3,1286,16,0.22053797325742353,0.01843150777954978,-0.25173682347712883,0.999999983496761,-0.06941394297500943,0.7989142346408977,0.0928577434631861,0.0008563003285051964
r2>=0.5,2705,16,0.22002625058894384,0.007047034920786459,-0.07952536405668678,,0.13256142448668984,0.2859066436537152,0.11738538153956063,9.152623165928882e-10
r2>=0.7,2160,16,0.2078917728154382,0.022316162641851576,0.046066590340298405,0.9999999923958643,0.1374087346937162,0.233246754027728,0.112570286616288,1.5590486642671475e-07
