slug,n_units,beta_D_peak,se_D_peak,p_D_peak,r_D_peak
flooding_in_central_and_eastern_europe_sept_16_2024,483,-0.6433287958593449,0.5063427608187732,0.20450648341047237,-0.05783467579621361
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,97,-0.4872500640273172,0.6092148110659179,0.42582200860700864,-0.08178287882387121
hurricane_beryl_across_southeastern_texas_us,203,1.259494582140054,0.611218703181636,0.04062621173081458,0.14383418519007016
hurricane_beryl_jamaica_western_caribbean_pre_landfall_2024_07_03,1000,0.3722136376627063,0.1092638445102149,0.0006841152071276963,0.10721119466968278
moldova_flooding_2024,20,-3.4484907450094884,2.9898846739032323,0.263838229633487,-0.2623344596282876
park_fire_california_29_july_2024,53,2.3974479896833016,2.0516205253340556,0.24801312531863456,0.16148395121945408
spain_flood,175,-0.4555301507735004,0.534984169310706,0.39567796381356324,-0.06460185761861162
the_flooding_across_bagmati_and_koshi_provinces_nepal,38,-0.5766002365158757,0.7897427457678231,0.47004676582142557,-0.12079421320739711
the_flooding_across_gujarat_india,245,0.1929860779087933,0.7590199157970482,0.799512086995209,0.016308420864585994
the_flooding_across_rio_grande_do_sul_state_brazil,114,-0.06437302719009953,0.6004553966820251,0.9148165593119038,-0.01012959044496901
the_wildfires_in_quito_pichincha_province_ecuador,29,-1.0219448321436948,3.099871942074248,0.7441909354461165,-0.06331833372209794
tropical_storm_kristine_in_bicol_and_calabarzon_philippines,55,0.25095811042852495,0.4641136726413958,0.5909621785064021,0.07407033319319248
tropical_storm_yagi_philippines_2_september_2024,29,0.23522135504936012,0.8808178631624523,0.7914607841199445,0.05132582716979543
turkiye_earthquake_2023,257,-0.34509907275220375,0.15248257452833694,0.024464357908636918,-0.14032497046935408
typhoon_krathon_across_taiwan,22,-2.006955030751392,2.4545044612724816,0.4231848088745545,-0.1798533736309199
typhoon_yagi_across_northeastern_vietnam,16,-1.2094504239199049,0.5678728107932318,0.051413800845987734,-0.4946851454844343
