slug,n,rho_delta_vs_dist,p_delta_vs_dist,rho_delta_vs_alpha,p_delta_vs_alpha
flooding_in_central_and_eastern_europe_sept_16_2024,483,-0.44054266301818484,2.3795065323289866e-24,-0.4689020326433607,8.968140846265323e-28
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,97,-0.033794445613296864,0.7424461065147827,0.06131653692404796,0.5507538108358073
hurricane_beryl_across_southeastern_texas_us,203,-0.1496380730510026,0.03310059706865316,-0.08149022668131779,0.24775861426691537
hurricane_beryl_jamaica_western_caribbean_pre_landfall_2024_07_03,1000,-0.17145371145371147,4.883333725098162e-08,0.1695923535923536,6.837014904394761e-08
moldova_flooding_2024,20,-0.09624060150375939,0.6864870716570239,0.18045112781954886,0.4464646102705484
park_fire_california_29_july_2024,53,-0.1718271246573133,0.21859736851741252,0.025560393484921787,0.8558378629179414
spain_flood,175,0.28673981191222575,0.00011951035611717359,0.06025302283922973,0.4283138063556559
the_flooding_across_bagmati_and_koshi_provinces_nepal,38,-0.09486814749972645,0.5710190435195157,0.001203632782580151,0.9942777581671578
the_flooding_across_gujarat_india,245,-0.14099421455907435,0.027338027325397026,0.0747521399603424,0.24373414319676304
the_flooding_across_rio_grande_do_sul_state_brazil,114,-0.16738016646078452,0.0750733821096727,-0.2367590773779389,0.011206151536134305
the_wildfires_in_quito_pichincha_province_ecuador,29,-0.083743842364532,0.6658160466894123,-0.15024630541871917,0.43660296162230755
tropical_storm_kristine_in_bicol_and_calabarzon_philippines,55,0.4028138528138529,0.002295723710867006,-0.08174603174603176,0.5529707585749971
tropical_storm_yagi_philippines_2_september_2024,29,-0.17044334975369455,0.37670452897798334,0.05221674876847289,0.7879218626850961
turkiye_earthquake_2023,257,-0.28990659781920186,2.2808395517960973e-06,-0.4810926330196361,2.7149436045365064e-16
typhoon_krathon_across_taiwan,22,0.3122529644268775,0.15713592444827057,-0.34500282326369286,0.11584026217226416
typhoon_yagi_across_northeastern_vietnam,16,0.7058823529411764,0.0022459006010513297,0.4147058823529412,0.11022940391770165
