excluded,n_excluded,n_remaining,beta,p,delta_beta
flooding_in_central_and_eastern_europe_sept_16_2024,483,2353,0.2202461841192965,0.008303185422712705,0.014812949627676486
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,97,2739,0.22136426133762205,0.0060707259183813405,0.015931026846002033
hurricane_beryl_across_southeastern_texas_us,203,2633,0.17638455774064937,0.026458925442354106,-0.029048676750970642
hurricane_beryl_jamaica_western_caribbean_pre_landfall_2024_07_03,1000,1836,-0.16418891936276162,0.21375720834073098,-0.36962215385438163
moldova_flooding_2024,20,2816,0.20762768925292446,0.009674976909617355,0.0021944547613044485
park_fire_california_29_july_2024,53,2783,0.19892848167467297,0.012446644427611512,-0.00650475281694704
spain_flood,175,2661,0.2173388548498175,0.00762987535514595,0.011905620358197477
the_flooding_across_bagmati_and_koshi_provinces_nepal,38,2798,0.20863146311151012,0.009705527602354446,0.003198228619890109
the_flooding_across_gujarat_india,245,2591,0.205499626230689,0.012604024132793138,6.639173906897167e-05
the_flooding_across_rio_grande_do_sul_state_brazil,114,2722,0.21140524965375176,0.008821650047524563,0.00597201516213175
the_wildfires_in_quito_pichincha_province_ecuador,29,2807,0.2067465034954621,0.00976638077478554,0.0013132690038420713
tropical_storm_kristine_in_bicol_and_calabarzon_philippines,55,2781,0.20438243565336853,0.011951057029958733,-0.0010507988382514877
tropical_storm_yagi_philippines_2_september_2024,29,2807,0.20532389846185753,0.010817046403293475,-0.00010933602976248569
turkiye_earthquake_2023,257,2579,0.3091709866800494,0.0005215080591520576,0.10373775218842937
typhoon_krathon_across_taiwan,22,2814,0.2057900680757089,0.010526530493543873,0.0003568335840888892
typhoon_yagi_across_northeastern_vietnam,16,2820,0.21423109537027696,0.007831818697339102,0.008797860878656943
ALL_BERYL,1300,1536,-0.28237344718546026,0.03347663967526572,
