predictor,status,n_obs,n_events,coef,se,z,p,ci_low,ci_high,aic,bic,message
delta_peak_unit,ok,1410,9,-0.5402093877225361,0.09708151758306904,-5.564492615809174,2.6291626113905525e-08,-0.7304856657498434,-0.34993310969522884,3688.64091593173,3709.6462958652187,ok
distance_km,ok,1410,9,1.957607932585894e-05,1.4062535555008126e-05,1.3920732324041851,0.16390022299614648,-7.985983893270966e-06,4.713814254498885e-05,,,ok
D_peak_unit,ok,1410,9,-0.03077474104004094,0.1417964333275872,-0.2170346624230185,0.8281813319840178,-0.3086906434983469,0.247141161418265,,,ok
