r_bin_km,phi_mean,n_tiles_mean,n_tiles_overlap_mean,r_center_km,abs_dev
10.0,1.0096761689631883,14.5,13.0,15.0,0.009676168963188347
20.0,1.1845731361809722,29.5,28.5,25.0,0.18457313618097215
30.0,1.074097557771279,60.0,57.0,35.0,0.07409755777127902
40.0,1.068037083883323,81.0,75.5,45.0,0.06803708388332308
50.0,1.0567146536086427,99.0,95.0,55.0,0.056714653608642696
60.0,1.0360894227968225,116.5,110.0,65.0,0.03608942279682248
70.0,1.0602973894118897,125.5,121.0,75.0,0.06029738941188967
80.0,1.0560041637059319,153.5,143.5,85.0,0.056004163705931864
90.0,1.1146200801816337,214.0,200.0,95.0,0.11462008018163372
100.0,1.0499037101157511,190.0,174.5,105.0,0.04990371011575112
110.0,1.0199728260354175,229.5,221.5,115.0,0.0199728260354175
120.0,1.0282018422833983,219.0,210.5,125.0,0.028201842283398282
130.0,1.0290241336857784,215.5,204.5,135.0,0.029024133685778386
140.0,1.0397353781852632,185.0,178.0,145.0,0.03973537818526318
150.0,1.0284970443958625,202.5,193.5,155.0,0.028497044395862536
160.0,1.0139546087715177,158.0,152.0,165.0,0.013954608771517663
170.0,1.0078518021277487,131.5,116.5,175.0,0.00785180212774872
180.0,0.9945383070437617,177.0,167.5,185.0,0.005461692956238329
190.0,1.0015607361285976,237.5,230.0,195.0,0.0015607361285976395
200.0,1.0091328651683338,166.0,159.5,205.0,0.009132865168333781
210.0,1.0268811014550379,107.5,102.0,215.0,0.02688110145503786
220.0,1.007791419184834,63.5,61.5,225.0,0.007791419184834059
230.0,1.0380037170640826,92.5,87.0,235.0,0.038003717064082565
240.0,1.0006820553182558,70.0,67.5,245.0,0.0006820553182558253
250.0,1.0422043237475707,57.5,52.5,255.0,0.04220432374757066
260.0,1.0133210120607616,57.0,51.5,265.0,0.013321012060761639
270.0,1.011374396720233,64.5,59.0,275.0,0.011374396720233104
280.0,1.1272438077390659,26.0,24.5,285.0,0.12724380773906585
290.0,1.1327902155495668,39.5,35.0,295.0,0.13279021554956683
300.0,1.0028332398732052,39.5,34.0,305.0,0.0028332398732051622
310.0,1.0955887043361192,29.0,27.5,315.0,0.09558870433611921
320.0,1.0305999790466465,55.0,53.0,325.0,0.030599979046646464
330.0,1.0856038679191182,44.0,39.0,335.0,0.08560386791911823
340.0,1.1773524749583422,26.5,24.5,345.0,0.17735247495834217
350.0,1.136039734549724,32.0,30.0,355.0,0.13603973454972396
360.0,1.1080044321670839,39.0,38.5,365.0,0.10800443216708389
490.0,0.8741371365887455,19.5,17.5,495.0,0.12586286341125452
