predictor,n_events,uw_mean,uw_se,uw_t,uw_p,iv_mean,iv_se,iv_p,n_positive,n_negative,sign_test_p
D_peak_unit,14,-0.1639425684978133,0.287697974183193,-0.5698426238949538,0.5784995077121602,0.07192725903603069,0.0807256688955286,0.3729245976915725,5,9,0.4239501953125
delta_peak_unit,14,-0.2688343625439275,0.21830045206471105,-1.2314878874563058,0.23995368669240666,-0.09501072383815548,0.0612191605384816,0.12066774764798227,6,8,0.79052734375
distance_km,14,0.0004891192551774289,0.00040032610542309403,1.2218020472596753,0.24347565824643838,3.1114844024473285e-05,1.1538989456357583e-05,0.007007314599566827,9,5,0.4239501953125
