model,predictor,coef,se,z,p,ci_low,ci_high
M0_all_RI,D_peak_unit,0.21153211796838683,0.08936245919044962,2.3671250756155753,0.01792687326761971,0.036384916385175214,0.38667931955159845
M0_all_RI,delta_peak_unit,0.0029339385898423526,0.07028811713055554,0.04174160170477686,0.9667046894807134,-0.13482823952717932,0.140696116706864
M0_all_RI,distance_km,2.9302471256904212e-05,1.2985156969772799e-05,2.256612786823856,0.02403228067058367,3.852031262550264e-06,5.475291125125816e-05
M1_quality_controlled,D_peak_unit,0.356246195707843,0.09415719034137714,3.7835261907904605,0.00015462204541752072,0.17170149375326116,0.5407908976624248
M1_quality_controlled,delta_peak_unit,-0.09979811904953578,0.07292364114774509,-1.368529018557128,0.17114654514128635,-0.2427258293206393,0.04312959122156773
M1_quality_controlled,distance_km,3.055158601651823e-05,1.2966389988424037e-05,2.356213722076358,0.018462292105566814,5.137928629706387e-06,5.596524340333007e-05
M1_quality_controlled,n_mono,-0.07442670730723847,0.014952080939301457,-4.977682210882654,6.435019429293938e-07,-0.10373224744219714,-0.04512116717227979
M1_quality_controlled,r2_unit,0.028469417309227266,0.11616872357680924,0.24506955428845406,0.8064025763614909,-0.1992170970313079,0.2561559316497624
M2_n_mono_ge5 (n=454),D_peak_unit,0.03843854797998497,0.13489018217866106,0.2849617915785257,0.7756734146893882,-0.22594135095823736,0.3028184469182073
M2_n_mono_ge5 (n=454),delta_peak_unit,0.11084965682743969,0.09122110515367958,1.2151755522002503,0.22429914273022666,-0.06794042390371341,0.2896397375585928
M2_n_mono_ge5 (n=454),distance_km,3.085213313474666e-05,1.9384237280839372e-05,1.5916093415366357,0.11147250980125654,-7.1402738034771404e-06,6.884454007297046e-05
