k,sigma,energy_frac,energy_cum
1,2.8378538401135547,0.926156258036644,0.926156258036644
2,0.7076702207953113,0.05759251696858577,0.9837487750052298
3,0.32593493990440536,0.012217041679878944,0.9959658166851088
4,0.1297963010325643,0.0019374426226466525,0.9979032593077553
5,0.10152664516874421,0.001185398269889797,0.9990886575776451
6,0.0558530624922559,0.00035875519590256104,0.9994474127735476
7,0.04479505997930909,0.00023076208941993234,0.9996781748629676
8,0.03917190557642104,0.00017646298268681225,0.9998546378456543
9,0.026936294753849996,8.344108240902038e-05,0.9999380789280634
10,0.02116881368192673,5.1534404108715815e-05,0.9999896133321722
11,0.009503553251475165,1.0386667827675727e-05,0.9999999999999998
