slug,event_type,n_points,alpha_original,M1_power_law_r2,M1_power_law_aic,M1_power_law_bic,M1_alpha,M1_A,M2_exponential_r2,M2_exponential_aic,M2_exponential_bic,M2_lambda,M2_A,M3_stretched_exp_r2,M3_stretched_exp_aic,M3_stretched_exp_bic,M3_tau,M3_beta,M3_A
flooding_in_central_and_eastern_europe_sept_16_2024,INFL,6,-0.014878197323548,0.14514847509418605,-27.025794825329495,-27.442275886873386,-0.015295990859210998,0.7697271362704144,-0.0019299093866740336,-26.073261647068346,-26.489742708612237,1.0000000008742017e-06,0.8218411757569454,-0.2408358794436991,-22.790118451043178,-23.414840043359014,4999.999952388922,0.010000000000000002,2.142737966514034
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,EVAC,6,0.7412300746592427,0.9796986590768676,-32.242771638958104,-32.659252700501995,0.6935235085430664,3.0182917824319957,0.9750955053090425,-31.016603492968976,-31.433084554512867,0.012554109289844129,0.4271311246696611,0.9919920842853709,-35.82431017324765,-36.44903176556349,22.278104591850415,0.46826502188116964,0.9210614021397489
hurricane_beryl_across_southeastern_texas_us,EVAC,6,0.8001103007909469,0.9942449071891551,-34.09009669020422,-34.50657775174811,0.7697245914002898,5.968691392090037,0.9627814613515397,-22.88976577697324,-23.30624683851713,0.014043530786206857,0.6829048895122568,0.9966395181856225,-35.31810153943988,-35.942823131755716,1.0000000000000266,0.2687904811699252,5.360677954707257
hurricane_beryl_jamaica_western_caribbean_pre_landfall_2024_07_03,EVAC,9,0.3873447555457084,0.8930543599333098,-26.97187951475506,-26.57743036008262,0.33812481188756804,2.219557824764964,0.9810498772746384,-42.5464718622049,-42.15202270753247,0.004441829809010871,0.7889728417006248,0.9810592742224272,-40.55093587054327,-39.95926213853461,224.77440469394935,0.9890643984481636,0.7919581728915104
moldova_flooding_2024,EVAC,3,0.0706355627672506,0.3731728456554677,-8.945300886822933,-10.748076309486713,0.06664436595619626,0.902581825398842,0.5187154380295801,-9.737937281689495,-11.540712704353275,0.0018275408311237745,0.7660135411200043,0.8796444322046962,-11.895962102448394,-14.600125236444065,112.32766442503531,4.999999999999944,0.7306535861124295
park_fire_california_29_july_2024,INFL,5,0.222634525318664,0.6816231195254698,-10.237454626909788,-11.018578802041587,0.19930838187199537,1.607372632079513,0.8375284599685737,-13.6011195848886,-14.3822437600204,0.0038771330410569634,0.929862954441446,0.8971384978088703,-13.886716603352149,-15.058402866049848,181.75360927278945,2.1321613714707217,0.8371420772420025
spain_flood,INFL,4,0.0575378664819348,0.8108234760113735,-19.827352939100564,-21.054764216860782,0.0562967241142851,1.073865617564996,0.9377287254445619,-24.272074265644072,-25.49948554340429,0.001185404414576407,0.9218901926598733,0.8236727087233151,-18.108707702657355,-19.949824619297683,4999.999999999999,0.08576863265616705,1.6912436931066313
the_flooding_across_bagmati_and_koshi_provinces_nepal,EVAC,5,1.215462091736481,0.9770417855036782,-18.75808195501174,-19.53920613014354,1.0192685571405353,13.808072731700978,0.9894785988890907,-22.65940404850666,-23.44052822363846,0.02146541898356072,0.8780545011401705,0.9924674946637466,-22.330322465687516,-23.502008728385213,27.446005796473855,0.7038868583171567,1.3194268414327635
the_flooding_across_eastern_bangladesh,INFL,5,0.4720635678723257,0.9514153695558492,-19.422510847541247,-20.203635022673048,0.4456307162887812,2.3001068426227875,0.9558875111630001,-19.905332342247124,-20.686456517378925,0.008220732704381593,0.6540529347207082,0.9642347877136356,-18.954168536304294,-20.125854799001992,76.09827154179163,0.5556350175341349,0.9282875246601603
the_flooding_across_gujarat_india,EVAC,6,0.1594546201967668,0.8272170785049309,-20.023915002628236,-20.440396064172127,0.14994846377579593,1.4254931570946483,0.9391130604461192,-26.282018941058524,-26.698500002602415,0.0024589003341005393,0.92230831996771,0.9492754073700764,-25.37766597953667,-26.002387571852502,316.8944989515375,1.427859337090641,0.8814770634397359
the_flooding_across_rio_grande_do_sul_state_brazil,NEUTRAL,3,0.3895761994806622,0.949318011055036,-9.964011343534178,-11.766786766197958,0.41040818085034714,2.5179178741154447,0.8694287568103773,-7.124966135203795,-8.927741557867575,0.009466532568584159,0.8423735596055986,0.937125146934838,-7.317284268633747,-10.021447402629418,1.0000000000007356,0.19680675959884275,4.414137614273906
the_wildfires_in_quito_pichincha_province_ecuador,NEUTRAL,4,0.4242021835762336,0.6584414069390784,-2.474146187734144,-3.701557465494363,0.34194581213767306,2.9638793491575104,0.8179917999678645,-4.992016182498146,-6.219427460258364,0.007765688909733267,1.2078007129785229,0.991524822249245,-15.259656640884067,-17.100773557524395,106.18332460114078,3.7312331040765905,0.9544331215504881
tropical_storm_kristine_in_bicol_and_calabarzon_philippines,EVAC,4,0.7109067116199009,0.9702618086132088,-13.22703206575784,-14.454443343518058,0.7935872225041777,7.961902399496006,0.8816075298989849,-7.700740072605829,-8.928151350366047,0.0169306952992135,0.9222671294502331,0.9526811451392821,-9.369125210168441,-11.210242126808769,1.0000000000000009,0.27679152683741326,7.048556383491214
tropical_storm_yagi_philippines_2_september_2024,EVAC,8,0.4672580010711196,0.9479727784799369,-23.466568637278442,-23.30768555391877,0.4548507724238281,4.094760361597674,0.8845969285846034,-17.09325746346919,-16.934374380109517,0.006120026002634686,1.011555232683007,0.9451800275894835,-21.048268515501775,-20.809943890462268,1.0000000000000002,0.19916954113813495,6.243748007823341
turkiye_earthquake_2023,INFL,4,0.2228386744457223,0.9635018048482727,-18.110116439066054,-19.337527716826273,0.220961042784192,1.584544558667141,0.9419632888692605,-16.254864641547115,-17.482275919307334,0.004405149120298136,0.8576333528532178,0.966093331863404,-16.404720903985826,-18.245837820626154,77.61553080384653,0.25186126985256385,1.646998244627437
typhoon_krathon_across_taiwan,INFL,4,0.1012997858927755,0.9493521176120655,-23.125863988658192,-24.35327526641841,0.09946817256703779,0.9939569180781653,0.9991446303895862,-39.45034011533135,-40.67775139309157,0.0020119931140555065,0.7553291844683329,0.9999976421022984,-61.025393118462276,-62.86651003510261,421.61877059665835,1.1513591359349058,0.7456861927881344
typhoon_yagi_across_northeastern_vietnam,EVAC,5,0.5223034173699458,0.9542125187990753,-16.086506342141984,-16.867630517273785,0.47521083719285695,3.4451390009866136,0.9981549800781676,-32.14410955392846,-32.92523372906026,0.009053054776343121,0.9165706956328658,0.9982893285463516,-30.52213014783036,-31.693816410528058,108.05566111708997,0.9483157880581757,0.9399380777151316
wildfires_in_boise_county_idaho_27_august_2024,INFL,6,0.098873997077069,0.877695404251906,-35.78199971579704,-36.19848077734093,0.09683913902279424,0.5924818800627514,0.9028422910598803,-37.16307429222981,-37.5795553537737,0.001490815706988526,0.4438300995958433,0.9097666504083365,-35.60669290489457,-36.23141449721041,1087.8376723984854,0.6755640924752504,0.4650788759728761
