near_r_km,r_max_km,status,n_selected,event_spearman_rho,event_spearman_p,mixed_beta_delta_peak_unit,mixed_p_delta_peak_unit,mixed_n_obs,pooled_scope,pooled_pair,pooled_rho,pooled_p,pooled_n,flags_rows
30,150,ok,11,-0.6454545454545455,0.0319627993280174,-0.5349734363228007,3.0442267362025332e-09,1750,within_event_demean,alpha_vs_delta_peak_unit,-0.2518319921084055,1.0148287302607802e-26,1750,15
30,200,ok,12,-0.5244755244755246,0.0800193759202747,-0.5266523389610086,5.391047262060134e-09,1770,within_event_demean,alpha_vs_delta_peak_unit,-0.2447573047373175,1.4756691203769812e-25,1770,15
30,300,ok,13,-0.6703296703296703,0.012166220319952,-0.6083150112570669,3.708851941692586e-13,1917,within_event_demean,alpha_vs_delta_peak_unit,-0.2365299266386848,8.759167858281337e-26,1917,15
50,150,ok,11,-0.7454545454545456,0.0084547288850615,-0.5349734363228007,3.0442267362025332e-09,1750,within_event_demean,alpha_vs_delta_peak_unit,-0.2518319921084055,1.0148287302607802e-26,1750,15
50,200,ok,12,-0.6923076923076924,0.0125930304960941,-0.5266523389610086,5.391047262060134e-09,1770,within_event_demean,alpha_vs_delta_peak_unit,-0.2447573047373175,1.4756691203769812e-25,1770,15
50,300,ok,13,-0.7362637362637362,0.0041077093605746,-0.6083150112570669,3.708851941692586e-13,1917,within_event_demean,alpha_vs_delta_peak_unit,-0.2365299266386848,8.759167858281337e-26,1917,15
80,150,ok,11,-0.7727272727272727,0.0052994871786438,-0.5349734363228007,3.0442267362025332e-09,1750,within_event_demean,alpha_vs_delta_peak_unit,-0.2518319921084055,1.0148287302607802e-26,1750,15
80,200,ok,13,-0.5714285714285714,0.0413422673717235,-0.5336316076563862,2.649792806141398e-09,1784,within_event_demean,alpha_vs_delta_peak_unit,-0.2466875686390187,3.85026908924702e-26,1784,15
80,300,ok,14,-0.5868131868131868,0.0273843755310877,-0.6136730000363811,1.6604772737567681e-13,1931,within_event_demean,alpha_vs_delta_peak_unit,-0.238626329608583,2.0888538317534716e-26,1931,15
