window_start_pt,hours_since_quake,distance_bin,z_score_mean,z_score_std,z_score_count,phi_mean,phi_std,phi_count,z_clip_pos_rate,z_clip_neg_rate
2023-02-05 00:00:00,-16.0,0-50km,0.8837507342444002,1.3532969223962728,472,0.0772608465499044,0.1509838242191426,472,0.01694915254237288,0.0
2023-02-05 00:00:00,-16.0,50-100km,0.7823424959012284,1.1499971966790719,659,0.11777129334182429,0.35576782727803874,659,0.007587253414264037,0.0015174506828528073
2023-02-05 00:00:00,-16.0,100-200km,0.6068400202291895,1.1948142323724242,1815,0.06949830477931702,0.20238458464626402,1815,0.01046831955922865,0.0
2023-02-05 00:00:00,-16.0,200-500km,0.19873203369627163,1.1239680504762384,7414,0.04133792902290909,0.2492744612396336,7414,0.0037766387914755866,0.0004046398705152414
2023-02-05 00:00:00,-16.0,500-1000km,0.2646306583529012,1.157030236708737,15636,0.055570433613473094,0.340739751186759,15636,0.004604758250191865,0.0005116398055768739
2023-02-05 00:00:00,-16.0,1000km+,0.2121780450367203,1.0533784906931714,235,0.054621912981771784,0.20242662194585276,235,0.00425531914893617,0.0
2023-02-05 08:00:00,-8.0,0-50km,0.26526133991268913,0.6927698194748321,435,0.05756620687099535,0.17530250101109862,435,0.0022988505747126436,0.0
2023-02-05 08:00:00,-8.0,50-100km,0.2552716748403427,0.6853284411248158,577,0.05946816164252865,0.19726601567663932,577,0.0,0.0
2023-02-05 08:00:00,-8.0,100-200km,0.1950814836974302,0.7375900892378863,1640,0.05271459672620641,0.23388258552984761,1640,0.0,0.0006097560975609756
2023-02-05 08:00:00,-8.0,200-500km,0.24774506584942985,0.7067264505446853,6796,0.06153005757796662,0.27155101903511925,6796,0.00014714537963507945,0.0
2023-02-05 08:00:00,-8.0,500-1000km,0.11808906558751368,0.7990022533486273,14253,0.04470057240042892,0.32797527632578277,14253,0.0007717673472251456,0.0008419280151547042
2023-02-05 08:00:00,-8.0,1000km+,0.16277667442344948,0.8715909533944933,210,0.14208615435551836,1.0648125556544128,210,0.004761904761904762,0.0
2023-02-05 16:00:00,0.0,0-50km,-0.6174397659916423,3.3986603175188823,288,-0.0935413843707903,0.6377958583405311,288,0.2326388888888889,0.3993055555555556
2023-02-05 16:00:00,0.0,50-100km,-1.4321742082306135,2.966396435944735,399,-0.1651525902707892,0.5691691988382146,399,0.09273182957393483,0.45112781954887216
2023-02-05 16:00:00,0.0,100-200km,0.740402179833449,3.1331110062234973,1181,0.10373106708461731,0.554937555524147,1181,0.28281117696867064,0.21845893310753597
2023-02-05 16:00:00,0.0,200-500km,1.920134221127112,1.750167577437171,5801,0.223162694356752,0.31706566419039073,5801,0.24185485261161868,0.006550594725047406
2023-02-05 16:00:00,0.0,500-1000km,0.9768192592168677,1.3004728201883993,11878,0.1032942208812911,0.2954091147124743,11878,0.022815288769153057,0.0009260818319582421
2023-02-05 16:00:00,0.0,1000km+,0.656734872280413,1.070698807871356,170,0.10262607304825597,0.31874923735300775,170,0.0,0.0
2023-02-06 00:00:00,8.0,0-50km,-0.6862267951856037,3.120506547238175,296,0.04716683692109232,0.9482426898423938,296,0.16554054054054054,0.33783783783783783
2023-02-06 00:00:00,8.0,50-100km,-0.746834062654052,2.7890392177339627,504,-0.07568342469933692,0.5213328966204276,504,0.06349206349206349,0.3194444444444444
2023-02-06 00:00:00,8.0,100-200km,-0.24354356865814245,2.9089134072551146,1399,-0.012629613334545622,0.5283576018630269,1399,0.12651894210150108,0.2551822730521801
2023-02-06 00:00:00,8.0,200-500km,0.9558645738722121,1.7950321779958682,7100,0.11754469904155357,0.321360216423435,7100,0.08591549295774648,0.01704225352112676
2023-02-06 00:00:00,8.0,500-1000km,0.8176198997010123,1.3493946522939906,14691,0.09611934661887775,0.40015623547635515,14691,0.025389694370703153,0.002518548771356613
2023-02-06 00:00:00,8.0,1000km+,0.6571071299297928,1.0488441379914777,224,0.09879621390738046,0.2979391632424591,224,0.004464285714285714,0.0
2023-02-06 08:00:00,16.0,0-50km,-0.572468363478409,3.363894757291122,313,0.1389119735875095,1.0343012550834574,313,0.2364217252396166,0.3738019169329074
2023-02-06 08:00:00,16.0,50-100km,0.1190452098353693,3.1416168217604885,501,0.099309234539361,0.6973483694622251,501,0.2155688622754491,0.27345309381237526
2023-02-06 08:00:00,16.0,100-200km,0.4037576275537068,3.319869502775748,1371,0.11043783694865034,0.6486954426828637,1371,0.29029905178701676,0.2830051057622174
2023-02-06 08:00:00,16.0,200-500km,1.1672261500398355,1.9892008788048243,7025,0.1756421186716058,0.40066987528548276,7025,0.13850533807829182,0.03615658362989324
2023-02-06 08:00:00,16.0,500-1000km,0.598250034333215,1.2574706329387575,14493,0.06409328793052023,0.3293855431472652,14493,0.011246808804250328,0.0010349824052991099
2023-02-06 08:00:00,16.0,1000km+,0.3440488407677563,0.9952753938781193,207,0.053248368648559224,0.21576548783508623,207,0.0,0.0
2023-02-06 16:00:00,24.0,0-50km,-0.5107955336178891,3.235150418264302,290,0.06640840788045367,0.9716839726065803,290,0.20689655172413793,0.35172413793103446
2023-02-06 16:00:00,24.0,50-100km,0.10872904731247551,3.0136828637761024,411,0.10596898196417337,0.6956752240582297,411,0.1630170316301703,0.24574209245742093
2023-02-06 16:00:00,24.0,100-200km,0.14698831615399754,3.0857087214171406,1104,0.057522444066082715,0.6063725275058631,1104,0.19746376811594202,0.25815217391304346
2023-02-06 16:00:00,24.0,200-500km,0.6952829753651455,1.7926804294628838,5832,0.12014077093955879,0.3616846553646368,5832,0.0723593964334705,0.0257201646090535
2023-02-06 16:00:00,24.0,500-1000km,0.2878355679017774,1.1219181672326342,11842,0.04572853281501501,0.24083186896385064,11842,0.005404492484377639,0.001266677926026009
2023-02-06 16:00:00,24.0,1000km+,0.3097680351340582,1.0845717842949816,163,0.053811652041208344,0.2185549388628059,163,0.0,0.0
2023-02-07 00:00:00,32.0,0-50km,-0.6030610576967934,3.297959161095235,337,0.06086633217789167,0.8471547775532081,337,0.2166172106824926,0.37388724035608306
2023-02-07 00:00:00,32.0,50-100km,0.3033189888465837,3.0928018641850463,544,0.17309371597211579,0.6965626331329957,544,0.22794117647058823,0.2426470588235294
2023-02-07 00:00:00,32.0,100-200km,0.4741817300224502,3.182953127621186,1475,0.14076917404998504,0.6610582880820336,1475,0.2711864406779661,0.24
2023-02-07 00:00:00,32.0,200-500km,1.2087581769624165,1.8216077862358928,7231,0.16849294511983484,0.3643570033395525,7231,0.12197483059051308,0.017148388881205918
2023-02-07 00:00:00,32.0,500-1000km,0.6532996087907282,1.328221771699097,14811,0.08144108509601139,0.30777182864351477,14811,0.019039902774964552,0.0014853824859901424
2023-02-07 00:00:00,32.0,1000km+,0.7018547829608364,1.117748732886617,217,0.08174143034091276,0.18136261651376528,217,0.009216589861751152,0.0
2023-02-07 08:00:00,40.0,0-50km,-0.2761664615939495,3.415762298325941,370,0.19238745946842856,1.0112782805806502,370,0.26756756756756755,0.3567567567567568
2023-02-07 08:00:00,40.0,50-100km,0.721260222500343,3.1558843193437176,551,0.24104120026890583,0.6632535645592309,551,0.2958257713248639,0.2177858439201452
2023-02-07 08:00:00,40.0,100-200km,0.8375254376863982,3.2959479346405014,1476,0.1882701005906674,0.6538368356552673,1476,0.35907859078590787,0.24119241192411925
2023-02-07 08:00:00,40.0,200-500km,1.0259870818027823,1.7405755395401017,7035,0.15185860342221075,0.36790570597929945,7035,0.09538024164889837,0.020895522388059702
2023-02-07 08:00:00,40.0,500-1000km,0.3412462228565098,1.1657548008250442,14498,0.05163711433471049,0.35307394916471474,14498,0.005104152296868534,0.0006207752793488757
2023-02-07 08:00:00,40.0,1000km+,0.2105917607644975,1.2078517417149643,215,0.05162738330960746,0.26938601363848275,215,0.009302325581395349,0.0
2023-02-07 16:00:00,48.0,0-50km,-1.0222337748159078,3.1084888095995655,318,0.013872644635776211,0.9290520269216974,318,0.17295597484276728,0.39622641509433965
2023-02-07 16:00:00,48.0,50-100km,0.24920094752824948,3.0325214508559064,444,0.1544839085653653,0.6534887142858963,444,0.18468468468468469,0.22297297297297297
2023-02-07 16:00:00,48.0,100-200km,-0.004868115653195401,3.017505631030751,1198,0.043699588443747966,0.5772955757662329,1198,0.17612687813021702,0.24457429048414023
2023-02-07 16:00:00,48.0,200-500km,0.3485585116319953,1.6056418208298493,5804,0.079408331531119,0.3142547532291504,5804,0.04135079255685734,0.018090971743625086
2023-02-07 16:00:00,48.0,500-1000km,-0.13658051831363205,1.038701696499257,11779,0.014957416474344667,0.3075580582041926,11779,0.0030562866117667033,0.0016979370065370574
2023-02-07 16:00:00,48.0,1000km+,-0.15585712008332633,0.9511128304563911,165,-0.011383996675867225,0.13075943560675488,165,0.0,0.0
2023-02-08 00:00:00,56.0,0-50km,-0.6703453021482645,3.2344769415076953,409,0.08679675298489556,0.9155666141326814,409,0.18581907090464547,0.3594132029339853
2023-02-08 00:00:00,56.0,50-100km,0.7296488513018561,3.0592021595274717,568,0.2753330724102448,0.7305322780492532,568,0.2658450704225352,0.18661971830985916
2023-02-08 00:00:00,56.0,100-200km,0.5708184469232476,3.084907323456577,1605,0.16256372926068033,0.6244982310548118,1605,0.24299065420560748,0.22118380062305296
2023-02-08 00:00:00,56.0,200-500km,1.0516950733429113,1.6509592724464333,7284,0.13806120403857294,0.2983456655483266,7284,0.0757825370675453,0.008511806699615597
2023-02-08 00:00:00,56.0,500-1000km,0.6317924915944758,1.3022017768515095,14813,0.07922722842102582,0.307423907382766,14813,0.018092216296496322,0.0016201984743131033
