distance_bin,best_by,model,n_points,sse,aic,bic,tau,A,C,alpha,beta,lo_km,hi_km,is_open_ended,mid_km
0-50km,bic,stretched_exp,279,64.33427845789431,-401.32625418776496,-386.8014070604795,250.0948913941472,-2.0100150859730883,1.449403800373229,,1.6820277759416042,0.0,50.0,False,25.0
50-100km,bic,exponential,279,43.64089596143984,-511.60556820164607,-500.711932856182,74.20150883262284,-2.5305222244047285,1.933593729302672,,,50.0,100.0,False,75.0
100-200km,bic,exponential,279,39.3331039236201,-540.6015326990325,-529.7078973535685,93.21887666669166,-2.051576238793662,1.8686517277444408,,,100.0,200.0,False,150.0
200-500km,bic,exponential,279,74.00231115498983,-364.26521258131874,-353.37157723585466,48.95440994223516,-0.7133511265663586,1.3891720430230063,,,200.0,500.0,False,350.0
500-1000km,bic,power_law,279,63.226343090633634,-408.1729182623366,-397.27928291687255,,-8.555284174236737,8.786515818554053,0.0100000566030558,,500.0,1000.0,False,750.0
1000km+,bic,exponential,279,58.29155676308777,-430.8455118929167,-419.9518765474526,2000.0,-0.7885096324213765,1.1208836051547626,,,1000.0,inf,True,
