distance_bin,n_windows,z_clip_pos_rate_mean,z_clip_neg_rate_mean
0-50km,282,0.24919397747817038,0.09952088365126344
50-100km,282,0.28982514702586454,0.05184827115952627
100-200km,282,0.33139283875789666,0.08267400181078792
200-500km,282,0.110373687048757,0.004364117291432094
500-1000km,282,0.03607530315513571,0.004008276619110347
1000km+,282,0.028604708610574122,0.0025168113209677848
