slug,n,alpha_mean,alpha_std,D_peak_mean,n_mono_median,r2_median
hurricane_beryl_jamaica_western_caribbean_pre_landfall_2024_07_03,1000,1.372581133627734,1.0449169633979025,0.19385972567758317,3.0,0.8606937608524141
flooding_in_central_and_eastern_europe_sept_16_2024,483,0.862046864745113,0.7604500887902612,0.11531312583655272,4.0,0.7975832335752702
turkiye_earthquake_2023,257,0.6557079954388961,0.7013867292961021,0.2844566603897129,4.0,0.8019077777199368
hurricane_beryl_across_southeastern_texas_us,203,1.3841153357330835,1.1562831359936578,0.15948506940260082,4.0,0.8632427170109843
spain_flood,175,0.7193021035543465,0.8148676015395032,0.22322693902039975,3.0,0.8844249712447417
the_flooding_across_rio_grande_do_sul_state_brazil,114,1.5107281204366305,1.008166005427286,0.16068516702875357,3.0,0.887878179400629
hurricane_beryl_across_quintana_roo_and_yucatan_mexico,97,1.6134903934304723,1.0448395803181132,0.2532597924694062,3.0,0.8504467034819994
tropical_storm_kristine_in_bicol_and_calabarzon_philippines,55,1.5635930044943118,0.7936318208692171,0.3120641706145014,3.0,0.8512032126765019
park_fire_california_29_july_2024,53,1.465164528886693,1.2833561416007755,0.08643069546291293,3.0,0.8281584353232746
the_flooding_across_bagmati_and_koshi_provinces_nepal,38,1.4608933985997288,0.5739346783122641,0.26666577825113474,4.0,0.822570705023904
the_wildfires_in_quito_pichincha_province_ecuador,29,1.253868026191849,1.1427552065778104,0.1635839060378211,4.0,0.7448075879146117
tropical_storm_yagi_philippines_2_september_2024,29,1.0305467328843654,0.6002125933893692,0.10152566779770769,3.0,0.9187905573599092
typhoon_krathon_across_taiwan,22,0.523067848246615,0.3543687149859133,0.13105799017916353,4.0,0.8401759098603163
typhoon_yagi_across_northeastern_vietnam,16,0.9726081809241849,0.5686885631638399,0.5277665731265863,5.0,0.9201131293598721
