stratum,n_obs,n_events,mundlak_within_beta,mundlak_within_p,mundlak_between_beta,mundlak_between_p,random_slope_beta,random_slope_p,demeaned_spearman_rho,demeaned_spearman_p
all,2571,14,0.20770583312114743,0.011799239852052527,-0.1173298400132604,0.9999999755475526,0.12761986481700405,0.22339357001758386,0.11887920124223604,1.4821603363739994e-09
n_mono>=5,454,13,0.03577983928520004,0.7914260925634273,3.9723601391816785e-18,,0.014836116860489709,0.9580520747426993,0.026512187232203565,0.5731324392826276
n_mono>=5 & r2>=0.5,413,13,0.07390664501217406,0.6113454610011098,0.10077474648146202,,0.06025830407466208,0.8300134539637068,0.02871141946128889,0.5606768205145519
n_mono>=4 & r2>=0.3,1153,14,0.21615550322254795,0.024502747999423237,0.47197288137534293,0.5956130210426225,-0.09102651220805608,0.7474309444439873,0.10181697815158808,0.0005351140980624753
r2>=0.5,2451,14,0.22084751399708533,0.008573232394238137,-0.14957924776434345,0.9999999098024432,0.12327534670016664,0.3839524289608438,0.1233471961488216,8.959924899275264e-10
r2>=0.7,1948,14,0.20632568668381848,0.027824555021650033,0.04730990615601275,0.9999999926792187,0.1318550111618171,0.29929943591118613,0.11711858947424227,2.175333573675571e-07
