test,estimate,significance
Random Intercept (D_peak),beta=0.208,p=0.0118
Random Slope (D_peak),beta=0.128,p=0.2234
Mundlak Within (D_peak),beta=0.208,p=0.0118
RI + n_mono + r2 控制,beta=0.293,p=0.0005
"RI, n_mono>=5 (n=454)",beta=0.036,p=0.7912
Demeaned Spearman,rho=0.119,p=1.48e-09
Direction Consistency,5+ vs 9-,sign p=0.4240
